AdKs9d9c6s 
AsTc8s7d5d KsKcQdTh8c AsJh9s7d6h AcJh8s7c6h 
AhKhQhJc3c KhQhQcJd3c AsTc9s7c5h AcKsKdQs6h 
AsKcJs8c3h AsAc9d6d3d AsJcTh8c2s AdQc7d6s5c 
AcKsJhTc3d AcKhTs7s6h AhJsJd6d5h AhTc9s8c5h 
AsKdJhTdTc AdKh7s7d4h AsQcJc9d3s AsKcQc7s7c 
AcQsJcTd7h JsJdTdTc5s KsKhTh5s2d KhQhQd4s4d 
QhQc9s9h7s AsAh9h5h4h AcKhQs8s4c AsQhTs9h3h 
AcJdJcTc4d QhQd9s8h6d AsKd5d5c4s AcKsQhJs7h 
JcThTd8h8d KsQcTd8s8c AsQs9h8c7c KdKcQs2s2c 
KdQsQd8h6s KdKcJc9s5s AhKhTs7d3s AcTs8d7c5s 
KdKc9d8c2s AsAdQc4c3c AhKdTc6c4h AcQd9h7c6d 
AsQsQhTc8s KsKhTs9c2c AcQdJsTh5c AsKdJc9d2s 
AhJsTdTc9h AsThTd7s6h KhKcTh9s7h AsKdJhTs3c 
AhKdQd9h2c KcQdQc8d6h AcQdThTd8h KsKdQcJh9d 
QcJcTsTd9d AhKsKc6s4d AcKhQdJh7d AcJsJh9s6c 
AsKsJd5h4h AhKh9s9d8d QdJhJdTd9h KsKhQcJdTd 
AhQc9h7c5d AdJsTs6c4d AcQcJs8c7s KsKhQhTd4d 
AdQhJdTh6d AcKdQc9h2d KsQdJs9h9d AhJsJc8h6c 
AcQcJc9d8d AhJsTs6h4d AsKcQh9h9c AsQhTd9s9c 
QdQcTs8s7d QdQc7d7c6s AcKsQs5s3c AdKdKcJd6s 
AcKh9s9c6h KdKc8c6d3s AsTh8s7h4d KsKdQsQh4c 
KsQcTd8d7s KhQhTc9s7c AsKh9c8s8c AcJs9s7c5h 
AdQhJd5s4s AsKhJs5d4d AhTh8d7c5d KsKcQd8s5d 
AdKdJs9s9d AdQsJcTc7s AdKsQc7s3d QsQhJs6d5h 
KsKcQdJhTh JsJhTsTd5h AcKcQs5s3s AsKhQdJdJc 
AsKhQhJcTh KsKh9s8h3c JdJcTs9c8s QhQdTs8s7d 
