Kd8s3s3d3c 
9d5c4s4d4c Ac7s7h7d3s TsThTd6h2s Qd7d3h3d3c 
Js4d2h2d2c 6d5h5d5c4d 9h7s7d7c2h JsJhJc6s2c 
Qd7s4s4h4d Jh6d4s4h4d Kc4s4h4d4c 8s3h2s2d2c 
QcJh6s6h6d As4s4h4d2s Ts7h3s3d3c TsTdTc5d4d 
Kh8c7s7d7c 6s3d2s2h2c 9h7d3s3h3d Tc5s5d5c4c 
JsJhJc9h3h 7h4d2s2h2c Kc9d8s8h8d Ts8d5s5h5d 
Ks9h9d9c3h Jc9s9h9d3c Qd6c4s4h4d Qh9s9d9c6c 
8d5c4s4h4c 7d4s4h4d2s QsQhQc5d2c JsJdJc6h3h 
QsTs4s4d4c Ts8s8h8c3d Ks7h3h3d3c Ac6c4s4d4c 
7s2s2h2d2c As8s8d8c3s Th7s7d7c3s Kd5d4s4h4c 
TsThTd8c5c 8s8h8d4d3s Ks5s5h5d2c Kc9s9h9c3c 
Kd7c2s2d2c 9h5s4h4d4c Td9c3s3h3c Ks4h2h2d2c 
QsQhQdQc7c QsQdQc5h4h Kc9d3s3h3d 7h4c3s3h3c 
Kd8s8h8d3c Jc6s5s5h5d Kd8s8h8c4h KsQs6s6h6d 
Kd7d3h3d3c KdQc6s6h6d 8h5s3s3h3c TsThTd7d5d 
8s5s5h5c3h 5c4h2s2h2d Ts5h2s2h2c Jc7c6s6h6d 
Ah8s8h8d8c 9c5c4s4h4c Qs9h9d9c6d 5s4d3s3h3c 
9c6d4s4h4d Jh4h4d4c3d Kd9s2h2d2c Ts6d3s3h3d 
JhJdJc3d2s Js5s5d5c2c KdJh5s5h5c 4s4d4c2s2h 
Ah3h2h2d2c 5s5h5d4c2d Qc7s5s5h5d 9c6h3h3d3c 
Jd8s8h8c6h Ts8h6s6d6c 7h6d5s5d5c Qs4s3s3h3d 
QsQdQc8c3c Jh6s6h6d4h Tc9s2s2h2c Th6c3h3d3c 
Ts8s8d8c5h Th7s7h7d5c Kh7h3s3h3c 7h7d7c4d2c 
Td8c2s2d2c Jh3d2s2h2c Qc4s4d4c2c Ad3s3d3c2h 
Ks8s8h8d5s Th5c3h3d3c AcTsThTd4h Qs6c2s2d2c 
Jc4h4d4c2d Qd7s7h7c5c Ac8s8d8c2h Kd9s9h9c6d 
Ad4d2s2d2c Qc6s4s4h4d 9h5d4s4h4d 9s9h9d4s2s 
QsQhQd8c2d JsJhJc8h4h 7h5s5h5c2h 9h7s7d7c3h 
KdJs7h7d7c Qh6s6d6c2c JsJhJd8c2s Qd8h8d8c4c 
Jd7c2s2d2c Kc8s8h8d5d JsJhJc5s3s 5s5h5d3c2s 
AhTd4s4d4c Kh7d3s3d3c 6s6h6d4s3s Kh3c2s2h2c 
9s9d9c4h4c 9c5h3s3h3d 9c6h6d6c3c 9d8d5s5d5c 
Js5c2s2d2c Jc9d4s4h4c 8s8h8d8c3c Qd8c3s3d3c 
Qd3s3h3c2s Ts5s3s3h3c Kc9d2h2d2c 9s6h6d6c2d 
As4s3s3h3c 7d6s2s2h2c 9s5s5h5c4c Ks7c3s3d3c 
Kc7d5s5h5d Ah9h6h6d6c 8d3s2s2h2c 8s8h8c7s2c 
5s5d5c4s2h 9h6s6h6d5c 6h5s5d5c4d Kd5s5h5c3d 
9s6c3s3d3c 9d5c4s4h4c Qh7s7d7c5h Kc7s7d7c4c 
Qd6s5h5d5c Qh8d7s7d7c TsThTd6h5h JsJdJc7c5c 
QhThTdTc5h 7s7h7d5h3h Kh9h9d9c4h JhTs3h3d3c 
Th6c4s4h4d QsQhQc6d3s QdThTdTc2d JhTc3s3h3d 
Qh7s2s2d2c TsTdTc5s2c Qs8d2s2h2d Ah6s4s4d4c 
9d7c4s4h4c QsQhQd7d4c KcQc7s7h7c Tc6s6h6c3h 
Js5d2s2d2c KsKdKc8h3h Qc8s4s4d4c Tc7s7d7c5h 
9h7c5s5h5d QsQhQc8c4c 4d4c2s2h2d Th6d3s3h3c 
Jd7h7d7c5d Ts6c4s4d4c 7s3c2s2h2c 5s5h5d3s2d 
8h7s7h7d2d Td5c2s2h2c 9c4s3s3d3c Qd8s8h8d5d 
Ks5h5d5c4h 8h3d2s2h2c KcJc7s7h7c 8c5s5d5c3c 
5h4h4d4c2s 7d6s6h6c3d 9s9h9c5s4s Qh5d2s2d2c 
9h9d9c8s2d Kc7d4s4h4d JsJhJdJc5c Ah3s3d3c2c 
9s4c2h2d2c 9d6s3h3d3c Qc8s5s5h5c Ac9h3s3h3d 
JsJhJd3d2d 7s7h7d7c3h QhQdQc7s4h 7s6h6d6c4d 
QsQhQd6c3h QcTh2s2d2c Ks8h8d8c4c 7h7d7c3s3h 
Js8s6s6d6c QsQhQc6d2s 9d8c3s3h3c Jd6s6h6d2d 
Td4h2s2h2d KhTc6s6d6c Ah6c4s4d4c AhJsJhJdJc 
8h8d8c5d3s 8s8h8c3c2h 8c6s6h6d2c TsThTc3h2d 
AhTh4s4h4c KsTc6h6d6c Qs6h2h2d2c JsJdJc4h3d 
Ks7c4s4h4d JhJdJc4s2d Kh8d2s2d2c 9d5h4s4d4c 
Tc6s6d6c2h QsJc5s5h5d 8s7s7d7c4h AsQh6h6d6c 
6s5s2s2h2c 9d6h2s2d2c 9h4d3h3d3c 8s3s2s2d2c 
KsKhKd7s2s 7h4c2s2h2d TsThTd5c4h Qs8s2s2h2c 
Jd6h6d6c4s Qs4d2s2h2c Qs8s8h8c3c Kh9d3h3d3c 
8s6h4s4d4c Js7s7h7c3c 6h5s5d5c3s Kd8s8h8d2d 
Th4d3s3h3c JsJhJc4d3d 9h9d9c8s4d 9c3h2s2h2d 
Qs6c2s2h2d Td9d6h6d6c Qs4h4d4c3d JsJhJc7s2h 
Ks9h3h3d3c Js3s2s2h2d TsThTd7c5d Js7s6s6h6d 
Js8s8h8d3h 9s9d9c5s2c 7s7d7c5d2d Jh6h6d6c3s 
7h5d2s2h2c 8h7d2s2d2c Js9h3s3h3d JsJdJc9c3c 
8s8h8c4h2h 8h8d8c6c4c Jc6s6h6d4c 6d3h3d3c2s 
Jc7s7h7d5d Kc8h3s3h3d 9s9d9c4d2s Ah7d4s4d4c 
9s5s5h5c4h Kc7c5s5d5c Th8s2s2d2c Ks4s4h4d4c 
6h6d6c5h3s JhJdJc7c3s QhQdQc8s5s Kd7h3h3d3c 
QsQdQc6d2d As7h7d7c2h 9s9h9d5s4s 9h5s5h5d3s 
Qs9d5s5d5c 9d4d3s3h3c Qh6c4h4d4c 7s7h7c5h2d 
QsTd2s2h2c Jc8s8h8c2s 8d4h2h2d2c Kc5s5h5c3c 
Kd9h9d9c2d 7d6s6h6c4s TsThTdTc4c Kd8d2h2d2c 
Th5c4s4h4c 9c4c2s2h2c 9s5c4s4h4c Ad6d4s4h4d 
KdJc4s4h4c 9s9h9c8s5d Jd3s3h3d2c Th7s7d7c5c 
8c5d3s3d3c KsThTdTc5c Tc4s3s3h3d Qs9s7s7d7c 
Js6c3h3d3c 8c4s4h4c3s 9h7h7d7c3h JsJdJc9h4s 
7s5h3s3d3c Jd5s5h5c2c 9s8s8h8d4d QhTc2s2h2d 
8d6d2h2d2c KcQs7s7h7d Jd9s3h3d3c Js5c3h3d3c 
8c6s5s5h5d Jh3c2s2h2d Jd6s6h6c2c 9s9h9d7s2h 
9s9h9d8d3d Tc8s8h8c4c 8c6s2s2d2c 7s5s5d5c3s 
Qc5c4s4h4c 7c4h4d4c2c Kd8s4s4d4c Qc7h7d7c3d 
Ts9h5s5h5c 7s5d2s2h2c 5h3c2h2d2c Qs9s7s7h7d 
Kh9c4s4d4c KsJs8s8h8c 9h5d2h2d2c 9h5d3s3d3c 
JdTd6h6d6c JcTc2s2h2c Ah6c2h2d2c Js8s8h8d2s 
Tc3s3d3c2d Kc5s5h5d4d Jd7s7h7c4h Qs5s5h5c3d 
8h6s6d6c3d Ah9h4s4h4c 9s3c2s2h2d Td7c2s2h2c 
8h7s4s4h4d Qs7d3h3d3c Tc5h5d5c3h Qc5s5h5c2s 
Qd4h4d4c2c JsJhJd6s5s Qd9s2s2h2c Qc7h7d7c3s 
8h6h4s4h4d KcQs3s3h3d Kc6s2h2d2c 9s3s2h2d2c 
Qs6d4h4d4c TsThTc7d5s 8s8h8d8c6c Qs8s8h8c4c 
Kh6d2s2d2c Jc5s5d5c3h Qs6d4s4h4c Tc7s7h7d4d 
8h4s4h4d2c Ts9s9d9c5s Qh3h2s2h2d Jc6d4s4h4c 
9s6s6d6c2d Qc8s8h8d6h Th5s5h5d4c 6c5s5d5c2c 
Jc5s5d5c3c 9s8s4s4h4d 9s9d9c6h4c 7s7h7c5h2h 
9c7s7h7d3d JsJhJc7c2d Ad9s3h3d3c Jd6d5s5d5c 
Kc6s6h6c2h Ks9d3h3d3c Ks8s8d8c2s 9c8s4s4h4d 
8c5s5h5d4d Qc9s9d9c3d Tc8s4s4d4c 8d7d4s4d4c 
Jd8d5h5d5c TsTdTc5h2c 7h3s3h3c2d Qc9h9d9c3h 
8c7s7h7d2c Jh7s7h7c2d 9c8h2s2h2c Ah8s8d8c5c 
Kd7h3s3d3c Ks7h7d7c2c 5c4s4h4c2c Jh8c2h2d2c 
8s3d2s2d2c Ts7s7d7c2h 7s7h7c3d2s 3s3d3c2h2c 
Jd6s6h6c3s Js4s4h4d2h Jh3s3h3c2d 6h5s5h5c2d 
9h4c2h2d2c 9d5s4s4h4d 9h9d9c7d3d QdTd5s5h5c 
Ks3s2s2d2c 9s3c2s2h2c 8c7s7h7c3s Qs5s5d5c4s 
QsTs5h5d5c QsJs6h6d6c JsJdJc8s4s 9h5s5h5c2s 
5s4d3s3h3d ThTdTc5s2d Ad7s7h7c3c 9c4h4d4c3s 
Td9s3h3d3c Jd8h2s2h2c 8c7h2s2h2d 7h7d7c4h2s 
7s7h7d5d2d Kd7c3s3d3c 9h4s4h4d2d QsQdQc8h2c 
