AsQsJh9d8c 
AhKs7h5s4h AdKhJs7s6h QdQc9d8c7d AsJc7s7c5h 
AcQsQdTh7c AsAh6d5d3d KhJdTh8d8c AsKc7c6h3s 
AsQcTs6c3h AsKh7s6h3c AdQhJd5h4d AdKd8h7h5h 
AcKdKc9c5s KcQdQcTc7d AdQsQdTd8h KsKh6h4c2s 
AsKdKc7c4h KsJcTc7c6s AhQs8h5s4d KhKd9c6h2d 
AsAd8h7h3h KhKcQh2h2c AsQdJs9h2d AsKh8s5h4h 
AcQcJsTh6d AcQd9h6c5d AhKhTc6s4s AhKdJc9d5c 
AdKdJh8c7s AdKdJc7d6c AhQhJhTc8s AcKhKc5c3d 
AsKdQc9s4c AsKsKh7c4s AsAd9h6h3c AdKdJc8s7h 
KcQdJcTd3s QsQhJsJh3s AcTdTc7d4s KhQdJd9h9d 
AhQsJc9h4c AcKsJc6s6h KsJhJc8s7h KhKcJc9c2h 
KcJdTc9s6d AsAc5d4h3h AdQhTh9d3d AsKsTd6d4d 
AcJsJc9h3s AcKcJd7d4d KhJdTd7h7c AcKs9d7c4s 
AhQhQc6c3d KcTh9h8c7d AhJdTc6d4h KsQhJh6c5s 
AcKsJc5s2d KhQsTs9h7s AcQsJd5d5c AsQsTd6d4c 
KsQsQcTh4c KsQdJc9s7d AdKh9c6d4h KsKcJh8d8c 
AcQsJs7c3h KsKh9h6s4s AsJd7s5h4d KhKdQs9d9c 
Ad8h8d7h7c KdQcJcTh5d KhQhJc9c7d AdKhQs9s3d 
AhJhTc6c5s AhKcQd6h6d KsKcQh6h3c AcThTc9h7h 
KhKdJh8d2c AhQcTd8h3d AsJsJc8c4c AhJc8h7d6d 
AcKhJh8c2d KhQsQcJh6c AcKsQsJh7h KhKd6d4c2h 
AsJdTs6d5d AcQsJc5s5h AhTh9s8d5d KhQdQc8c6h 
KcJhTh8d6c AcTdTc9d6s AdQsJs6d5d KdJsTc9c8s 
AhKhQdTs9h AsKdJhTc3s KsKd9d4s4c AhKsQh7s4h 
AhAdAc9h3c KsKh7s5d4d AhAd8c5c3s AsTs9h9c7h 
AhKsJs7s3h AhJd9h7d6s AsJhJc3s3c AhJh8s8c7s 
KhJhTs9h7s AsTc9d8d5s AcQcJd9s8h KsQdJcTc6s 
AhKc9h8h5c Ah9d8s7s6h AcKhQs9s6h AhJsTc7h3s 
JsJhTd9h7s AhKsJdTs9s AcThTd7c5h KdJdJcTc6s 
AhKsQd3h2s AhKh9d7c6c KsQdJd6c5s AhKsJdTc5h 
AdKcJd4c2s KsKc7c4s4c AdQh8c7c5d AhTsTc8c6h 
AsTs8h8c7c AhTs9d7h5s AdTsTd7c4s AdJsTc6d4c 
AcJhTd7d3c AcQcJs9s3h KhKcQc6h3c QdQcJs5d4c 
KsQhJhJc9c KhQdJhJd3s AsTh9c8c5s AdJh7h5d4s 
AdThTc8h5d AdKdQhJd6h AdQcTd9c4d AcKs5h3s3c 
AsAd9c6c3h AhQhTd8h6d AsTs8d7d6d KsQdJdTs2h 
KsQcJcTs2h KhKc8h8c2d AhKcQcTs6s AcJdTd4c3s 
AdKcTd5c2h AdQsJhJd5c AdKcJsJcTc AhKsJh5s3h 
AcQsQd4s4d KdQhQd5s5h AcJs9h8s6c KsQdJsTd7d 
AcJh9s7h7c KsQsJh9h7c AsJdTh7h3s AdJsTs7s7d 
KsQhTc9s6c AcQhTc7s4s AsQh8s7h7d AdKdJc7c6d 
KhQhQdJc2d KsKh9h8c3s AdKsQh8s6h KsKc8d7s6h 
