AcKc9d8d6h 
AdKd9h7h6h AhTd9d7h7c AdQhJd5s3s QcJsTh9c7h 
AcKsKc9h5c AsQhJc8h3s AcKs9s8c4h JsJh9d8s8d 
AsKdQcJs2h QsQcJsTd9h KsQdJsJc7c AcKhTh8c3c 
KdKc9c5d4d AcTs8c6s5h AdQsJhJc5d AsJdTs7h5c 
Ac9s8s7d5c AsAhKd5c2c AdJd8h7h5h KhQhTd9d7d 
KcQsTc9s6s AdKhQh7h3d AsKdKc9c7c AsJc9s9d5c 
KsKd8s8h3d AhKdKc8d4s AhKs9s8h2d AcQhQcJs2d 
Ah9s8d7h5s KcQdTd9c7c AsAh6d5d2c AcJs9c5s4h 
AdQdJs4s3c AcQcJs4s3h KdTsTc8d7c AcTsTd8c4s 
AcQdQc4d3c KhQsTh8s6s AhQd9h8c5c KcJcTs8s8h 
KsKc9s5c4c AhQsTs7h4h KsJhTs7h6h AhTs9s9h8h 
AhQhTs6d4d KhKcTc7s7c AsKhQh7h3s KhQsTsTh6c 
AcKdQh3d2c AhKsTd3s3h AsAcJs4s2s AhJs9h8d6s 
AhKhTs8s3d KhJhTc8d8c AcKdQc8h3d KsQsQhJd6d 
AsJdJc9c8d KcQsQc9s5h AsKcJs8h7d KsKdTs7d2d 
AcQs7h6c4s KhQsQdTh9c KhKcQc6d5s AdQd9h7c6h 
AhTc9h7s7c KcQsQcTd3s KsQsQh6d5d AcKdJh9s9c 
AcKcJs9d2s KdQdQc8c5s KcQcJsTs6d KsKd9d7h7c 
KsJd9s8c7d KsKd8s8h6c AdKs9c8d2s QsJcTs8d6c 
AsQc9c7s6c KcQsQdJd6s KhQsQcTh2s QhQc7c6h5d 
KcQhTc8h6h AhKsQc8s3h As9d8c7s5d AdKc9d8c6d 
KdKc9h9c7c QsQc9s8c7c KdKc9h7c6s AsKhJs9d7c 
KhJs9h8d7s JsJcTdTc6d AsAc9h4s2s AsQhTs7s5h 
AsKcQh6h3s KsQsQhJc3c QsQcTh6h5c AsAh7c4d3c 
QcJcTh9d7h AhQsJh9s5h KhJsTc9s6h AcKsKd8s6s 
AdJdTc7h5s Ad9s8d7c5s AsTsTd7s7d AsJsJdTs2d 
AhKdTs8s5d AsQsJd6d5s KcQsJc9h8h AsTsTh8d5d 
