AcQdJs5s2c 
AsKcJs8d5h QhQdTs6h5s AhJsJd9s2h AdJs7h5h4d 
AdKcQd7s2c AcQhTd6d6c KhQhTs6d4s QsQcJc7h5s 
AhJh9c8s7d JdJcTc9d7d AcJdTd2s2c KhQdJh7s5d 
KcJdTc9d4h KhJsJdTd4h AdKd9s6h5s AhKhQsJc6d 
QsQh8s7d6d AsKsJh8h6s QdJcTh9d6c AcKcQsTd3h 
AsKdJs8d3s AhJdTs3s3h KsQcTc9s3h AdJs9s6h5d 
AsJs9c8h6h QhJcTc5s4h AhAdKh7h2h AsTd9s6d5h 
As9s9d8h7h QdJhThTc7d QsTsTd9d7c AhQd9d8s2h 
KsQsJcTs9h KhQhJsJd3s AhAd7c5c2s AsKs8h7c6d 
AdTh9c8c3d AcKdJhTs5d AdJh7d5c4c QhJhTc7d6c 
KhKd5d4h2h AdQdTh5s3s AcQdTh4h3c AhJh7s6c5c 
QhJdJc8h7c AsKhQdJs6c JcTh9d8d7h AsKs8d5h4d 
QsQcJc9s6s AcQcTs7c4s QhQdJc5h3d AsTd7d7c5s 
AdThTd8h4h AsTc9s8d3c KhKcQh5d4s KhKd7c5d2h 
AdKh8h6c2d KsKcJh6s6d QcTd9d7c6h AcJc9s8d6d 
AsJc9h8s7d AcKdTs5s5c KhKc9c8c7d AhTd7c5h4d 
AsKdTd9h5h AhJhTc8h7d QdJcTc8d6d AcQcJd5d2s 
KsKd9h4d3s AdQsQh9d7c AhTsTh9d2d QhTd9d8s6h 
KcQsQcJdTc AdJhTc6h3d AsKcJhJd5s AdTh9d6h5s 
KsQhJsJh5s AdJhJd8s3h AhJd8h7h5d AsQsJc9s8d 
KsKd8s7s7c QhQd9h7d5c AcQsTc8d5h KcQhQc2s2h 
KhKcQc5s4d AhQsQhJd5h KhKd8h5s4s Ac9h7h6c5d 
KhKc7d6h2c KhQdJcTs9s AsJsTc9s8d KdQsJh7d6h 
KdJcTd9h8s As9d8h7s7h KsTd9s9h7h AdJhTdTc5s 
QsJsTd7d6h As9h7h6c5s KsKcQhTc8c AsKd9d8c2s 
QsQhJd7s5h QhQc9h7c5d KhJdJc7c5h AdJcTd6c4c 
AdTs9d8c3s AcKs9c6s4h KhKd8s7d6d KdKcJh7h3d 
QdQc7d7c5h KsQsQhTc4c AcTsTh6s5c AcTs7d6d6c 
AsKsQhJc6d KhJhTc8s6s AdKd8c5h4c QhJdJc8h7d 
KcQdJdTd2c AdKcQs9d7h JhJcTs8c6h AcQh9d5h4c 
AhJd8s8h6d QsQcTd9s4c QsQhJsTh4h AdKdTh8s7d 
KhKcQs7h6d AsKdQcTs2h AcQs7c5s5h KsKcQd8s8h 
AdKhQc7h2d AhKhJs4s2c TdTc9d9c7h AhKsQc6d5h 
AhKd7h6d3d AsQdTd8s2d AsTc8d5s4d AsKsKhQs3s 
AcQsQcTc3d QhTd9s9h8d AsKs7c6d6c AhTs8d6h5d 
