KsKcJc8s3s 
KsKdQs6d2d AcJsJd7h5c KhQhJd5c4c KdJdTs7s5s 
KsKdTc9h5d AdTs9c8h8d KcJc9s7d6s AsKhQh4s2s 
KsQsTc7c5d QcJsTsTc6h KdKcTd9h6d KdTc9s8d6c 
AsKd9d5d4s Ad8h7s7d6h KcQhTc9h2s AdQcJc7c3d 
JhJd8c7h7c KsQhJh8s7s QsJhJcTh2s KsQd9s8d6h 
AsKcJs8d3d QdJsJd9s6c Ac8h7s7h5c JsJd9s9d6s 
AcKhTd9c4s KdQdQc9s8h Ac9c7h6d5d KsTc7s7h6c 
KsQcJhTc3h KdThTd8h7d AcKdJd6c2h KhJdThTc3d 
AdKc9d9c5d QcJh9d8h8c KcQsQdTd8h AdKsQh8s4h 
AhJsJd7s7d Ah8c7h5c4d AsKdTs6c5h QsTsTh8d6h 
KdJh9c8d8c JcThTc8h6d KdQcJdTc5d KcThTc8h7c 
QdJsTc9c8h KhQdThTd5s KdQhThTd5s AdQhTd5h3d 
AcQhJcTd2c AsAhAcJd9s AcQhJc8d6s AcQsJs9d7d 
QsTd8h7h6s KhKcQs7d7c AsQhJsTs5c As7s7h5c4h 
KsKdQs5h2h AdQs9h6s6d KhTh9h7s6s AsKsJc8h2c 
AsJh9s9d6d AdKhJc6c3d AdKh9c7h6c AhTd7c6h4c 
JdTd9s9h8h JdTc9d8s8c KdJdJc8s5c AcJh9d8c2h 
AhJdTc7c2h AdQd9s8d7s Ac8s8d7c6s AsKcTs9h4d 
AdKc9h7h6c KcTh9c7s7h AsQdJhJc7s KdKcJd9s6h 
AdKcTh6h4c Ah9s8h6c5c AsTh9s8h6s AhKdQc6h4s 
AdQhJcTh8h KdJs8d8c7s AsAd7d4d2d AhKcThTd8h 
QhJhJc9c6s AcQhJcTc9c AhKc7c5h2d Ad9d7c6s5s 
As8s7c5c4d AcKsKd3h2s KdJdJc6h5h AsTd9s6d4h 
AhJh7c6c5d KcQsQc4s2d AsQsTsTd8c AcKh8c7d6s 
QdQc7c6h4d AcQcTs9h4d KhKd9s4d2h AsTc7d6s4d 
AsKdQhJd4c KcJsJh9c6s AdKd5c4h4c KsQdTs9d5c 
KsKdTd8c3c AsJhTs5s5h Ad9h7s6d5h JdTsTd7s7d 
AdQsTh9s5h QsJdTh6s5h AcKsTh5h4s KsKh7d2s2h 
KhQsJdTs9s AdJdTs9h9d KcJhTd6c5d KcJhTdTc5h 
