QhQd7s6s5d 
AcJs8s6c4h AhKsThTc5d AhKdQcTh7h KcJs9s8h6c 
QcTsTd9s6c KsJh9s7c5h KdQsTsTh4d KcJcThTd6h 
AsQh8d5s5d KhKdTc8h4s KsQsTh9d9c QsJdTd8s5h 
KsKhTc7d4h AcKsKh8d3h KdKc7d2s2c AcKd6h5c3h 
TsTd9h7s7d AdKsQhJd8d AsKsQs5c3c AhKhQsJh4c 
AhKdJd8h3h KsQcTc5s4c KsJhJd8s6h AsKdQhJd9d 
AdKcQsTc7h QsQd8h6d4s AdJhTs4s2d AsQs8h5d4d 
QhQcTd7c5d AdKcJdTh4d AsJh8s6h6d KhTd8d7d6h 
AhQh9c8c4d AsTh9h8d7d JcTh9h9c7d JdJc8d7s6c 
AhQdQc9c3d JdThTc8h6d AsKsTs7c6d AcKsQhQd3h 
AhKh8s6s6d AsKc9d9c2s QsTs8h7h6d KdJsTs7s4d 
ThTc7h7c6d Tc9h9d8d8c KhQdJc9c5h AhJsTs7c5c 
QhQdJc8d4h KdKc7d6s6d KsKh9h5d3d KsKcTh8d6h 
QdJhTh5d3c KdQd9s7h6s AsJdJc7d5c QcTh9s9h7c 
KhJsTs8d4h QhQcJs9h8d AdKdTs4c3c AcKh7d7c4d 
AdKcQs7d4h AdKsKc9h3c AdKcQd7h3h KcQcJs6h5h 
QsJsTh7s6h AdQhTs7h4s AcKc7h5d3h KsKh9c6s5d 
AdKsJd8h6c KsQhTd5d4s Ac9s9d8d5c JsTh8h7s7c 
KsKc9h6d5c QsQdJdTd8h KdQhJh9h6d AsQdTc9h3s 
QhQdJh4d3c KhTd7h6d5s AcJcTh8s3d KcJs9c7h6h 
AdKsKc8c4c Qh9s9h8s8h AdKcJs9s3c KhKdTc8s5d 
AcTc9d6s5s AsQs9h8h4c KhKc9h4c2d AcQsQdJc4c 
QcTs9s9c8s AcKs8s4c3d KcQd7d6c4s KdJcTc9d6d 
AsKsTc5c2d KsKh9s5d3d JdJcTsTc7h KsKc8s5c3s 
AdKhKdJd2d KsQcJd6d5c AsQhQd9s8s KhKc9h6h2c 
QcTd9d8d6c QhJsJh7d6s AdKsJd7s2s AcTc9h8d2h 
AdTh9d8s8c AhQcJh8d3d AhQhJs9s4h KdQdJdTh4h 
AcKc7h5s3h QhTsTd8s6d KsQsQh8h4c QdJsTd9s2h 
QsQh7h5s5c QdJcTh9s8c AcQd6c5s4s AcJdTd7s5s 
JdTsTh8s6d QdQcTd9c5c AdKhJhTs3c AcKcQdJc4s 
JsJcTs6c5d KdTd9d9c8c QcJsTh9h5c QhJhJc9c5s 
AhKhTs7h6d AhKd5d4d2h AhKhQd4c2c KsKhJdTd6c 
AhTh9c8d2d AsJs8d5h5d AsAh8d4c3d AsQcJhJd2s 
QdJsTs5s4d AsJh8h6s4d AsKdQc5c2d KhKcQhJd7s 
KsQc6s5c4d KcJhTs9c5s KsJd9d7h5s AsTsTc7h6d 
KsKh6d5h2d KcJdTs8c7h AcQcThTd9c KdTsTh7s7h 
AsKdTsTh5c Ah8s8h6c5s AhQd6h5c3d KsKdQh8c6s 
AsKsJdTs3c AhThTc6s4s QsJcTs5h4h AhQc5h4c3d 
KsQc9h7s6h KdQsThTd3s KdQhJs6s5h AsKsQc4d2d 
KhQhQc8c4s KsJsTdTc3c AdKhQc5d3s AhJdTdTc9s 
AsJh9h8s2c KsKdTd8h2h QhQc8c6d4h AcJh9c5s4s 
KhJsTd8h7c KsQcTh5s3c AcKhJsJh9h KsQhJhJc5c 
QdTc9c8c6d AhJhJd9c5s KdQhTd6h6c Ad8s7s5d4s 
JdJcTc7s5d AsQd9d6s6c AhJcTs7h2s QsQcJhJd8d 
AcTsTd8c3s KhQdQc6d3c QsQc8h5s5c KsKcJsJh2s 
KsQhJhJd3d AdKdJh5h3d AcTd8s5s5c KsQdTd6s4s 
KdQhJhTc9h QhQcTd7h5d AdKcQs9c4s AcKh8h4c3d 
AhKcTs7s3c Ac8h8c6h5d AhKdTh5d2d QsQhThTd7h 
QcJsTd5d4s Ah8s8h7s6s KhJcTc9h6h QcJsTc5h4h 
KhTd8h8d6s KsKdTc8d4h KhKcTd7s4c AhQs9s6h6c 
KdJsTd7h4h AhKhKc7h4h AdKcQs6s3c AdKdJc3c2s 
KdJdJc9s9d AsKh7s7c4c QhJsThTd3s AsJs9h7s5h 
KsQcJdTd9d QhQcTs9s5h AcQh9c6h4d AhJhJd6d3c 
AcQh9h9c4d QsQcJs8c5s KsKhTd5c4s As9d9c8s6c 
QsThTc8c6h QdTs9s9h7d AdKhQdJd4s AhKhQs7d3d 
AcTc9h7d6s JhTh9c7d6c AhKh8s7s7h QsQdJd8d5s 
AcJdTc9h2s AhQsQcJh4h AhJc9s7s4h Ac8d8c6h5d 
QdQcJcTc8s AsKdJs6h5c AcKhJs8c2s AsJs9c6c5h 
KsKhTd5h2d KhKdJd7s6d AhQc6h5s4s QhJsTd9h8h 
QdJdTs9c6c Ah9h8s7s4d KsKdTs8h2h AhQdJd8h2d 
AsJd8s5d4s AhTc8h6s6c AhKsQh4c2c JhTc9h8c6d 
AcKhKd8h4h Ad9s9d8h6h AdJhTc7d2c KhKd7c6d5d 
KdKcQs7d5h QhQdTs2h2d KsQdJhJd5h QsQc7s7c5s 
KdJsJd9s6s AcQs9h8c4h KhKdTc9h3s QcJhTh9d3c 
QsJdTsTh6h AcKsThTc7c KcQhTc9s8d KsJsTh9c5c 
KcQcTh6h5h KdJh9d8s6h QdJcTs5s4c KsKhQc7s5d 
AcJsTs6c3s KsJsTc8d5c AhQcJsJc9d AcTc7d6d5d 
