JsJh7c6s6h 
KdKc6d4s4h KdQd9s7c6c KcQcJcTh8d AsKsKd9c3s 
KsKcQc5h5d AcKdTs8s7h AcKsQsTh6d AhKh5s5c3s 
JsTc9c7h6h KcQdTs9d8h AhKdQcTs7c AsQc8c5d2s 
AsKh8h6s3h AhKc6h6c3c AcKsQh7s6d KhKdJd6s4c 
AsJdTh8s2c KdJh8h7d6h AsKdQh4h2d AdKsJd9d7h 
QsQdTh7d3s KdTdTc7c4s AhKh5d5c3d Ah7h6s5d4s 
As9d8c7s4d AhTc6h5d4c KsKcJc5h3d AcQhTh9h8s 
JdTh9h8s6d KsKdQcTs4h KsKhJs5d3c AcKcQhJs6c 
KhQcJh6h4c AsJd8d4s4c KdQsJc9s4d AsKdJc9h7d 
AdJdTc8h5d AhKc6s6c5s KsKcQc9h5d AhJsTc9c3s 
KcJsJh4h4c QcTd8d7c6c KdQhJh7c4d AhKhQd3h3d 
QdJcTsTd2s Ad7c6d5s4s JhTd8h8c7c AdQd8s7d6s 
AsQcTc5s2c AsKd8d7s2d KdQhJc9h6c KcJh8c6h5s 
KdKcJh6s4c AdQhTs6h4s Ac8d8c5h4h QcTh9c6h5s 
QsJsTdTc6d QdJs9s7h6d AsJh9s7h6s AsKcJd9h7c 
AsKcQdJd5h AsKhTs6c4d AcQh6s6h4c AsKsJc9c2s 
AhQh9d7d5h AdKcJhTd2d KhQcJd9c4h AdKhJh8s4s 
KsQsQh7h3d Ah8h7s6c4c AhQc7c6h3d AcKdKc9c2s 
QdQcTsTh7s KdKcQcTs2h QdQcTh8s6d KcQcTs9d7h 
KsJcTh9h9d JsJd7d6s5c KhQcJc9d4h AhQsQh6c2c 
KsKc7s6d4h KsQsJd9c5c QhTs9s9h7s JdTsTd8c6c 
AsKcJc6h4h KsQhJs9c6c JcThTc7s6s AcKd9s8c6h 
KhQsQh4h3s AdJsTh3d2h AcJc7d6s4d AcKd6c4d2h 
AhTc6h6c5d QsJdJc7s6c KsKhQh9c5d KsTd9c7c5s 
JsJdTsTc7s JhJdTs8h4d KsJcTs8s5c QhJhJdTs3s 
KdKc7h3h3d KdQhTd5d4h KcQh9d7h5c QdQc7c5d5c 
KhTsTc9s9d AhJc9c5h5c AdQcJcTc9c KcJdTc6d5c 
AcKs9c8h3h KsTdTc7c5s TdTc9d9c5s AsKhQd7h6c 
AdQdTs5h2h QdJhJd6h6c QsQdTd9s3d AhKdQcJc9c 
