QsJsTd9h7c 
KhQdTd9h4h AcKdQs7c5c KdKcJh9h7h KsJd7s5d4c 
Ac7h6d5d5c AsQhJd6d2s AdJs6s5d4s KdJs8c6s5d 
AcQcJd5s4c AhKh9d5s4s AcKc9h5d3d KhKc8d5d3h 
QsJsJh8h4d Ad9h9d7h3c KsTsTd7h5h Ad8d6c5c4h 
KcQs7s7c5h KdJdTc6d4c KsQsQc5d4h AsQc9d8s2d 
AcQh9h5h5c KhJdTc8s8h AdQsJd4d2s Ac9c8d7d5c 
As9s8h7d4d QdJsTsTh4h AhKdTc8d3c Ac8d6s6d5c 
QsQhThTc2d TsTh8s7c6c KcTh9h8s5c KsJcTc6s3d 
AhQsTd7h6h KdQsJhTc8c AsQdQcJs7s AsKcTd8h7d 
AcKsKd7h2s AsJs8h6h6c AsKsKc6s2h AhJc9h6s6c 
AsQhJd6c4s AcKdTc4c2d AsKcQsJd6s QsJhJd9h5d 
AsQcTs6c2c JsTc8d7d6c QhThTc9c5d Ad9c7c6d3h 
AcJhJd7h4d KdQdJh8h8d QcJd9c7s5d AdQd9c7s4s 
As9h8d5s4d AsKhQcTc4d AhQcTd8s7c Ah9s9h5s5d 
AhKs4h3s2c QsJd9c6s5d QdQc9d9c4d AsTd6d6c5s 
AhAdAc7s5d AcQc9h5d3d QhQc7h5h4c KhKdQd8s8d 
JsJhTc9h2s AcKhQhTs7h AcJc8d6h6d AsJsTc7h3d 
JdJcTh9c2d AsKsQsJh9s KcJhThTd4d QcJcTd9h5h 
AhKsJd8h5h AsTs6c5h4h Ac8d6s5c4s AhKd4s3h2d 
QsJsJd6d4s KhTd7s6s6h KcTd9h7d6h AhTs9c4s4h 
QhJcTd7d5c QsQhTs9d6c KsKdJc2h2d AdKsQdTd3h 
AcQhJd6s4c KdQhJhTs8h QdQc8c6d4d AsQh7h4c3s 
KsJdTs8d4d AcKsQs5h4d AhJs9s6h4d AdQc9d8c3c 
AsJcTh8h7d AsKc9s8d6h QsJsTd8c7h KsJhJd7h5d 
Ah7s7h6d4s AhJc6c5h3s AhTsTd2s2h AhKhTh8c6s 
AdJsTs9h9c KsJhThTd2d KsTs7h6h4d QsQhTc5c3h 
AsQh8h6s4s AhKdJsJc8s Ad8c6s5d4s AcQc9h6h4h 
KsQc8h6s4c KcTc7s6s5d AhJc5c4d3h AhTd9d4s4h 
AdKh4c2h2d AhKsQsTd7s AcQd7s6h5c AsKsJd9c3h 
KsTs8c7s6c AdTc8s6c3d KdThTd5h4c QcJcTh5s3h 
KdJsTc9h7s AhKh9d8c6s KhQcTc9h4h KdQc8h6d4c 
KdKcQs7d2s KcJdTs7c3s AhKd9c6d5c KhKcQc6s2s 
AhQc9d8h3d AdQdJc9h9d AhKcJsTh6h As9h8h5s4d 
AsKh8d4h2s JdTd9s8s8d KsJs9d7d5d KhJsTs6h4h 
KdQdTh9c2c AsQh9c5s5c AdKhTs7d5d AsAh5c3c2c 
AsKsJh8h3s AhKs4c2s2h QhQd6c5h4c AsAhAdKc4h 
JcTs9c7d5s QhJd9h7c5d Ad9h7s5d3h AdKh9d9c3c 
QsQhThTd2c QsTc8s6h5h JdJcTd2h2c JcTc8s7d5d 
Ad7s7h6h5d QdTsTd6c5c KsKcJc2h2d AcJsJh7h4s 
