KhJcTd8d7s 
KdJsTs6c5c AdQhQc9s3d AhQsQd8d5c Ad9d7s6h4h 
AcKcJh9d2s QhTs8h6d4d AdTd9s9d8h KsJdTh8h7c 
KsKd7h7c5h KcTdTc7d5d KsKcJc9c5d AhQhJhTc5h 
KdQcJs8d7h Ac8c7s7d4d Kc8d7c6h5h QdTs9h6d5h 
AsKsTs8c5d AcQdJh9c3s KcTh7h7c5d QhQd8s7d7c 
Ad8h6s5s5d AsKsJd9h2c AcQhQd5s4h KcTs8c6h4h 
AsTd6s6c4d AcQhQd8s6d AsKhKd9h3h AhKcQs7c6c 
AsJhTs5c4s QsJhJcTc9c KcQsTsTd3d AhJd9c7h2d 
QdJs9h6d5h AcQsTh7d3c KcJcTd6h3d AhJdTs6s5d 
AsQsJs6d5c KsTdTc9c4s AcTc8h7s6c JsJdTd7s4d 
KcQsJd8c7h AcKd6h5h5d AsQcJcTh7c QhTh8s6d4s 
QdTh8s8h7s AhTs9d8d6s KdTh9s6h4d AsJhTc4d3s 
AhJdTd5h2h KhQh6c5c4d AhKh9s6c3s QcJcTd6c5d 
AcKc9d6s3d KsQc8s6d6c AcQs8c6h2s KhQsQhJc4d 
KcTsTc9d2s AdKdTs4s4d KhJsTd9d7c TsTh8s8h5c 
KsKdTh8s2c KdQdQc9c4d Ac9s8c5s4d AhKd9d3h3c 
AhKdQcTs6c KsJhJd9d5h JdTd9d7c6c KcQh9c6h4d 
JdThTd9c4h KsKhQd7c5d AhTh9c7s2s KcTc8h7d6s 
AcKs5d4h4c KcQsThTd9d JhJdTs9h7c Ac9c7s5s3h 
AcJs9s8h5h AhQd8c6s5h As9d7s6d5s AcQcTd3s2s 
KdQc6d6c4s AcJdTsTd9d AdJdTd8h4s KcJh8h7c5c 
KhJdTd8h4h AdJhTd5s5c AhAc6d3s2s AhQhJd5h4c 
KhQdJhTs6c AsJd8s6d4s TdTc8s8d5c KcQhJh8s6s 
AhTs9d3s3h AhKs9d6h3d AcJc9h8d7c KhJc9c8h5c 
AsKdQh7d6d AhKh8c5d3c AdJdTd8c4s KdKcQh9s6h 
AhJh8d5c3d AcKcTs8c5h KhQsTdTc9d QhQdJd8h2c 
KcTc9h8s5h JdTc8d7h4c KdQdJhTc4s KsQsQdJh4c 
KhJcTc4h2s AsKhJc4s4d Ad7s6d5c3s As8s7c6s5c 
AdKsTh7c4s AcJd8c7h3h KhTs9s6h5s Ah9h8s5s5c 
AcQdJsTh5h AhKhQhJc6d TdTc7s6s6c KhJsTh4s3s 
Ks8s7h6h5c QhQdTs4d2h KdTd8c6h5h QcJcTd7h4d 
JdTh8c5h4d AhQhJd7h5c Jh8s8c7h7c AhKd8s7h2s 
KdQs7d6d5s AsKcQs9h4d KdJs8s7d5d AdQd9d7h5h 
AcJd9s7c2d AsJs5d5c4d AdQc9h6h3d AhTs7h7d5c 
AcJhTc7c2h AsJh7c5s4d Ah7c5h5c4d KdJc8h6d5h 
QhQcJsJd5s AcQhJhTh7d KsKcQs8h5d AhQsJcTd7d 
As9c7h6h4s TsTh9h9c2s AsKhQh9d7c AhQdQcJd6s 
AhTh9d8s4c AdJdTd5s4c QcTc8d7d7c KsQsThTd5d 
AdQsJhJc8c KsKd8s5c4h KdKc9s7d4h QhJhJd8s5s 
AdQcTh9s7c KhKd8c5h4s QdJs8s6d5d QsQhJc6c3s 
AhKhJc9s2d KcQd8c6s6d JdJc8d6s5s AsTs7d4c3c 
QdJhTs8h4s AhJc7d5h4s AhQd6d5h2c AcKsQd7s6s 
KdQs9h8s6h KdJh9d6s5s AcQs9d6d3c KsKdQd9d6c 
QcJhJd4c3h KsQhJd8d4s KsQh6s5h4s AcQcJsJh4c 
AsJsTs9d5c KhKdTs8h2c AsTh8s8h3h KhKdJh5h5c 
QdQcTsTh3c AdQc6c4d4c AsJh8c7c2s KhKdQhJs6h 
QdQcJsJh4h QhQc8h5c4h Ad9s8s6h4d KsQd9s6d5s 
ThTc8d6h5c QsJhJcTh9h KsKd8s6h4c QhJsJc7s5c 
JdTc7h7c6d QsJhJd5d3h AsAhAdQc4s AsKhTs8c5s 
KsJs9h8d5h KhQhJsTc4d KsQsJhTc4d KsQhTs8h4h 
AsQcTs4h2h Ts9h9d8s7h ThTd9s9h4s KhQc8h5d4c 
QsQhTd8h3d QhJd6s5h4d KsKh8d6d5c AsKs8s7d5c 
AhTc9c3s3h JdJcTh9d4h AdKsTd6c2c QsQcJs8d4d 
