JcTc9h8h5d 
KdKcQdJh4d QsJsJc7c4d JhJcTc9d2d KhKcTc4d3s 
Jh9s9h7d6s KdQcJs9c8h KsKd9s7c4h AdQd8c5h3c 
AdKcQsJs7h KdJhTs7d7c JcTc9s6s5d AcTs8c5s2d 
AsJcTsTd2s AsJs6d5d3h Ac9s8c6s4d AcKd9d7c2c 
QhQc9d8h4c AdTc8d8c2c KcJd7c6c5d AhKdJsJc7s 
QsJd8d7c5s KcJd7c6d4s JsJd9s9c8s JsJh9s5h3d 
AdQhJsTs7s KhJsTs9s7c KhQcThTc2h KcJdTc5d2s 
KcJh8s5h4c AdKsQs7h3h Tc8h8d7h7d AsQsJh9d5s 
JhJc9d9c4d Ah7d6s5h3s QcTs8s6c5c AdQs8d8c3s 
AsJsTc9s6d KhKc8s5d4c AsQsJsTs7h Qs9s8d7c6c 
Kh9h8c7c5s Th9h9d8d6s KcJs8h5s4c QhQc9d8h6s 
KdJc9c5d4h QhQdTh7h7c AhJhTd5d2h KhQdJd4h2s 
QdThTc9d5c AcTh5c4h4d AcKh7d6s4c AhKhTh5s3s 
JsJcThTd4c QcJdJc6h3d JhTc9s8d7c AsKhQc6d3s 
AdTd7h4c3h AcKsJh7s5s QhQdJh6d3h AhTc8d7d7c 
Ad9s8d6d5s AdQdTs8h2c AcJh9h4s4c AsKcQcTc5h 
KsTs6d5d4c KsQhQc5s4d JdTsTd9s4h KsQhJsTs7c 
KcQsJc8d4s KsQd6h5s4h AsQs9d8h8c JhJd8s7s5d 
QcJd8d7c5h QcJdTc8s8h AcJsTd7d3s AdTs9s6d2h 
KdQhTs9s2h AhJd9s7d5s Qs9c8s7h6h KhQh7c5c4d 
KhQsQcTc6d AhTh8s5c3c Js9d8s7c6d QhQd8c6c4h 
AsTh9s3h3d AsKd8s7c6s AdKs6d4c3c KhKdJs5c4s 
KsQcJc7s4s KsQcTs9s4c QhJs9s9h6d JsJd6d5h4s 
KhQcTs9c8c AhQcJs4h4d Kc9s9c6s5h QdJsTd7d4s 
KdJhJc9c2d AhKh9s6c5d AsQsTc5h3d KhKdJh9c5h 
AsQsTh4s4h KsTs9c6c5c AsQc9s6d2c JhJc9h6s5s 
JsTd9s6c5c AhKdQd9d8c AhKd8h7c2c AsQsQd5s3h 
AsQsQh9s6d QsJd8h7s6h KsTd9d8h6h Td9d9c8c6h 
KhKcQd9d7d KsJs7h7c6c JcTh9s9c6h JcTh8d7c5d 
KhKc8c3s2h KsJd9s9c5d AhTd7h5c4s KdJhTs5s2d 
QdTs8c6c4d JsTc8s6h5h KhQh8c7s7c QdJd9c8c6c 
KsJsTd8d5s KcQhJsJd9s AdKh8h3d3c KhKc9d6c3s 
KcTh6s5c4h AsAhAdQd4c JdTh8d6h6c AsJh9s8h3s 
AhTsTc8s4c AcQhJd8c3s KhQd9c8c6d AhKdTc3d3c 
QdTs9s6d5s AhQsQh9h6d AcKc6c5s4s KhJcTc4s2h 
AsQhJh8d7c KcQhTs9s9d JsJd8s8h7c AsJh8h5h2s 
AhJc6d6c4h AhQc9s9h3s KsJhTh7d4d AcJd5c4d3s 
QdJh9d8d6h AhJd9h6d4d QsJs8d8c7c Ac8d7c5d4c 
AhKcQdTs5s AsJsJc7s7h KhQhJh9c6c AdJdTh7d4c 
KsQhJs4h2c AdKdJdTc4d AsKh9h9c6c AhKhQs9d4c 
AsKs9c5c3c Qc9h8c7d6d KdTc8s6s4d Ah9s9h8d4d 
KsQsTs9d9c AcThTc7d2d AhQdJc5d4s QsJhJd9d8c 
AhQsThTc4h QsJsTd6s4d JsJd8s5d4c KdQcJd4c2h 
KhKcTd4c3s JhJdTh3h3d KcQsJhJd9d JsJdTh9h3s 
