JhTs8h6s5h 
KsKd7s4d2s Ah9d8d5s3h KsJcTd5c2s AcTc6h5s5h 
QdJdTd9c4c AdQhJc8h3c KcQs6c5c4s AsQc7h5c2s 
AhQd8s7s2h KdQd7s6h4s As8s8c7d5h JsTc9s5c4h 
AhKh9d6c3c AcKcJh7c4s AhKdJh7s4h AcQs9s9d7d 
KcJs7s6s6c AcKd8c7s5c KhKcQh6h5h AcQcTc6h3h 
Ks9c8c7s6s JsTd9c8h7c QsTs8c6h4h KdJsJh9c8h 
JcTh9h6d6c QsJhTc8s8d TsTd8s6c5d AhKd6c4h3c 
KdKcQd6d5d AcKhTsTd7s QhQdJd7h3s KcQhJc3d2h 
KsKcTh5s2d AhKs9d8s7c KsJhTc8h2s QcJcTs8s4c 
KsQc8s7s5c As8s7s7d6d KsQcTc8s4s AhQsQdTd6d 
ThTc9h9c3h AsJsTsTc2d AdJhTc8c7c JsTs9c8h5h 
KhKcJs9c3d QcTh9c8s7d KsQcJc4d2s KdQsTd5c3c 
JsTc8c7c5s KcQsJh7s7h KhJcTd7s5h AsTd9s7h7c 
AdKs7h2s2d QsQcTs4c2c KsKcTh8d3s AsKhJh6d5c 
AdJs7d5s2c AsKhQh5d2d AdJc7c5h2d AsKcTs8d4s 
AsTsTd7s7c QcTh9c6s4s AcQdJs6c5c AhQs5h5d2s 
JsTd9s5d4c AcTh8s7c6c AhQsTh5d5c QsQc6s3h3c 
JcTh9h7d4c AsQdJsJh6s KhQsJs9d5d AcQh8s4h3c 
QcJsTs9d2d TsTd9s8d6s AdKh8h6c4c QhTc7d6h6c 
KsKcTd8c3h KhQc6c5h2d AcJs9h7c2h KcQsQhJc3d 
QdJs8c7s6c AhJhTd9s4h AhQhJh9h8c AhTd9d8c5c 
QhQc7s5s4c AsKsJd9c5s QdQc9s9c6c Ah8d7h6h5d 
KdKc9h5s3c AsKhQd6d2h AdTd6s6c4s KhKdJd6c3s 
AcJd9h6c3h AdKh6h3s2d QsQh9h3s3c KdKc7d4c2d 
QhQcJsJc2c KsQhQc8c7d KdQsJd3c2s AcQcTc9h4d 
KsJsJc9h8s KdQhJd8s7c AhJhTd9h4s Ah9c8d7h3c 
QhTc8d6h6d JhJc9s6c5s JhJc6s6c4h KsQdJsTc2h 
KcQcJd9h2d AhQcTd8d7d KhJhJd9h8c QsJdTc5d3c 
QsQc8d8c2s Ah6h6d5c4d AcTd9c4h3h Ac9d8c5d4d 
JcTd9d6s6c QcJsTs8h2c AdKhQhJh3s KdJhTs8s3d 
AdTs9s5d2h JdTsTh9d4s AcTs9s8d5d AsKcJs5h5d 
TsTd9s9d3d KsQcTc5s2d Kc9s7h6c5s JsJd9h8h5s 
