AsTsTh5c4d 
QcJd9s9d6c KdQsJc6s6c KsJsJh9c3c QcTh9h8h5c 
QhJc8c6s4h KhQc7s6h4s AcJd9d3s3c AdQdQc2h2d 
Kd9h8c7h5d KcQsQd6h6c QdTd7s7c6s QhJhTs5c2s 
AdKs7c5h3d AsQsJsJd4s AsKcTd4h3s KsQdQc5c4h 
AhQdTh8h7h KhQh9c7d5d JsJcTd8s2c As9h8s6c4c 
TsTc9h6c5s KcQsQd9h7s KdQs9s9h5d AhTc9c4d2h 
KdQsTs6h2d Kc8h8c7d6d AdQhJhTc3h AdKd7h5c2c 
AcKcTc6h5d QcJsJc8h8c QsJd9d7h6h AcTh8s5c4d 
QcJh7d5h4c AdTh8s7h4s KdTh7s7h5d AhKsQs7s6c 
AsJhJd9s6c KsJs7c6d6c KhQdTs4h4d KcJd9d5c3h 
QhJhTc5s2c AcQd9c6h3h Qd9s8s8c7d AcKh8s7c5c 
AhAdAcTh3s KsTc9c5s4d Ah9c7h6s3c KsQd9c6d5c 
AcQsTdTc3c KhQhQd9d3h QsQhJc9s7d KhQs6s6c4h 
AdTc8c7d3d QdQcTd9h6d KcTd9c8d4s KcQhJh7c3d 
JsTd9s8s7h KdTs8c7d4c AhQcTc9c8c KdTc8d5c4s 
AcKsTd8c4c JsTh8h7c5c KdTc6h6d5c AhKh6d4d2s 
9s9h8s7d6d AdJdJc5h3s KsKcJh5h4d AdTh8c3h3d 
KsQdTs8h3d KdKc7s6s5h AhQsTh6h2s JsJdTc8s2d 
KhJhJdTs4c KsKdJc7c4h Js9s8c7h7c KsKhTs6s3d 
KsJdTs4d2c KcTc8h6s4s KhTc9d8c2h AdJc9d4h4c 
JsTd8h5s4d QsQhQcJsJh QsQdJd9d2s AsKcTh6d5c 
AdTdTc7s6d QsTc7s6d5d QsTs9d7c5c QhQcJc6d2h 
Ah8s8h6s4s QhQc9s7h6d AsJsTh6d2d KhQhJdJc9h 
Jh9c8h8c7s AcKsQs5s4h Ah9c8s5c3h KhQsQh7s3s 
KdJhTh7d3d AhQc6s6c3h QdTc7d6s5s QdTc9s7d5c 
QhJh8s7s6h AdKd8c7h5d AdQcJsJc2h AcQs6h3s3c 
KdKc9h7s4c KcJs9h7s4c QhQcTh8d4s KcQsQh8c3s 
AdKd6h6c3c QdQcJhTd3s QhJsJd9d3h AcQhJhTs3h 
AdQsTc8s2c AhJcTh6d5h AdKdTd6s5c AhJs9d7s6d 
AsJdTc4d3c QsTc9s8d5d QsQc6c4d3s QdJsTd7s4d 
JdJc9c5s3d KhJsJh9s3s AhKsJd2s2d KdQh6d4h3s 
AcQsQcTc4c KdQsTs9c3c AdKhQs9h6c AcKhJc5d4c 
KsJh8h7s4d KdKc8c4c2d QhJcTh8d7h AhAc9d3d2s 
KcQs7c6s4c KsQcTd8c7h Ts9s8c7c6c AdTs8s7c5c 
AdKd6h4h3h AcJsJhTs4d KsQhTh9c3c AdKdQh6s3c 
AcTd7s4c3s KsTd9d9c2s KhKcJd6s5s AdKsQd5c3d 
AhKs6s5c3c AsQc9c7h5h KdQdTh9h5d Kc9h9c7h5d 
QsJc7h5c4s KdJcTs9c7c KdKcTh8s2c KcQsTc9c7d 
