AcTc6s5d3s 
KcJs9d5c4d AsKs8h5h2h QcJc9s5d4s AdQd8c7s2c 
AcKsTh7d6d AcJhJd9c3s KcJd8h8c6h AdJs6d5c3c 
QsQh7s7c4c AhQs8h6d4c KsTc9s9d3c QdJdTc3c2s 
AdTc8h6d2h KdQs5c4c3d AsKhTd9s3s QhJcTh9s6d 
AsQsTs7h4d QdJh8c7h7c KcJh9h8s3c QcJhTd9s7d 
Ah9c8d7h2d QcTsTc9d3d AhQsTd5h4h AdJh9h4h3d 
QcJsJd9s4d QdTc9c6h4h Ac8s7c4s4h KsTh9c8h3s 
AdKh9s7c6h AhTd9c8d5c KhTd7s7h4s AcKsQc6c4d 
AcQdTs6h3c QsTs9h8h2d Td9s8d8c7s AdQsQh6c3d 
QsJs9h7d5d QcJhJc8h2d KhTh6s6c5s KhKcTd7s2h 
AhQhQcTh3h AcKs5c4h4d AsQhJhTh7h JsJcTh8c6d 
KsKcJd7h3c QdJdJc5c3d QdJhJc6d3h AhQh7d6d3d 
QdJsJc6c3d QhTs9d8s3h AcKcQc9h6s QhQd9s5h3s 
JhJdTs4h3s KsKd4s3h2h QdJsTh9c7h Ah9c8c6h4c 
JsTc7d6s6d Jh9c8h7s5c QsQc9h8s4h QsJdJc9s4c 
AhKhJc7h5h AdJhJc6d2h AcQs6d4s2c AsQhJd7d3h 
AsKc9c8h8d 9c7s7c6s6d KhJsTs6c2h KsTsTh9h5s 
KcJs5c4s3h AhJsTc5h2d QsThTc9s2c AsKhTd5d2h 
AcQsQhTs3s QcJsTh9d7h KsJc7s7c4d Ac9s8h7c2s 
Qd9d7h6c5c KhKcTh5h4h QhQcJs7c6d AhQs7s6h2c 
Kd8c6s5d4c AdQs5c3d3c AhQdJs7s3d KhTd9d8h5d 
AcTc8h5d2d AsKhJh8h5d AhKsQc5s5d KcJcTd7s6c 
AhQs6h4d2s QdJdTs3s2h KhQsJc9s4c JsTd9h6d4s 
QsQdJc7d6h AsAhAc9h6d QhTc9c6d4d QdJsTd9d7c 
QsQh5s5h2h QsTs7c5d4d KhTs6h6d5d AhQhTh6c5s 
