Jh9d7h6s5s 
Ad9s9h7d6c AdQh9c8d6d KsJh8s8c5h AcJdTs8d5d 
AhKcQsTc2c AhKdKc3s2s AhQsJd3h3c KcJhTc7d4s 
KsTsTd8h6c KsKdTc7d3d QsJsTd9c6h AsJs9h8d4c 
JhTc9h9d5c Ah7s6s4c3h AsKcTc6d4h KcJs7c6d4d 
AcJh9c8c5s AdJhTd8s3d KsQs8h5h4c QdTc8h5d4h 
TsTh7s7h5s AhKcQcJc6s AdKhQc3s2d As9h8d6d3s 
JcTdTc6s3d JsJc8s8d7s QdQc6h5d2c KhJsJd7h3s 
Qh7s7h6s6c JdTd9c8c3s KcJsTc7c6h AsKdTd9c6d 
As9h9d8h7d AsKc9s9d5h QsTd9s9c5d JdTc7s5s4d 
AhKsQhTh5h KsQhQd5s4s AcQd8s6c4h AsQsJd3s2d 
As9c8d5d2s KcJs9s9d2c AdJd9s8c4h QhJdTh8d2d 
AcKh8s6c5c TsTh7s6h4d KsJdTs7s6h AhQhJc8s4h 
KhJhJd9h4d KsQd8d7s4c Ad9s6c5s3d KcJh9c5h3h 
AdKhTc8c5s AsKdJh8s3c KcTh7s5s5c QsQdTs7h3h 
AdKhJhTh4h QsTs9d8d4h Ac9d8c5h2d AcJc7s4d3d 
QcTdTc8h6s KhTh7s7c5s AsKsJsJd5s JhTh7s6s4c 
KhJsTc7d4h KcJsTh9s6d AcJd8d4c2h KsTc9s9d4d 
AsQh9d8s6s 9d9c7d6c5d AcQdJd8h3h AdQsTs8c4h 
Qc9h7h6c5d AcQc9d6s2s QhQc5h4c2s KhQcTdTc8c 
AcTh9h5c3c JdTs8s8h5h AdJsTc7h2d QsQcJh8s7s 
KcQcJs3s3d AhJsJc4s3c KhKdQh4s3h KdJcTd7d6s 
QsJhTd4s2d As9d8h6h3s QhQc8h6s2c As8h7s5c4d 
JdTs9h9d8c KdJdJc8s7d AcKdQsJh7h QdTc9s5c3d 
AdKsTc9s2h KhJdTs6s6d KdKc5h4d3d KdTs7c5d5c 
AdTh8h8c5c As8s7c5c2d KcTd8h8c5h QcTc6d5s4d 
AdTd6h4h4c JhTc9s8s7s Ac6s5h4c3s Ac9d8s7h7c 
AdJhJc6h2d KdQcTc8s4s AhQh8s7c6h KcJc9s5h4s 
KdQs6d5s2h KcQd6c5d3d AsKs5s4d3d Ac5h5d3d3c 
QdQcJs6s2c AhQh8c5c2c 8s8h6s6h4d AcQhTh8d6h 
QsQc8s8d6s AdKs9d8d6c JcTc9h8h3d AdJc8h5h4c 
JsJc5s5c4c AdKd8h8d4h KdQh8h6d4h AdKd9d7h4h 
QdTc6s6c5d AsJhTd8c6d KsTc9s9d8s AsJsJh8c4s 
KhJsJh4d3d KsTs9d6s5d AdJd9d8h4h QhTs9s7s5h 
Kh9c8h8c6s KhJsJcTh5d JhTc9c7h4h AhJh9d5c2c 
QsJhJd8h7c KhTc8h8d5d AsJs8h6d3d KsQc5h4s2c 
KhQsTd5d3s KhQhJd7s3d Jc9h7h6s5c AhJdTdTc4s 
KdQcThTc8c AhKhTd4h2d JhJd9d6s4h AsQs8s7d6c 
KdTh7s6h3d JhJd9h6c4d KsQs6c5h3h AdKcJd9d6s 
AhQh8s7d3d ThTd9h7s5d JcTc9h7d4d KdQdJc3h3c 
AcKs7d7c4h JsTh9d7h3s KsQcJsJd8s AsKcJh8d3s 
KdQh8d6h6d QdJhTh8d2h Ah7d6d4h3c AcQhQc5c4c 
KdJc5c4h4d AcQcJc8h2h AdQh9h9d3d AdJcTd3d2c 
QsQh8s7d6s AcQdTs9d5h JdThTd9d5h Ac9s8h5c3h 
AsKcJs8s4h AcQhQd7h5h AdQd9h6c2c JsTd7h5d4h 
Ac7c6h5h4c KhKd6c5s4c KsJs7c5c3h KcQhJsJd8d 
AsJdTh8h8c AhQsTs8d6s Ad8s7d5h4c AcJcTd9c2h 
AsQd9h7h7d AcKhJc9c6d KsJd9c6s4d QsQh9s8d6s 
KcJsJc8h4h QhQd8d7d6s AdQh8s7s4h QsTs8d6s6d 
KsKcQc4d3c Kh9d8d6h5d KhJdTc9s5h QsJs9h9d6h 
QhTh8h6s4s KhTs7h6d3s KdJh7d5c3h QcJcTd5d2s 
As8s8h5h2d AcKdTs7s5h QhQc4h4d3d AhQs6s4c2h 
9d9c6h5h5d JdTh9d5c3h KhKdQs8s5c QhTs6s6h4c 
AdQcTd6d4h AdTs9h5d2h KhKdTc6c4c JcTd7s5s4c 
AdJc7s3d3c AdQsJh8c5h KsJcThTd7d KdJhJd9d4h 
AcKh8c3h2s JsJc9s6d4c KdQcTh8c6s KhTd9h5s3d 
KhQh8s5s4c AcQc8s6d4h Ks9h8s8h6c 8s8h7d6s6d 
QdTsTc8s4c KdJhTc9s5d KsQsQdJs4h QdJdThTc8d 
Kh9h9c6c5c AhJhTs9h2c AcTh7h5s2c AhQc9h4d3d 
AsJh9h2s2c Qd9h7h6d5s KsQs8c5c4d KcQhTs6h3s 
KhQsJd8h6c JdThTc7s7h 9h9d8d8c5c AcJs7d7c3d 
KcJd6d5s3c KdQhJsJd8d JdTc7c5s4s QcJsTs8h7s 
TsTc7c6s4h QhJd8s6d4h KdQhJs8d6c Ad8d8c5h4s 
Ts9s7h6h5d KcQsTs7d4d KcQd9h5c3d KhQhJc9d4d 
Jc9s7c6d5d KdQhTh8c4c QhQc9s6c5d AsJc7s7h3h 
AhJh9s5d2d Ah7h6s4s3c KdKc6h5c2s Kd9h8h8d6s 
QdJsTsTc7h KhTdTc7h3d QhTs9d8s7c AdJc7s5h5d 
