Kd8d6c5h4h 
AdKsTc6s2c Qs9s9h7h6h AcQd9h7c2h KsQh6d5d4h 
AcQd9c6d3c AhQh6s5d2s KhQsJc8d6h KcJd9h9d6h 
JhTh9s4d3s AcQhJs9c6c JdTd9h4c3h AhKsJc4d2h 
KcQh6s5c3s KsKdTh6c3h KhJsJh9h8h Td9c7h7c6h 
KsQsTs8h6c JhTsTh4s3s QdTs9d5s4d Kc8d7s5c4d 
QhQd5s4h3s AsQcThTc3d QcJsJhTh6d KdJd8h7h4s 
JsJh9s4h4d KdJs9c6c4d AsKsQc7s6s QdTd9h7h4c 
AhTs9h5s3h QsQhJhTh6d QcJdJc8d3s JhJcTh7h7d 
Kh9c7c6h4d AcQs9d7c2d QcJd7h7d6c AdTc7c6d2h 
AhQhJh7d4c AcKdQd8h6d KsQd9c7h6s KhJc9d6c3h 
KdTd8s7h7c AsKcTs9s6s AcJh6h5s2c As9s7c5c4s 
JhJd9h8d4s KhJdJcTs5h JcTc6s5h4h QdJcTh9s6c 
Ad9d8h8c2c QsQdJd6h5d KsQhJh9h8d Ac9c8s6s6c 
AdKdJd4s2s KcTs9c8h4h KhJsTs4s4h KdQs9c6c4d 
KsTsTd5d4s AsTsTd7c5s KdThTd7s7d KcJcTs2s2d 
KhThTc9c2h QdJsJcTs6h TsTd9d8h8c AdKsQs4h3c 
KhKd8h7h4c QsQcTc8c6c QdQcJh6c5c AsQhTc7c6d 
JsJh9d6s3h KdTs6h4s4d KhJd5d4s3h KhQsTh5c4d 
AhKd8d7s7c KhQcJdJc5s AhJs9h4c2s AsKhTd7d4c 
JsJcTd8s2d KdTd9s6s6d QsQd7c6h5s KsJd6d5s5d 
KsQsTc5h5c AcTc9s4d2d AdKdTh6d2h Ks8d6c5d4s 
AcKcJd7s7c QdTs7c5s4d KdJs9h8h5s KcJd9h6d3c 
Kc8d7s6s6c AdJc9d8s2h QsJh9s8c2h AhJd8h4h4d 
KdTd9s5c3s KcTh9d4c3h KsJd9c6c5d Ah8h6d5d4h 
KsJd9s9d3c AhTs7s4h2c AcTsTh8c3d Th9c7s6s6c 
Kh8d7h5c4c Jh9c7s6h6c Th8d7h6s4d Th9h8c6d5c 
Jh8s7s6d5h KhQdJc6c2h KhQdTc4h2c As8h6s5d3d 
AhQs9d7h2d Ad9d9c7c2h AsJc7h7c5h KdJc9s8s5c 
AhKh4c3s2c AcJhTs6s6h As8c6h5c3s As8h7s7h3h 
AcKc8d4s3d QsJs8h6h6c QcTh9c8d3h KdQcTh7d2c 
KsKd6s3c2c QcJs9s9c5c Jd8s8d6s6h 8h8d7h7d5d 
KdQdTs8c2s AsQd8c3s3d AdTd9h6h4d AsJs9d5h4c 
AsQh8c7h4c Td9h8h7d5s AcKsJc7d7c KdQhJhTc4s 
QhJh8d7d5d QsQc7c6s3c Kd9c7c6s4d KcJh7s7h6s 
