Ac6s5h3s3c 
JsJh9s6c4c Qh9d8d8c6c TsTd5h5d4s AsKc6c4d3d 
AcQhTd7d5s AhQh5d3d2s KcQdQc5c3s QsQh9d5s2d 
AcKdTs7h4h KdJd5s5h4s AcJs7h4s2c QcJd9s9c2d 
TdTc8d5d5c AdJc7d6s2c AdQhTc4s2d AhJd5s5d2h 
TsTh9s8h2c QsQhJc8s5s Kc7d6h5d3c As9s9c6h6d 
AhQh9d5d3h QsQcJs6h3d AsKc9h6d5c AsKc9h5s5d 
Ad8s6d6c5h 9h8s6h5d4s QsJsJh4h2h AhAdAcKs7s 
AdKs8h7c2d TsTc6s5d4d AsQhThTc6h AdKd7c4s4h 
KcTs8c6h5d TsTh9s8c3h Ad9c8d7h5d Ac7s7c6c4s 
Ad6s5h5d2s Jd9h7c5d4c Kd9d8c6s4s QcJd9h8s6d 
AcQd7c6s6h QsJh7h7c6c QsJcTh9d4s As8d7s4d3h 
AcQdTh4s2c AdTh9h9c2c AhQh5c3c2s KdQd7h5s3s 
QhTd9s8d6d JhJcTs8s6d AdJsTs9s5c AdQdJdTd7d 
QcTc8s7h6c JsTs8s8d5d Th9h7d6d3c AsKhTh5c4h 
KcJc6h6d4h KhQd4s3h3d Kh9s8s6c4h QsTc8s6d3d 
KhQdJs7s3d QhQcTs6d5d AdKc6h6c5s KcQhJd8h7h 
KdQcJdTd7d AsQdTs6s6h AsQd9c8d3c KsKhJc6c4c 
AcKcQd6h2s KsKd8s4s4c TsTd9d8c3s Kd7h7d6c4c 
Qc8s8d6c5s AsKd8h7s3c KsTc5c4s4d QcJd9d4c3s 
AhJd7h6h3d QhJd9h9c2d KsQh9c6h6c KcJsJh5h2s 
KhKc9h3d2d QdTc5d4h4c QsQdJd8d6h Qc8s6d5c4d 
AhTh8d5d3h AcKhTh9d2h Kh9s6c5s5h QdQc9s8s6s 
Qs6s6h5h5c AhJc4c3h3c AdKhTc9h3h QhJdJc8d7d 
Ah8s7d3s3h Ks9c7c6d3s QcJdJc4d2d KcQs9d5s4d 
AhTc9h7s7h Kd8h8d6c4h AhQcTsTc6c AcTh9d8s8d 
AsJd8h8d4h KcJs6c5c3s KcJh9c7d5s 8s8d7s5d5c 
