KsQh7s6h3s 
KhQh7d6d4h QhJd7h5s5d AdJc8h7d3s AhKh8h8c5d 
KhJd7s7h4s AcJc9h6h2h TsTd9s7s6c AdQcJh8h4s 
QhQd5s4s2d AhKsQc9h4h KsQsTs7s6h AdQhTh7h5c 
KhKdJh5h2s QsJs6c5d3c AsQc9h7s4d Ad9d7h4s3h 
KdJc9h8d2h KcQsTh9c3d 9c7d6c5h4h KhQc8s5h2c 
KsQs9d6h3h QsJd9c4s3d Kc7s6s5h3c AcQd9c4c3d 
Ad8h7d4c3h Ah8h5c4d2c KhQdQc9c5s AdQc6d5s5h 
QsTc6s4d3c AhKs9c8c7c KdJc7s6c4s QdJsJd9h5c 
KcQd8c6s2d AsQc8s2h2c QdJs9d4s3h KsQhTd2s2d 
Ac8s7c4d3d QhTs5c4s3h QdTh9c6d5s KdQh7h6d3d 
AcKsQh7d2c Js8s6d5d4h KdTh7h7d3c QcJh5h5c4c 
KcQsJs8h6d KdJh9h9c8s QhQcJc6s2s 9c7c6s5s3h 
As8c7s4d3d QhTc9d4d3h QhQcTd6s3c QhJdTc7c6c 
Kc9s7d6c3d Ac7d6c5s2s Jh9h7c6c5c KsQd7c5c3s 
KhQcJsTh2h KdJh9d7s7c KcTs6d4d3c As9c7s4d3c 
QcJs9s9d4c As9s7d6d2h QdTh8d6c2h TsTd9d5h3s 
AsQs9s9c8s QcJsJh9h7h KdQh7h4s3d KsQsQh6s5s 
KdKc7s7c2h As8c7s4h3c Ad6c5d5c2s KsQc8h5s3c 
KhQhQd8d3h Ad9c7s7c6s KhQhTd9c5s AcJs8h6s6h 
Qh8h7d6c4c 9c8h8c7c6h QdJcTc7h2d KcQdTsTc4h 
AdQd6s4s2h AsKs7h4c3d AsKd9c8s2h QsQcJc9h6c 
QhTh8c6d5s 8d8c5s5c4d KsQcJh6c5c KsQhJhTh3d 
AhQhJh9s7h AcKhQd8s2c QdTc9h4h3d Ts8s7d6d4d 
AcKh9d8d7d KsTc8h6s5d QcJs8s5d3c AdKdTd8s4d 
Ac7d6d3s3c KcQd5d4d2c QsQcJh8d4s KdQh9s5h2d 
9c7h6s5c4h 9d7h7c6h5c AhKs8s6c3c KcJd9d7s2c 
Th9s8s6d4h QdJd9d9c8h KdTsTh5s5h AcQh9d8s2c 
9d7s7d5s5h QdJhTs7s6s JcTd9d4s4c AhKh6c5h5d 
JhTs9s5d2h QdTc6d6c3s KsKcJh7c2d Th9h9c7c5c 
Td7d6c5c4s AcJh8d6h6d QcJd6h4d3c JsThTd9c6d 
KdQsQc9c5h JcTc5h4h3s KdQcTs2s2d QhQd9c2h2c 
KdJdTd7s7h KsQcJdTh5h AdQd8h7d7c KhQdJdTs6d 
KhJdTs4s4d 9h8h8d7s5d AcKsQd8h6h KdTsTc9h7h 
KdThTc6d2c QcJd9d7s3c KcQdJc7d2s 9h9c6c5h4h 
QdJs6s6d4s Td9d8c6h4h KsTd5c4s3c AcTs7h6h2c 
9h9c8h8c4h QdJd9c7c4s QhJd7c6d6c QcJcTh5c2h 
AdQs9c7d4h KsJhTh7c5h AdJsJd9d3c JdJc9d4c3s 
QcJhJcTc4d Ad7s6s6d4d QdTs9d4c3c AhJdJcTd2d 
AcKd9s6c5c AdQcJc8s8c Th8c6h5c4d QdTd9h7c6d 
AhQcTd4c2d QhQdJd7s5d QdJd5h5c4h KcQdJsJh5d 
KsJc9c7s3s Ac7c6s5s2h Kd7h6d5s3h KsKc8d7h3s 
AcQd6s6h5c AcTc8h6s5c JdTd9h5c2c 8s8d7s5h4h 
Jh8h6d5d4s KhJs8c7h5d Ah9s7d6d2h KhJd7s6d4s 
KhQc9h9c2s KhQs7d5d3h AhJh8s7h5h KdJsJcTs3h 
AhQdQc6s2h JsTh9c5s2h Ts9s9c5c4d KhKc9s4h3d 
QcJhTc6c5s AdQsQd6d3c KhJc9h6d5s QdJdTd9c7d 
JcTd8d7c2h Ah9d7s4h3s As6s6h5h4s KhQsJsTs3d 
KdTd9d8d7h JhJd9h5s2d AhQdJc9c5c KhKcTd5s3d 
AdQc9s7d4h AcJd6d4h2c KsQdJhJc6d Ts9s9h8d5d 
AcJs6s3h3c AhKd9c8c7c AdQhJs7s5s KcQhTd4d2h 
KcJh9s9c7c QhTsTc9s7s TsTd8d4s4h AdTdTc6s5d 
AdQh9d4h2h Kc7s7d5c4d Kh6c5h4d3c JcTd9s7h7d 
KcJdTh8s6d Ac9d9c2h2d Ah9s8h7s3h Ad9h9c6d5s 
Kc9h8s8h5c AsTdTc8d2c QdQc4c2d2c AcJsTs6d3d 
Td8c6c5d4s QcTsTh9h7h KsTc8h6s3c QsQcTh5s3d 
AdKhJd9d2c JcTc7s5h3s Jd9s9d8s5s QdTc9d4s3s 
KcJc8c7h6d KdQh4d4c3h Qh8s7s6h4c KhTs8h7d3d 
AsKsJd7s4s JhJd7h6c3d JsJc9c5h2s AhKcTs9s3d 
8c7s7h5s5c Kh6c5h4s3s KcQsJd7h5s Tc8s7s6s5c 
Ad7c6h3h3d QcTd8c6s2d QsQc6s5s5d AsQc7s6h5s 
AcKs8h5d3c Tc9h9d7s7c KdQs9d9c8d KcTd5d4h3c 
Qh8c7s6c4h KdJdTh9d5c QsJs9h8s7c QdQcJs8h6s 
KhJd9d7h2s AdKcJd9d2h ThTc8d5h5d AhKc8d6c5c 
AdKc6h4s3d AsQc9s6d4h 9h7h7d5d5c AdQc7d6h5d 
AsQdTd9h4d KdQsJh8h7h Ah9h9d5h4d KsTs6h4h4d 
AdKhJs7h3c JsJdTd4c2c QcTc9d5c4d AcTs9c8c2d 
AdJhTsTc6h Kc8h6s6h5c AcKcTsTc4c AsJh9c8h8d 
AhQh7c5d4h AhKdJs9c5c KsQsTc9d5h Ts8s7c6s4c 
AcTs7h4h2c KhKdTc5s3c AsTh8d3h2s AdKhTd6s2c 
AcQcTc9h3c KsJh8c7s5d JcTs9s3d3c KdQh8s6s6h 
