QsJc8s5c3c 
Qc7d6c5d4d KcTs8h7c5d Qs8s8h7h5c JhJc9h8c4h 
KdQh7d7c6s QsThTc8s6s AdTh9h8s2s Jc8s6d5s4c 
KdKc6s5h3s AdKcTc8c3s As9s9c8s3c Kd9h8d7c4c 
KhTh9c6s2s QhJcTd7s4h AsQhTs9s4s KhJhTh7s4c 
AdKd6s6h2h Ac6s6d4d3c QhQd5d5c3s AhKh9d6s4c 
Ah8h8d6s4c AhTd7s5d4s AhTc8h6d3s QsJc9s6d2c 
QhQd5c3d2h AhKsQc6s6d AhTs9d4h3c Kd9d6s5c3c 
KcQhQdJs2s KhKdQs5h2h AcQhTc6d3c Qc9h7h7c6c 
QcJsTc6h4c KsQd6s5h4c KdQsJd8s3d Ac8h6h6c2s 
Ad8c7d6s2s QhTd9s7d6c KdTc9s8s8h Th9h7c5c4s 
KsJdJc6h5d Kh9s6d5h3s Kd8s6d6c5s KhTh7h7c5c 
Kc9c7h6h6c As8h6h4s3d JdTd9s6d4s KsKh4d4c3c 
Ac8d5c4h2d Ks9h7s6h4h QcJc8s7s4h KhTs9h8h4s 
9c8c7h7d6h KcQs7d5c2s AcKd9s6c3h Ac9s6s5h2c 
AsTs5h3h3c Qs9h8c7h7c KsJh9s5c2c KcJsJc8h3h 
KcQsJhTd4d AsKsTs8c2h AdQcTh5h4s KhJs7h6h3s 
KsTdTc6d3c KhQs7c5h2s JdJcTh7h6h KhTc6c4s4h 
TsTc7c6h6d KcTd7c6c5h AhTd9d7c6s AdKcQh6s6c 
KcJh6h5s2c As7s7d5s5c AdTh9s7c6h QcJhTc6d4c 
AhQc9c8d5s AsJhJd6d3h KcThTc8s6c Jd9d7h7c5c 
9s9h7h6s3d AdKs7s5s4h QsJs8c7c4d QsQd7s7h3h 
AcJc8d4d2d AcJsTs9s6d AdKh7c5c2h AsTc8s8d4s 
AsJs8s7h7d QdTd5c4s4c KcJs7d4s3c TdTc9s8h6c 
Tc9d7c6h4h Ad9h9d6c2h QsTh6c5h5c AdTh9c7h3c 
QcTc7d6d3s Js8s8h6d5h 8d8c7d6s4s QsJh9d5h3d 
9h8d6c5c4d KcJdTc4s3h AcKs3d2d2c AsJhTc7h7d 
QsTc8d7h6h JhTs8h5s5h Jd9s9d5h3s AcKd6h6d3h 
Kh9c7s6h3c AsTc9h7c3h AdJhThTc3h JsTc8s7h5d 
AcKsQc7h3c Ac9s7c6d5c Ac8c7d6c5s QcJh9c8d8c 
KcJd9c7s2d KcTsTc5h2s QcJhJd6s6h KcTc7s5s3s 
KhQh9c8h5c Ks8d8c6d4s AcQs6d6c4h KdQsJs6s5c 
KhQc7h5s2c AsJh7s6s5d KsQcTh5s4s KhTd7s4s3h 
KsJsTc7h4s Ad9h6d5h5d QhTd8h7d3c AhQd7h6s2s 
AsQs9s9d7c KdTs8h7s4h KhJd9c5h5c JcTh7h4d3c 
JhTs9s4h2d KdTc8h8d7d KsQd7c5s2d AhTd9s8s6c 
AhKd9d8d6s 9h9d6s5h3d KhKd5c4c3s JdTh9c5d5c 
JhTh9d8d3h Ac8c7s5h5d KsQh9s6d5c JcTs8s7h6s 
Ac9c7s5h4d AsJcTd7d4d KdTc6d6c3s KdQsJsTs5h 
QhTh9c7s3s KdJd9h7c6d QdJh9c5h3c AsKd3s3h2h 
KcJcTs7h3d As9s9h7c4d AhJc8h4c3h Qh8h8d7d5s 
QsJhTd7c5s Ad9s9c6s6c JdTh6d5s5h JdTc7c4h3d 
Td9s8c7h6h Td8s7s5c4c QhJh9s6s3s QhJh8d6d4d 
KdJc8s7d3c KcTdTc8s6c Js9s9h5d3h QsQd9d9c4h 
AhQd8h8c5h KsKhTc5d3d AcTsTd2h2c AdJhTd3d3c 
AhKhQh6d3s Qc7c6h5d4h KcJs5s4c3s Qd7c6h5h4d 
TdTc9d5c4c KhTc8d7d6s JsTs9s7h6c JdJcTs7s2c 
Kh9c8h7s4s Qs9h7d6h5d QhJhJd7s7h AdJc7d5s4d 
KcQsJh7s2c KsJsTc4c2s JdTdTc6c3d AdQhQc4c3c 
QhTc9h6s2s AcKcQc9c6h KcJc9h9d8c Ah9s8h8d7h 
JcThTc6s5d JsTd6h4s4d KsJhJd6c5h KcJcTs7h4c 
KcTc7s5s5h 9d9c8h8c4h ThTd6c5h4c QhQc9h8h5s 
QhQc7h6d2c AhKh9d4d2c Ac8s7h4s3c JsJd9s7d2c 
QsJhTc6s5s AcQs7d5c4c QhTs9h6d2d AcKc9s6d3h 
Ac9c5s4d3d Ts7s6d5h4d AcKdTh6d4d JhTs8h7h7c 
KsTs8h6d3d KhTd8h8c7h AhTc4h3s3c KsQsQc9h5s 
KhQcTs5h4h QsJdThTd6c AsTdTc8d6h AsKsJd9s2c 
AsTh9s8s3c JdTs8d6h5c QdJd7s5s3c QsJc8c7s4c 
JhTd7d5h3d 7h7d6d5c4h Ac9c8s5h5d Ad8d7d6h5c 
