QsTc8d7s7h 
9h7h6d5c4d KhJd8c5h2d QsTc8s6d5h AhTs9d8c6s 
AhJh9c7s7h 9d9c6s6d3s KsQcJd7h6d QdJs7s6s4d 
Ac6d4d4c3s Ad9d5c4c3s JdTd9s6s3d Tc8s6c5d4s 
Ad9d8d6h5c QhQd9d3h2s As8h7s6d2h KcQsTh6s2h 
Ks8h7s7c4c QhQd7s7c6s JdTd8h7c2c AcQd5s3c2s 
AhTs7s2h2c Ac9d7c5h2h QhJh9d5d4h QsTs7h5c3h 
Th9h9d7d4s AsKc8c5h2h KcJcTh8c5d Kh7c6d5h3c 
Ah9h7d6d3h AsKhQhJh7h QcTd9c5h5d AdQsJc6c4h 
KhTc9d9c4d KsTd8h7c6h QsJs9d5d4s KhJcTd5s4s 
KsThTd7h6h AhJd8d3c2h Qh9d8d5s4h AcJcTs3h3c 
Th8d8c7c5d AcKsJs6d2d AcQcTc4h3s KhQcJd7s6d 
AdJd7c4d4c Ad9c7d6c3d AdKsQh9h6h KcTh8c6h2d 
QhJsJcTd4d Kc8d8c5h5d QhJs9c8s7s Ts8h6c5s4h 
8c7h7d6c5d QdJsJhTd5d AdJsTh6c5s JhTh8d7s7h 
KdJh9h8d3h KdJs7d4s4h KhQhTdTc6h Kc7s6h5c3s 
QcTd9h7h4d Td9d9c7s7h KcQdTc3d2d KcJh9s9h7d 
KsTc9h9c8c Kc7h7d6d4c AcQhTsTd3d Js9c8h7c4s 
KsTc8c5s3h QdJd6h5h5d Qh9h8d6s4d JhJdTc3h2c 
AcKcQs6c3h AsQs6d4s4d Qc9h8s7h5s AcQcTc4s3h 
AhTh8h8c4d Tc8h8d7d5h KcTc7c6h4d AhJs6h6d3d 
KdQcJh6c2h QsJh9c8d8c Ac8s7d6c2s KsTdTc8c7c 
AcQh9h7s4s JdTd8c6c3h KcTh9s8c5d QdJsTd3c2c 
KcTs9d8s8h JsTd7d4s4c AdKs9d6c3h QcJd9c6c4d 
Ac8h5c4d3h AsKcQd9d6d QdTs7c5s4c KdJhJd4s2s 
AdQd9c7s7d Ts9s9c7c4h QcJd9h8c2h Ah9h6d5d2s 
QhJdJc6c5c AhJd6s4d2h Ks9h7c5s3h JcTd5c4h3h 
KcQd7d4h4c KdKc8s5c2h QdJc9s7c3d Kd8s7h7d4h 
AsQs5h3d2d QdJc7d6c4d QhTd9d8s2s KhQcJh8h3c 
AcTs9d5d4s KdQc9s9c4d KhKdQs9s4c AsQc9s7c2s 
Ac9c5h4h3d Ac6d6c4s3s KcQhQdTc3c 9d7d6c5s4c 
KhQdTdTc6d KhJsTd4d2s QsTs8h6d3h KcTh8s5s5c 
QcJh6h4h4c JsTh8s7h3h KcTsTh7c2s KsJh7d4s3h 
KdKcTh5c2c JhTd9h7s2d Ks8c6d5s5d AdKc9s9c6h 
Ac9s8d4d3c JsTs9s8c6d AcQh5d3c2d KhTs7h6s2d 
AhKs6d5s5c AsQc9c7h4h KsQdTd8c5h QsJh9d8s2d 
AhQdTh4s3h QdQcJc8h4s KsJsTs8s7s Tc8c7c6d5d 
QdTh8h8c5c QcJh9c6c4h QdJc8d7s4s AdKh9s9c8c 
AdKd9c7d4s AdQsTd4c3d AcKcTs5c4c Th9s8h8c5c 
Ah6c5s5c2h AsKcTs3h2d AdJc8c3s2d AsKdQs9s6s 
QsJh9s9c8s KsJd8d6s3h 9c8s8c6s4h AsTd9h8c6d 
KhQcTh3c2c AdKc9h9c6s QsQdJs9h5s Ks9d7d5s4d 
AcTs9h6c5c QsQd8s6c2c Ac8s8c6s2s QcJd9h9c8c 
Jh8h8d5c4d KhJh9s7h6c KdJh9d6d3h JsJh7c5c3h 
Td8s7h5s4d Ac8d5d4c2s AhQhQd8s2h QsTsTc7h6s 
QhTd5d4h3d Jh9h8s5s4d QcJsTsTd2h KhJdJc6c5s 
9s8d6h6d5h QsQd9d3s2c KsJd5s4s4d AdTs7d6d4c 
