KdQc5s4s4c 
KcTh8s7c3s AhJhJc2s2h KdQd9d6s4s JhJc9s7s6d 
Jh9d8d5h5c TdTc7c6d3s KdJcTs7s2c Kh8d6h6d5d 
AdKc7h5d3d AhQhJs6c2d JhTh6s6d4d QdTs9c5s3c 
Jc9s9c5s5d AcQsTh6c3c 9h9c8h8c2h AsTd6s6h4c 
KcTc8d6s3d AhKcQc4d3c AhJs8d3s2h AhKh8s6d3c 
KsJhTd7d2h As8h7d7c4s QsJd9h6s2d KhTs9h5h3s 
AhTd9h5s5c AdKhJc3s3h AdKhQh4s2c QdJh5c4d2h 
AsQc8c3s3c AcQhTs6h5h Ah9c6h4d3c KsJd9h6s2d 
Ac9c8d3s3d AcKh8s6c4c QhJdJc8d5s JsTd8s4c3c 
AdJs5s3d2c Kh7c6d6c4h QsQcJs8s5d Jc8d6s5c4d 
Ac9d6c4h3d JcTd9d6c2s KcQc9c6d4d JsJd9h6c5d 
Ac8s5h5c3s Kc9s8h6s5h As8d6h4h3s AcQhJs9s6d 
KcTd7s7d5s AsKsTs9d2s TsTc9h5h3c AhJdTd7d7c 
KhJc8s5s5h JcTh7d6h3c KcQcTh8h3c QsQcJs3s3h 
AhJdTc9c5c QhTd8s6h6c QhTd8d5h3h Qs8h7c6c4s 
AdQsTc3s2c QdJc6d5c2s JsJhTd9s2c AsKc9s6h6d 
AdQsQh6d3d AdJcTh8c2s Kh9h8d7h6s KhJcTs9c3d 
Kd9c7c6d3c KdTd9d6c3c AcQd9h8d7d Qc8d8c5s4d 
QsTh9c6s6d JdTs6c5d3c Ah7d7c4s4h KsJsTsTh6c 
Ad9d6s4s4h Js9h7s5h4d AcQsQd7c2h KsQhTh6d4h 
Ks9c6s5h5c AdQhTh7s2s JsTd8h6s3d AcKc9d6s6h 
AsKs7s5c3d Jd9c7h5c4d TdTc9c8h6s AhQs9d8s7s 
AsKcJh3d3c Ah9d9c8h7h 9c8s6s6c5d KdJc7c5d2h 
AhJcTc7d2d Ac7s4s4d3c Qd8s7c6c4d JhJdTh5s3c 
QsTh9h6h2s Js7s7d5h5d 9h7h6c5d3c 9d8s7d6s4s 
Js9s8d8c5c KhTd8s6s2h Ts9s8s6d4d QsQd9s7s5h 
KcJc7d4d3h JsJd9c7c6h Td9s8c7d6d JhJc8s8c6c 
KsJs8h7s4h AsQd8s5c3h QcJcTc7h5d KdJs9s6d3d 
AcJsTs7d2d Kh9s7s7h4d QdJhJc5s4s KhQsTc3c2h 
QcTdTc5d2h KcQc7d6s5c KdQcJhTh3h Th8d8c5h5d 
AsKhTs6s6d QdQc6h3d2c KsQhTh6c5h Ah7c4h4d3c 
AsJh4h4d2s Jh8d8c7c6d AsTd9h9d8d TsTd8d7c6d 
QhJdTs9c4s Jd8c6s5d4c Jh8s6s5h4d JhTs7h5d3d 
JdTh9c3h3d KhQs8s6s3h JsTh5s5h3d Td9h8d6h4h 
Td9s9d3s3h Kh6s5s5h4d 9d8s6s5c4c AcKs8c6h3d 
QsJs8c5c3d JhJcTs6s2c QdJh9d8h2h KsQcJsJh3s 
AhKhQs4c2h QdThTd5h2c KhQhJd6s4h Qs7s7d6c5c 
AsQd9c5c3d QdJs5s5c4c Kc9s9d6c3s AcKdQh6h4h 
KdTs6s6h3d AhJhJd7h6h AcKcQc5c3s QhQc6c4h2h 
8d8c6h4h4d QsQdTs8h3c JhJcTd7s5d AdJhJd6d2h 
AdQhTs7h5h KdQdJd8c7d QcTd9d5c2s QsQc9h4c3h 
KdTh9d4h2c KdQs5d3s2c QhJs6d5d3s ThTd9d7c4c 
AdQs3h2h2d Ad9s9c8d7d KsQc4s3d3c Ts9s8d7c4d 
AcQs8c5h3d Qh8h8c7s5s KdJd7h4h3c Qc9h6c5d3h 
QsQcTs8h3d AhJcTd8c2s AsQhTh4d2d KsJhJc6s4d 
KdTc9d4s2c QsTh9d5h3d JhTc6c4s3h Js8h7s5h4h 
AcJc7d6c5h QcTs6s6d3c QcTs8s5c2d Js9s9h7s7c 
JhTs7h6d5c AcQd9h8d2h AsQcTh6c2h AsQs6c3h3c 
AhJc9c8s3s QhQd7c5s4h KdQh8c7s6h Qh8s7c6s5c 
KcQcJc8d4d QhJcTd3c2d AhKhQh5h3d KcJs9d6c2s 
AdKc7c5h3s KhTc5h5c4c KsQdJs8s2d KcQc9c8h7d 
AsJsTs6h5s KcQc9h9d8c ThTd9c4d4c JcTs9d3s3c 
AsJsJc6s2c As8s8h7c5s Td8d8c4s4c Jc7c6h5h4s 
KdQs4s4d2c AcTh6c3s3h AhTh7h6c4d JdJcTs9c6c 
KhThTc8h6d Qc9h6c5h4d AhKdQs5c3c JcTd5d5c3h 
JsJd9s8c5h AhQhQc4h3h KhJdTc9c6c Ac9c7d4d3d 
KdQhQc5s2d QcJdTh9s4h AdQhQc5s2h Kd8c6s5d5c 
JdTd8h7s4c AsQh5d3d2s AcJc9s5s2c AhKsJc9d6c 
KhQcTd3d2h AhKdJc8c4s JsTd9h4s4h Ad8h5c3h3d 
KcQcJh4s3d JhJdTs9d2c AcQc9c8h7c AhJdJc4s4d 
QcJd5h5d3c KsJdTsTh3s AcJc9h4h2h ThTd9d8c6s 
Jh8c6s5h4c KdJd9c4c3s KcJhTsTc3c AcKh8s6d4h 
TsTc5s5c4s JsJh9d8d2h KsJsTs6d3d QsQhJd7c6c 
