QdJh5d4s3s 
JdTs8c5d2s ThTd7d6c3h KsKhJd4c3c KsJs9s8d7s 
Ah9d6h4s3s Kh8s8d5d4h AsJc7d7c4d AsJhTc8d3c 
JsJcTh7d4h JdTh9s7h5c KsQdThTc6c AhJh9d5h4c 
KdQc7c5s2d AhKd9s7c6s AdTd7s6h6d KdQsQc5s3s 
QdTs8h5s3d 9c8s7d6c4d Qc8s8c5s4d AdJs4s3h2d 
As8s8c5c3s AcQcTdTc5c Qs8s8c5c4d As9s8h6c4d 
AsKdTs4s4c JdJc7s7h5d KcQhQc8c5d Ts8h7s7h5d 
Tc8s7c6s6c KsJc8c5d4d AhQcJd6c2d 9s8c6s5h4h 
KdJsJh6d5d Ts9d6h5s4h QdJsTd6d4h Ad9d7d6c5h 
AhTc6h4d2c QdJd8s6c5h AhJh9s7h4d AhKc9s9h5h 
AcKcTc9c3h KhQh9c7s3s KhTs9c3h3c AhKh6h5d3s 
KcQcJh8d6c KdTd9s6s2d AhJh8h7s5h JsTh9h5s5h 
As7d6s5h5c QcTh9d8c5s KdQs7s5d2c AhQhQd8h2c 
AcKs7s7d5s QhJdTs9d4c QdTs9c5c3s AhJc7d6d2h 
AsJd8s5h2c KhQh9d5h4d KhQdJs4c3h KcQsJd6h4s 
JsTd8s5d2c QsQc6h5c3d QsJd9s8d3s AcJhJdTs6s 
Qh7h7c6c5s QhQdJh5c3h KcQsJd4h3c Ts8d6s6d4h 
AsKsQd7c3s AdJs9s8s8c AcJd5d5c2d AhTh7s7c3d 
AdKd8h6s4d QcTc5s5d4d Qs8h8c6h5c Ah8h5d4s2s 
QcTd9h6h5s AsQhQd8c3d JcTh6c5h3c AdQs8h6d4d 
AsKh8d4s4c AsQsJd8s3h KcQcJd9c6h Tc9h9c7h4h 
QsJdTc6c5c Kd9d6s5h3s Kc7h6h5h5c Tc9s9d7d4s 
KdJsTh9s4c AsTs9d8s2c QhQc8h7h5d AhTh8c7h5h 
AsQcTc9d2c JhJd8h3s3d Ac9s9d6s2c KsTh7s5s5h 
9d8s6d5h4h Js8d7s6c4c QhJd9h6d3d KcQhTc8c6c 
KhQc7c5d2h Qs8d7s6c4d Kc9s8s5c4d QcJdTs6s5s 
Ah8s6d4s3h QdJhJd8d6c Ah9d6c4c3h JsJd8s5s3d 
AcKhJh6s4h KcQhQc8c5s JcTh8s7c2h AdKc5d4d3h 
AcJc9h7c4d KsQdQc7h4c As9d5h3s3d JhJdTc5h3s 
Qh7s7h6s5c As8s5d4c2c KhJsTs5d3c Ah7d5h5c2d 
QsJdTs6c2c QcTh9s8s6s KhTs8s8h2c AcJs9s8s5h 
Ad6h6c4s4d KhJh6c4d3c AdThTd4h2d Qs9c7c5d4s 
KdQsQd8d5h KdJhTd5c3d Js9h7s5h4h QcTc8c6s5d 
Th9h9d7d3s AsKd9s9c5s KdJdTs6h3c AhTd8s7d6d 
KsThTc7c3h JsTsTd8c4h JcTs7s7c3d AhQc9d8c6c 
