8h7s6h6d5s 
JdTh6h6c4c Ts9d8d6s3c As8s5c3d3c Ah7d4s3h3d 
8d7h6d6c5h AdKcQs8s4h KsTc9d5d2s As9h6s6h2d 
KhQhJc7h5s KdJc8s6c3d As9d5s3h3d Ah7s7c5d3h 
KcQc5s5h3s KdJd8c7s6d Qh8h7d5d4s JcTd7s6s3c 
KsTc5s5c3d 9h9c6h5c3c Kc9s7h6c5d AsJdJc8c6c 
AcTc6d4s2s KcQsJdTd4d AdQhTc9c5c QsTd7c5s5c 
QhJdTsTc6s 9d8s6s5h4d KsKd9c8d4d AcTc6h3s3h 
QcTh8c7s3h AsJd4s3c2d Qs9h9d5s4h KdJs9h8d5c 
Ad8h7c4s4d 9s9h7s6c3c Kd9s8h7h4d Ac9d8s7h3c 
AsJcTc9c2d 9h8d7h6c4d Ah8c6h6d2c As8d6d3s3h 
AdKh6d5d3s Tc8d7s5s4d JsJdTh6s5s Kh8h7s5h4s 
QhJsTd6c5c Kc9h7c5h3h KcQhJh7d3d KsQd8d7c3s 
AhTh6d3d3c Qh9d7h6d4d KhJsJd7h5h AhQh9s8h7h 
AhJsTs9d6s Jd9s6h5s4d AsQs8s6c4h JhJcTs5d3h 
Jh9h8s5c4s 8c7c6h5d3d AsKhTd9d4d KdThTd9c2s 
KsTd5s5c3d Ad7c5h5c2d JsJcTd5h3c AdJd7h6s2s 
TdTc8s7h6h Ad8h8c4h3d Jh8h7d6s6d 9s7s7d6h5h 
AsAhAc6d2h AsQhTd9d5d Jd9c7d5h3c KhTh8s6s3s 
JcTs9d4c2s 9s9c5d4d4c KhKc5s5d2s Jd8s6h5h4s 
QdJd8s5s5h Jc9h7h7c5h KsJs8c7h6s QdTs9s7h2d 
QdJcTh6h4s JdTs7h4d3s Ah9s9h7h5c AcTs9h8d6d 
AdJc9d7h2s Js8h8c5s4h KcQs8c7s3h Kh7d5h5d4s 
Ts9h6c5h3s As9c6s5h2h JsTs9c4d2c AdQs4c3d2c 
Ks9s9h7d3h AhQdJc9d6d AsQs8s6c4d KhQsJd7c4h 
JcTs8d7d3s JhJdTd7h2d JsTs9h3h3c KsJhTs5c2d 
QsQdJs9s7s Ah5s4s3h3d QdTc8d5c3c QdTc8d8c3s 
Ts8d7h5h4d Kc6d5h4c3d KhQdJh8h6s QdTs8d7h7d 
JsJd9d4s2c Ad9c8h7s3d KcTd9s8d2s QhTc8c4s4h 
JcTd9s6h5s AsJd4h3d2s KcQcTd7s4c 9s9d7d5d4s 
Kc8h8c5s4s Kh8s8h6s4s KdJs8d6h3s Ts9c8c6s4s 
KhTd9h4d2d KhJd9s6d2h Kc9s9d5c4d 9d8c6c5h4d 
Td9d8h6d4h Jc9s7s6c3d QhQcTd9h2h AhQdTc5d3s 
Ac8s7h5c3d QdTh8d7s3h KsKd9d8d2h KdTs9c6d3h 
KcJh8h7s2c 9d8c7d5h4h Th8s8h7d7c AcQsJh9s2d 
QhJdTc9d3s Qd9c7d6s4s QsJsTsTd2c AdQc6c3s2d 
Td9c8d5c4s KhQdTs7c4d QsQcTs5s3h AsQd3s3h2h 
AsTc8h8d3s KcQd7d7c3h AsQh9c5h3c QcJs9s9c2s 
AdTd8h6c3s QdThTd8d3h KhJdTs9s3c AhJc4s3c2h 
KsJh9s9d6c AsTh9h8h8c AsQsTh6s4s KdTd7h4h4c 
AdKsJd8c3d JdTs8h7h5c QhJhTs7h5d JhTh7c5h5c 
KdTd8h6h3h AdQsTs8c2h KhQsJcTc4c Kh8s8h7d4s 
AcQcJs7h2d AdKsJs8s6s KhJs8h6c5d Td8h7d5h4h 
AdQs8d7c4d Ad9h8s7c3d Ah9d7c6h3s KhQh5s5d3s 
AcKdQh8h4s AsJh8d6d4h KdTd5s4s3h AhTh9h9c7h 
Jh8s8d5h4d Kc8s8h7s4c AcQc8h5c4d AcQd8c7s4c 
QhJdTh7s3c KhJd9c7c6s KcQs9c6s2s JhTs8s8d6c 
Ad9h8d7c3s QcTsTc4d2s KhQh6c5d2c AdJh7s4d2s 
Kd8s8d7c4s AcKs7h6d5h KsJcTs5d2h QhQd6d4d2h 
AsAdAc9h2d AsQs8s6d4c Ts7h6h5s4c Js7s6h5c4h 
Ad7h5d4h3d KsTd8s7h2h KdQcTs7h4c QhQc7h7d5h 
AdQsTh5s3c JhTc9h7c2c AcKsJh6c2d QhJdTh5h4h 
Td8h6s6h5s 9c8h7c5s4h JhTh9c2s2c JcTs9d6h5c 
Ad9h6h6d2s Qh9s7h5s4d Td9h7h7d5h JsJd7s3d3c 
Ts9s7d5h3d AhKsTc3h2d QhTc6d4d3h QcTs8h7s7d 
QdQcTs5d3d 8s8c7s6s4c KcQh5d2h2c AhQc7d5d3c 
AdQc8d7s4d QcJs7d6c3s AcTsTd7d6h KsJs9s8s7d 
KdQs9d8d2s JdTs7h5h3s QsQcTd7d4h 8c7s6d6c5s 
QsQcJh7s4d QdTc9c7s7h Qs7d7c6s5c KsJd9h6h6d 
AcQdJd9d6h As9s9d7s5c AdJhTh9s6h AsKh9h9d5c 
AdQd9c8d7d AcKc6d5s3c KdQsTc9h5s AcKd8h7d4d 
AdJh8c7h6s JsJd7d3s3c AcKsQs8s4d AsJdJc9s2s 
AdTd6c3s3c AcQdJh9h4s QcJh9h8c2c AhJc9d6h5h 
Qs9h7s6h4h 8h7c6h5c3s QcTd8h7c3d KhKcTd8d2s 
Ah8h5d5c3d AdKd8s8d3s KdJsTd6h3c AsQsJs3d3c 
QhTh8d5s5d Ad9c6h3d3c Qc9s7c6s3d Ks9d8h7h4s 
Qc9c8d6h4h JsTs9c3d3c QdThTd4s2h AcKsTsThTc 
KdTd9d8s2s Jh9h8d7s6c AhQh7d4s2d KsQh7h7c3s 
JdTsTc7d4h KcQh7s5s3h KdQc8d7c3s QsTd9c5s2c 
AcKc5c4h3d KsTd9h7d7c QhQc6s5h4h QdTh8h4s4d 
KsJdTc9c3h AdKsQh4c2s Ks9h8h7s3c Jd8s7c6d6c 
KcJs9c8c7c AsKc7d5c3h AhKsTs9s4s AdTh8d6d6c 
KcTd9s6c3h Qh7s7d6d5h AdKsJs5s5c AdQh8s6c2d 
Jh9d6c5d3h Js8h8c7s7d AsKc8d6s3h Jd8s8h5d4s 
JhTs8d6d3s KhThTc9s2d Qd9s9d6s3h QcJhTh6c2h 
AcTs7d4h3c QdJsJhTd4d KcJc8h7s6c QsJc8h7c4h 
QsJdTd6s2d KhJd8d7c2h KsJsJh8h3s 9s8h6h6c5s 
Qs7s6h5h4h AsKh5s5d2c QsQcTc7h4c Th8s8d7d5h 
AhTc4h4c3c Ts9h7c5s5h Ah9s8h7h2s QsTc8h7h2s 
AdTsTc7s6h KhTs8s4d3h Qh9c7d6d6c Qs8d7c5s4c 
QhJhTc9h3s Jc9s6h6c5s Td7c6c5d4s Ks6h5d4s3h 
Tc9h9c2s2h Ks9h8h7s3d As8s6h4h3c Jd9h7d5c3h 
KsKdTh3d2d KdQdJc7d5h JsTdTc6h5s AcKhTd6s4d 
Ad8d6c4c2h QsTc8s6s5d Ac9s7c6c5d QsJh9c7s7d 
AcTs9d6s4d AhTc9s8c5d AhKcJc5s2d KhQc8s7h3c 
QsJc7s5c3c AsKc6s6d3h KhTs7c6h2s KsTd5s5d3h 
QsQh9h6c3d KhTh9d7c4s KdTs7d4s3s KdQc9d6c2c 
AdKc5h5d2s KdJhTc9c4s Ah9h9d7h5s TsTc6d5c3s 
Qc8h8d5h5c QcJdTc6s6h Jh8s8c5h4c AsKh8h7h5h 
Ah7c5s5c2h KcJd6d4d4c QdJc9h8s5d Ks6s6d5d4d 
9s7d6h5h3s Qh8s8c6s4h AcQcJc3s3d KhJd8c5d4c 
As9c8s7d3h KdJs9s5d2s AdKd9h9c6d Ah9h7d6c5h 
AhQh8s7s2h QhJsJd7c5h Qh7d7c6h5c AsQh6h3d2s 
Td8d8c7s4c KcQcJsTc6c QhTh8h7s7d Ah8h5s3s3c 
AcQc9d9c5h ThTd9d6h2c Th7d6c5c4h Ac7s4h3s3c 
KhTh9c5c2s AhTs4s4h3s Qh8c7s5c4h Qd9d6s5s4h 
QcJs9h7d6s QdJc9d7h4h JdJc9s4s3d KcJs9d6s6d 
JhTsTh7d5h AdQhTc5h3s 9d7c6s5d3s KdJc8s6d3c 
KsQh9s7d2h QsQd8s7d3s Kc8d8c7s4d KdQhJs6h4c 
AdTs8d6d6c KdTc8c4h3d QdJd7c5s5c Ad8s8c4s3d 
AhQd7h5c4h KhQd8s7h3d Kd9h8h8c6c QhQdTs9h2h 
AsQs6h6c4d 9c8h7c5d4h QhJc7h5c3c QsQhTh5h3d 
Ks9s9d7c3d KsQs7s7d5d AcKd9s9d5h QhTs8h5d3s 
KdQsJcTc2c KsJcTc5h4c KcTc9h5h2s QhJsJc9c5d 
As8s6h6c2h Kd8s8d7h4s Ad8s6s3d3c Qd8s8h6s4d 
AcKsTc4c3d Tc9c7s5d3s QhJcTh7h6h QsTh8h4s4d 
JsJcTd8d5h KhQh7s7h5s AdQhJd5d2s QhTd8h7s7h 
KdQdTc6d2c AcKd8h8d3h AhQc6c3d2h Td7h6h5d4s 
Ac9h6h4c3h Ad8c7s2d2c JdJc9s7h5c AsKcJc6c4h 
AsKs5s4h3d Kh9h9c6c4c KhTc9d7c3d KhQs9d4h3d 
KcJd8h8c7c QsQc6c4c2s JcTd6h6d4h KsKd9h8s4s 
6s6c5d5c4s AhQh7c3d3c QhTh8c5d5c JsJd9c7d2s 
AdJc9s7h5c TsTc9h8c2h KhJh8s7c6h KcJsTs8s6h 
AcJc7d6s2s AsKd5s5h2c AdJd9c6d5h KcQh8d7h6s 
QdTd9s7d7c AcQhJc5c2s QsTc8s6d4h Jd9s9h5h4s 
Kc8s8c5h4h QdTs8d7c3s Jc9h6s5h4c QhQcTc6c4c 
KdQcJd7h4s KsKhJs8d3s AdKhJs6d2c AdTc5h4s4d 
AsJs8s8c7s KcQh9d8d4c Ts9c8s7c2d AcKhJh5s2d 
KhQh9d5d4h TsTd6h5d3s Qh9d6h5d3c AhJsJd8d4c 
AcQd4h3h2c AhKcQd9c2s AdJsTs9s2c Ac9d7c6c5h 
Ah9h9c7h5s Kc8c6h5c4h KcTc6d5s2s KdJh9c6h2d 
JsJc8c6h2s JsJhTs7h2s AhQs9c5s3c Kd6c5h4d3c 
Ad7h5d5c4s KhTs5c4s2h AcKc9d7h4c Qs5d5c4s4c 
Kh9h7s5c3c Jh8s8c7d7c KcTd9s5d4s KhTs6d5d2h 
KdJh7s7d6c Th9s8s6h3c AcJc9s4s4c AdQsJc8c4c 
Ad9h9d5s4c AhKhQs9c2h AcKdJc8h3c AsQcJc9c6h 
AsQhTd7d4c QdJdTh9s5d As8c6c3s3d AhKhTd9h2h 
AdJhJc7h2c AhJs9c3c2h QsJc9s4h3h KdQsJs7c3c 
KhJc6h6c3d AsJh9s7d2c Ad9s6d5h2h 8h8c7h6c4c 
AdKh8s8c7c QcTs7c5s5h AsKsJc8d3s AhTh7s7h4c 
QcJcTc8d5s QhTsTd4d2h AdQc4d3c2c QcJhJd9d5s 
KcJh9d6h6d AsKh5d4h3c QdTs8c7s3d JcTd6c4s3d 
AdKhQh8h4c Th9h8c6h4c Kc7s7c5s5c Qc9h9c5h3s 
Qc8d7c5d4s Kc9s8s7c3d QhTs7h6c5d AhQc3h3d2d 
Kh9c7c5c3h Tc8s8h7h5c QsTs8d5d5c AcJc9h7c2h 
KhTd7s6h5h QcJcTsTc2d 9d8d6s6h5s Jh9d7c5c3h 
JsJhTc5d3h KcJdTs9d5h JhJc9c6c3h QsTc7s6h5d 
9h8c7c6s4s KdTh9d4h2h QhTd8d5s2h JhThTd7c5h 
AcKs9h7h6h Ah5h5c2d2c QhJcTs9c3d JdTc8h7h5s 
Th7d6h5c4d KsJs8c5d5c AdQhQc9s2h KcTd8d5h2c 
KdTc8s5s3d JsJc5s5c2d JdTs6h5h3s Qh9s6h5s3c 
Jh9s7s7h5s QsQcJh9h5d KsJh6s4h3h AcKs9c4d2d 
Qh9s8d6d4h QhJsTc6d5d Ts9s7d5d3c JdThTc7h4s 
Ad9d8h8c3s KsTh6h5c2s QsJsJh7h2c QhJhTsTh5d 
AhQsQc9c4c Kd6s5c4d3s QcJhTc5c4c AsJhJd9s3s 
KsJd6s6h3d KsTh8h7c6h Ac9d7h7c3s AcTc7d4d2d 
Kd9d8h7c4c KcTs6d5d2c AdKhJh5s5h Js9h9d5d4h 
AsQcTd7d4h JdThTc7d4s AsTc7d3s2c QsQhJd5d4d 
AdJdTh2d2c KhJh9s5s3h AcTc7h4h2h KsJhTh9c4d 
AsQcTc8h2d Ac9s7s7h5h Ah8s8h4s2d AdQs8h5s3h 
9h7h7c6d5d Qh8h7d5c4c KdQhJd7c4s AsQdTc3c2d 
Kc9d7d5d3c AsJs5c3h2c KhJcTd6h4h KhJs8h6d5c 
Ah8d7h4c2c KdJsTs6h5s KcThTd5s4c QhTh8d6d2d 
JdJc5d5c2s QdTh8s7d5c KhTh5c4c3d AhQc4s3s2h 
9s7c6c5h3h AsQc6c3s2d Td9s8s6d3c 9d8c7s5d4c 
KcQh7d5d3h AdKdJs8d3c Jh9s6s5h4d QcTd8c4d3h 
QhQcTc5c3s JcTs9c7d7c 9h7s6s5c3c Ad9c8d4s2c 
QhTs8h5c3s KdQdJc7c2h 9s8h7s5h4c KcQcJh6s2s 
QhJs7h5s3s KdJc8h6c3d KsQc9c8d7c KcJhTs6c4c 
AcJh7h4h2c 9h9c8c7s7d KcJc8h5h3s KhTd9s7d7c 
9h9d7h6s3s KsQhTc3h3c QhJsTd9s3c AdKdQdTd7d 
QsQc6h5s4s KhQc9h6c2c Kh8s7h6h4s Jc9d8h7c6s 
Jd9s8d7h6c 8c7s7c5s5c KhKcJd9d4d Td8d6d5h4h 
TdTc8h7s6s 9d7d6d5s4s AdKcTs8h4h 8h7h6c5s3s 
JcTs8h6s2c Ad7d7c5d4s As9h8s7s7c JsTd5d5c3s 
Td9s9d2s2c Qc9s9c8c5s ThTd9h8d2d 9d7s7d6c5c 
AcTc6d3h3d KdTd7s4s4h Qd8d6c5c4c JdTsTc7s4h 
KdQc8s7d3c 9h7h7d6s5s 8h7h7c5h5c Ac7s7c5c4h 
As5s5c3s3c Ah8s8h5h5c As5d4d3s3c KhJsThTd5h 
QcTs8c6d5c AcJd8h7d6s KhJc8h6d3c QcTh7h6c3h 
QsJhTdTc6c AsTs7s7d4c 9s9d7d4s4c QsTs8c5c3d 
QsTd9c6h4s Qd9d7h6h4s Th8h8d7c4d 9h7d6s5s3h 
Qh9s7c6s6c Jh9d6s6h5d Qs9s6d5h5d QdThTc6d2c 
Ad8s7h7d6d AhQdQc4d2s Qc9d7c5d4h JsThTd7s2h 
Ad9h6d5s2s AsJc9s3h2h JsTsTd4d2d QcJc8s5d3d 
QdJc9d8d6h Jc8h8c7h5c QsTdTc6s2c AhTc7h6s6h 
QsQcTh4s3d AsKdTh7d2c QsQhTc7h4h KhQhTc7d4h 
Ah9c8h7s3d AcJc7d6h2h QsJh8c5h3c AhTsTc9c5d 
QhQdJs9h4c KhJd9d4h3d AdKc9d7s2h AcKc9h7d4c 
AdTd6c3h3c Ad7d5h4h3d AdKd7d6c5d KhQhTsTd4c 
QsQhTc5s3s KsQcTs6h6d JhTdTc6c5s KdQdJh6c2c 
KhQd9h8h2d Ts9s8c6c4s AsQc7h5h3c KsQsQh3c2d 
