AsKdQc9c3h 
AdJhTh9s2h Qc9s7h5s4c KsJsJh8s2h Jh9s8s6h4c 
QhTs9s6d5c KhTsTc8h6h 8d8c7s7d2c KsJcTs9h2s 
QcJh6s5c4d JsJh9h6c3c KdQcTh4d3s JsTc9s3c2d 
Kh9c8d7d5c AdJd8s8h6d 7c6h5h4s3s QdQcTh6d3d 
QdTd9h8d6d AsKs7h7d3c Kh9d8c7c5d AhKdQs9h2h 
JhJc9d2d2c Ks7c6c5c3s Jh9s8d7d4h AsKh7c6d5d 
Th6d6c5h5c JsJc4d4c3d AhTs9d5s5d KsQc8d7s5h 
8s8d7s7h6c AsTd9s4s2d KhJsTh8h4c QhQc8d7d6d 
Qs9s7h5d4h AhTd8h4c3s QsQh8s7h2h JhJd7d7c6d 
Jc9c6s5s5d AcTc4s3s3h QhQcTs6h3h AdQc8s2s2d 
AsQd6s6h2h Ac8s6s4c2h 9d8s7s5c4d KdJhTh4s2s 
6s6d5d4s4h Jh9d8d7c4h KdTs6s4d3d AcJh9s8h6d 
8s8h5h5c3s QsJs9d8s7s AsQc6s6h5s KcQc6d6c4d 
KdJh9s7d2s QsTsTd9c2h 9h8c6h6c5h AcQcJs7c4c 
JhTsTd8h6h Jd9h9d7c4h AdQhJd7d3s KhKcQc7s2d 
JdTh9d7s3c Ks7s6s6h5h AhJhTh6s3d AsQhJc4d3h 
AsJh7s7d3c Ad9d8c4c2h AsAdAc3h2c KdTd9h5d3h 
KdJc5d4c2c Ac9s9d6s5d QsJh9d7s3d JcTc7s6d4h 
KsKd7h5h3c AcKcQh7c4c KdQd8c5c3h Jc7h6s5s4c 
QdJh9c8h5s AdJc5d4s4h Js9s9c6d4c As9d8c7s3h 
JhTsTh9c5d KhTh8s5c3s AdQsJd5c2d QhTc8c6d5s 
Th9c8d7c4d Qc8h8d5h4c Qc9d9c5d4d KcQc8s7h6c 
KdTc9h7s4d AhQs9c8c6d KsKhJd6c3c QhJd7h6s3d 
