JsTh8c4s3c 
As9h5h4s3h AdQd7s4c2c KdJs8s8c7h Ah9c8s4c2h 
AhTd6d4h3h AhQdJh6s3h JdJc9s5h5c KhTh8h7h6c 
9h8h8c6d4c JsTh7c6d5s AhTd9c8h2h Kc7h5c4h3d 
QcJd9s6d2c AdKhJd6c3d AsQd8c5h2s KsJs8h7c3c 
KhQh5c4h3c 8s7h6h6c5c Ac9s8d4c2d AsQc6s5s4h 
QdJsTs6h4s Qc9s6c5c3s KcTd7h6d2c Kd8d8c7d5c 
KsJs6h4h4d Qs9d7d6s3c As9s9h8d2c KcQd9c8c6s 
Qs8d6s6d4c AhJh7s4c3d Ad7h7c6c2d AdKh9s4s4h 
KsTsTc3c2d QsJdTh6d4d KdQh6s5d2s QdTh9s9c6c 
Jd9c7s5d3s KdJdTd7s5d AsJhJd3d3c KcJhJc8c5s 
AdKs8d6d5d Jh8s8c5s5c Jc8s8d5s5d JdTd8s7s3d 
AdJs5d3s2s JhTs8h4c2s KsQdJc7h6h AhTd9d8d6s 
KcTh7c6s5c QcTd8s4d4c Jh9d7d6h6d Qh8h7d7c5d 
AhTs8s7d4c QhThTd9c4s TsTh8h6c5d JsJhTc9c5d 
AsKhJs6c3s Kc7h5h4c3s As8s5h5c2h JsTc8d7h5c 
KhQc9h7c3h AhKh5c4d3h QsQcTc6c3d KcQdJh7s6s 
KsJs8d8c7s AhQs9d6d3s JsTsTh6d5s KhKdJh8h3c 
Kd7h6c4h4d Jc9d7c5s3s KdKc8d7d4d AsKc7c3s2s 
8d7s7d5d4s KdQc8c7d2s KdJd9c6c4d 9c8d7h6h4d 
KhJd6d4c2h KcQh9c8c4h Jd9c6s5d4s KhQh9s8d2d 
QdQcJh8s5s QhTs8d4h4d Ts7c6s6c4h JhJdTh4s3c 
QdJhTc9d4d QsQc6c3s2h KhTd9s9h6h Qd9c7c6d3h 
QdTs9d7c2s Ts9h6h5s4h QcJh5d4d3h Ac9s7c6s2s 
QhJs9h5h2s QdJsJh3d3c QhJs5c4c3s 7h6s5d4s3d 
Ks6c5s5d3c JcTd7c6c3d AdKc9h4h4c Kh6h6d5s3s 
AdKd9s8d4c QsTd8h6c5d KhTd6s6d4s Ad7s6d6c2s 
Ks9d7s7d3h KdJh9c4h4d QsJd9h6d3h KdTc7d6h5d 
AcJd6s3s3c QdTh6d4h4d Ac8d7s4s2c JsTc9h5h2c 
8c7s6c5d3d AhJhJc7d3h KcQh9d8s7d KhQs9c8d7c 
9h9d5h5c4c AhTd9d5c3c KcTd6c4d4c KsQhJd8s5s 
9h9d5d4s4h JcTh8d5c2d QcTsTd3d2c QcJd9h7d6s 
Th9s9h4s4d JdTs5s4h3h KcJd8h5h2c QsTc8s8h3h 
KdJs8h7c6s QhJh8d7d4h KcQdJc7d2d AdTsTd7d3h 
KcQh9s5h3s AsQd4s4h3c QsTsTd6h2h KhTc5h4c2d 
9h8h8d7d5h As9h8s6d6c AcQcJh2s2c Ts9d9c7s6h 
KcJh9s4h4c Kd6d5h5c3c As9d7s6d2d As7d6s5s4c 
KsTc6h6c4h JsJcTc6h4c JsTh8h6d5c Ad9c7s7d5d 
KcTc7d6s5c As8c7s5d3h JhTs9d3s3d AhJdTh7h2s 
KhTd9s8s6s KdQh7s7c6d JcTs9s3d2c KdJd6d5h3h 
AcQs5h4h3s KcJc9h5h2d QsJc7s7c4s QhTs9d7h2d 
As8h7h6s3s 8s7h6h6d5d AhTs5s5h2s KdTh7d6s2h 
AcQd7c3d3c KhQd9s9d7c QhJdJcTh3h KhTdTc9h2s 
Ad9h6s5c4d KhJsTd9d2c KsQs5h4d2h Qs9s9d6h4h 
JsJcTc4d3h KcQhJd8c5c AsKh9d7s4s AsJd9c8d5d 
KdQc8h7h4c AdTd9s3h3c QdTsTd8h4c QcTsTc8h4d 
JcTh8c7s5c AsJc6s5h5d AsKs7s5s4d AdKh7d3h2d 
AhJsTd5s3c KdQsQc8s5s KsQs6d4d3d 8s8h5s4s4h 
QsJcThTd5d JdThTd6s5d QhJsTs7s5c KsJh8s8h3c 
Th8h6d5h4d KdJsTh9d2d QsTd8h4s4h Kc6h5d5c4h 
QsJdTd8d5h KsTh8h6h2s QcTs9c7h2s Qd8s7d6s6d 
Td8h6d5h4d AcQd9d7s6d ThTc7d7c4s QdTh9c4h2d 
KcQh4s3h2c KsQcJs9s5d AhQc9h8h4s KhQdTs8d5c 
KcJd9c7s5c JcTh9s5h2s 9d8s8d5s4c AsTc6h6c2s 
Th9c7s5h3c JsTd5d4s2h Js9s6c5d4c JsTc8s5c3c 
JdTh8c7h3c KhQsJh6c3d Ks7c5s5h4h KhQsJh7s2s 
JcTc7s7h6d Ts8h7h5s4s AcTd5d5c2d Qh7c6c5s4s 
JdTs7c6h5d KhQd9c5c3d 9c7s6s6h5c Ad9s6h3h3d 
AsQhJs7c2d JsTs9s9c7s 8s8d7s7c5h Th8s6h6c4s 
Th8s8d5s4h AhQh6s6c2s AcKs7d3s3d KdJsTh9c2h 
Kh9d7h7c6s QhJhTh9c5d JhTs8c6d4h KcQd4h3d2c 
7s7d5s5c3c QcTd8c6d3c AdQs8s8c5h KsJs7h4c3h 
QdTc8h4d3h JcTs5s5h3h Ad7s6d5d4c KhQsJc8h5h 
AcKsQh2s2d KhTd5h4d2c KdJd9h7d5c Kh9s8h5c4c 
KsJd8s5d3d JhTc9s9d6s JsJc8d7c5c KsKc7h2s2d 
AdQh8s7d3c QcTs5s4c3c KsKd9s8c2s Js9h8h5d2s 
JdTd8d7h5c KhTc9h7s3d Kc9s6s5c4c Jc9s8h5h4c 
