KdJcTc6c5h 
QdJc9s7h6s 9c7d6c5c3d KcJhJc8s5c JdJc7s5d4h 
KdJs7d4s3s Ac9c8s5h3d KcTc9s6d5c QcJsJc6h6c 
QsTd8d6h4c AcTh9c4h2c Kc9c8h7h4h QhQc3h3d2d 
KsKc6h6d2h AcKs9d4d3s KhQh8d7s5c AcQdTd9d3d 
QhTd5s3h3d JsTs9h7h2h Th9c7d5d4c Kd5s5c3s3d 
AsQcTh5d5c KdJd9h9c6s AhTd7d3h2d Kc9h9d7c3h 
QsQcTs4s3d AhJs9h8h3c ThTc6h6d5s AsTs9s8h5s 
QhJdTs9c2s 9s9h8d8c5s KsQhJd5c4c Jh9s7h6d4s 
QhJd8s7h5c JsTc6c4s3h Jc9s7s5s5c QsQh6c5d3s 
KsKcJh8h2d JdTsTc9s5h AhQh6h5c4s KsQdTc7h3s 
As7s6s6c3c JhTs8d6c5s KhKdJs9s2s Jd9s6h5h5d 
QdTd7s5s5h 8s7d6h6d4h QdTd8h7c3c 8h5h5c4d4c 
Ac5s4c3s3h Ac9h8c6h2c KcJd9d8h8d JhJc8s5d5c 
Jh8c7s7c5s QhTs8h6s2s Ts9s8d7d3h Ts9d8d7s3h 
KhJsJc5h4h AdJh6h6d2s AcJd4d2h2c AhJs8h8d4h 
QhQc8s3s3h 9d8s8h6s4d Qs9d7s5c4d KsQsTs8d3d 
Kc8s7h5c3s Ts9h7s5h3h Jh9s6h5d4s Ad7d5c4s3h 
KcQh8s6d5h AsKc9h4h3c AcQsQd7h4h KcQcJh9d5c 
Jh9d8h5s4s Ac8d5h4s4c 8d7h6s6h4s AhKhQh8c3d 
Ad8s7d2s2c Qh9h7c5c3s Qc9s7d6s3c Ad9d8d8c6s 
KsJhJd3d2h KsKhJc8h3h KdTs8h5s4h JsTs8d7s5c 
AdJc8d6s3h Tc9c8h6h2d JsJh7c5s3c JcTs9s6d2d 
AdKhTh5h4h AdKsJc4h2s QsTd8d6d5h JcTh6s4s4h 
AsKh8h5h4d AcQh8c7c6c JdTc9s3c2d KsJc9c7d3d 
KhJd6c5d3c KdTc9s8s3c QhQc8s7c2s AdKhJh7h3c 
Jh9h9c5c3c Qs9d7s5d3h AhJs7c4d3h Qd8d8c6c4c 
AcQh8c6c4d KcJc8s6s3d JcTh8s8c2s Jh9h7s7h5s 
KsQsJs6h5s JsJc9h5s2h Jc9d6s5s5c Ah8c6h5c3h 
Js9d6h5s5h QsJsJd9h5s KhTd9h8c5s Th9d7s5h3s 
AcJd8c3s2s Ac8c7s7c6d Qc8s6h5s5c KsTs8h4h3c 
AsJh7h2s2d KdQhTd6d5d AcKs9c7c3h AdQc9h7c3h 
JsJhTs9s5c KdQcTc6h3s As9s9d4d3d AsQhJd8c3h 
AsTh8c3s3d Js9s8c5h5c QcTh9s4s4c KdJs9c6s4c 
JcTc9c7c6s Jc8s8d5s4d Kd7s6d5d3s Kc5s5h3s3c 
AdThTc7s5h AcKdTs9s3s Ad9d6h4c3c AcKh7s6h3d 
AhQs7d4h3c KsTc5s5h3h QhTh9c6s6d AsJs7d6s6h 
QsQcTd4s2h KcJsTs6s5h Jh8d7h5s5d Qh8s6s6c4h 
QsQcJd6d4d JhJd8c6d2h KsJc8s6c2d JcTsTh6d5d 
AhKdJh2s2h Jc9h9c8h4s AhJc5h3s2s JsJd8s5h3h 
KsQs9s8h6c JhJdTd7s3c AdKd9h7d3s Qh9h6s6h5s 
KhJhTs8d3c AhTc6s4h2s JhTh9h7c5s QsTh7h5h3s 
9d8d7s6c5h AsAdAc9h7h AcTd9s6c4c AsJh6h6d2s 
Jh8d7s7h5d JdJcTc9c5h AdKd6h4h2d Th9s8s7c3h 
Qd9c8c6s2d Ac7s6d6c2d AcKdQs3h2d QhJcTd5s3d 
9d9c6h4h4c KdTd8c4c3h QdJh9d7d3h AhKc9c6s5c 
QsQhTh6d2c KsKh8s5s3d Qc9c6d5s3s Js9s9h5c3c 
KdTd8c6h2h QsTh9h7s2h KdQd5c3h3c Qc9c6c5h4h 
