JhTc5h4c2d 
AdKhJs4c3s KdQdQcJd6d KsQd9h5h2s QdJh5h4d2h 
KcTd7c6s6c 9h9d8c6d4c JsJc5c2s2d JsTd8h6s2h 
Kd6s5s5d3c KcQcTs8h5c Td7h6s5s4h AsQh7d5h4c 
AhQsTc8s3s AdJs5s2s2d Ad9s8h7c5h AsJs7s6h4d 
Kh7c6h5d4s QdTh6d5h2s QdJh9s9d7d Ad8d7c5h2s 
Qc9s7h6d5c KdQdTd9s4h AhQs8h8c4h AdQcJh4s4c 
Kc9d6d5c3c Td7s7d5h4s KhQc8c5h2c Ac5h4h4d2c 
QsQh7h4d2s 8d7c6s6d4s KdJcTs7h4h As6d5h2s2h 
JhTs7h4h3s Td9h6h5h5d KsJh8h5s2s JdTc8s5c3s 
AsJc5s4s2c KsTh9s4c2c QsQd5c4h3d AcKs7h5d4h 
AhKs7h4h4c QhTdTc5s4d AcKhTs6s4s JdTh9c7s5c 
AsQdTd7d5d Th8h7s6d5c KhJd7d6c2h AhTd8h7h3c 
JsTh9h3s2c JhTc7c4d3d QhJsTd9d3d Kd9d7h7c4c 
AcJd9s7c3c Ad7h7d5c4d JdTd8d7c6d AdKs6s4h2h 
KhTc9s8c6c AhKd9h8h6h AsKh9d9c5h KsQc9h6s5s 
KhJc7s6c5d Tc7s6c5s4c Ah5s4s4d2h JcThTd6h2c 
AdTh5d3h2s Kd8h8c6c5h TsTd9s6d2d Qs7c6d5s3d 
KhKd8c6h2h As7s7c5h4s QdJsTc8h4c Qh7c6s5c3h 
Tc9d9c7s3s AsTsTc8d2s TdTc8s6d3c QcJc8s5h2h 
KhTs6s4c2h KsJs9h5c4d Tc9h8h6c2d KcJsTh7d4d 
Kh9s9c8s4h AdTh9s8s6s QcTh7s6s3h JsJhTs5c3s 
AcKs8s7d4s QhJsJd5h3c KdJs8h5c4d AdKd9s8d3c 
AhQc5d5c3d AsKsJh2s2c AdKcJh9h4h 9s9c5s5c4c 
QhTd6h5d2c Td9s8s8d3h KdTs8s8d3s Ad9d7h7c4s 
JcTc9s7d5c Tc9h9c7d3d Kd7d5c4c3h AcQd8s5d4h 
QcJsJd8d5d Td9s8h6d3s 6s5h5d4s4h AdKdJc2s2d 
KhQdTh7s4h 8s6d6c5c4d QdJsTc8h3d 9s8d6s5c3d 
JsJh9d7s2d QsJs9d9c2c QdQcTs5c2h Tc9c7h6s5d 
AhKhJh6h4s AdTc9d6h4d AcQh8s7d6d Kh9s8h8d6c 
Ac6c5d4d2d Ah9c7h6d3s As6c5h4s4d JsTc8c5h2h 
KdQhTs9c4h AcQhJc6c4c AcJs9h5c4c KdJdTs8c4d 
QhJs8h4c3s QsTs8c7d4h JcTc7s5c3s AsKsJs6s4h 
Jd9c8s7h5d 9c7d7c5h4h Jc9h6h6d5d KsQh9s6s2h 
Ad9d5h3s3h Kc8s6s6d4c Kh9d8c5h3d JdTs7h6s5c 
AhKsTc9d2d Tc9c8d5h4d QhJdTc9c3c 9s7s6c5h5c 
KdTc8s8h7h KhQdTc9d3s AsKdQh6h6c Qd9d7s6h3h 
9s8s7s6h5d AsTs8d7s3c KhQsTc5d4c QdTd8c5c3c 
Js9h8s5h3c As8h6h5s3s Td9d6h5s3s Ks7c6d5c4d 
KdQh9s7c6s 9d8s6d5c3s QsJc9s8h6s 9d8h6h5d3s 
QhJdJc8c4s JsTs7s5h4c Ts8d7d7c5s AdQs9c3c2d 
QhTs9h6d3c JhTh7c6h3c KcQdJh8s4c JsJd9s8c5s 
AsTh9h7h5c Th7h6d6c5c JdTc9s7h5s KsJsJc9h2d 
KdQh7h6s3s Kh6s6c5c3h AcJs9d6d4s KsJhJd5c3s 
KsJc7s6d4h KhTs8d8c7d Ts8h7c5s5h KsTs8s7h7d 
Ah5d5c4h2d ThTc9s9h5h AcTd9h5c4c AdQsJh9c2s 
JdTc8s7d5d KsTs5h4h2c 8h7s7d4s4d JcTsTh6h2c 
QdTsTh8d5c AhQc7h3c2s QcJhTsTd4h JcTs9d7h5d 
Kd9h8d8c6s AdQhJs7s4s KcTh7c6d6c JdTs8s5d2s 
Jd9c7c6h4h QdJd9s9c2s QcJs9s5c2c KsKcTs3s2d 
AcKd9h8s6h KsKc7c4c3h As9d8h7c5h As6s5h4h2h 
Ah9s9h5c3d JcTd8h4d3h 9s8h6c5s5h Kc8d7c5d3s 
AcQc5h5d3s As9d5h4d2s QdJsTh8c4h Ah8c7s4h2s 
KdTs7c6c2d JsTd7s7c6s JdTs8s7h4s KhQdJc9s3h 
AdJs8s6c5h KsQhQc7d3h KhQcJc9c6d Kd9d9c6s6h 
AhQs5s5d3d QcJc6d5d3c KsKh7s4d2c 8c7h6c5s5h 
Kh8h7s5s5d AdKdQc4d3d AsJs9c7h3s AdQh9s3s2d 
Ks8c7c5c3s AsQsJd4h2s JdTd9h3c2h Ks7d6h4s3d 
AhKh8s3c2s AdQd8c7h2s AhKc8d3d2h KhKc8h7h2s 
QcJsTd4h3s AhTc5s3c2h Ah7h5c4s4d AhKdQc6s6c 
AdKc9s9h5c QcTc7d6s6h KcTs8d8c6c As5c4c3s2d 
QcTd5h5c3d 7d6h5s4d3h 9s8d6c5d5c Ah8s8c7s4c 
Ts8s7s5c4c KsJd7s6h4c KcJhJd5s3c Ts8s8h6d6c 
TsTd9s4c3c JhJdTd3s3d AhJh6s5h3s KsJs7h4h4c 
Ad9s9h8d6d Ks7d5s4c3d KcJc9h7d2d JsTd7d6h5c 
AcTs6s6c2s JsTc8h6h2c Ac8c7s5h2d KdQh9d6d5s 
Ks7s5h5c4h KcJsTd5c2h Kh7h7c6s3s KdTs8s4s4d 
JdJc6h3d3c JdTd8d5h3h Ad9s7d6h3c AhJs9d6c3h 
KsJdJc5h3s QhJh9c7d6h Kh7s6d4h3s AcQhQc6d2c 
7h6s5c4h3s AdJc9h7d3d Th7s7d6s5d JhJdTd5c3d 
JdThTc7c2h QcJh7d4h3c QsJc9s8d6s Jc9h8s6c4s 
As9s9h3s3h QhJd9d5h2h KsJd7s6c4h AsQdJh9h6h 
KhJh5s5c3s Tc9s7s7d4c KcJsTd5h5c QsTh8d7d7c 
KdJs9s7s6c KsQd9h6c5d JcTc8s6d2s JsJc9c4h3h 
Ks7h5s4c3h KdJh9s6s4h QdQc8h2h2d KhQs9c7d6c 
Ac9h8d7s5d Td8d6h6c5h As9s8h8c6s JcTc8c5h3h 
JhTd9d3h2s KhQdTdTc2s QcJd8c5s3s JhJcTd5c3c 
Td9h7d5h4h Jd9s7s7d4c AcQs6s6c2c AsKs6d3s3d 
Th8h6d6c5c AhKdTc6c4c KcJd5d5c3c KdTc7h6h2d 
KdJc7h6c5s Kh8d7s5s3h QdQc6d4h4d AhKs8s8d4c 
QsJdTd8c4d Kc9s7d7c4d AdKcTc3s3h JhTs8c6h2c 
9h8c6d5h5c KhKdJc6d2d 8c7h6h5d3c QcTs5d5c3s 
QcJc9c6h5d QcJh6d4d3c KcJc9s6h2s Ad9d7s7h4c 
KsQh6s3h2d As8c5c3s3c AdKs5s3h2h Qd9s9d5h4h 
KcJcTs8h4c QcTc9h3h2s KsKd7h7d2d JdTc8s6s2c 
Ah8s6c3s3h KcJh6c5h2h KhTh6s4s3s AdKd5d3h2h 
Ac9c5d3h3d As6c4s4c3c 8s7c6h5c3s AcKd9h7s5s 
Ac7c4s4d3d Qc8d8c7h7c AhKcTc8d2c QhTh9h6s2s 
Ah4s4d2h2d Ad7h6s6h5s 9h8c6h5d5c 9c8c6h5c4h 
QcTc8s5s3s AhKsTc6s3s JdTh7h6c5s 9h8s8h6d4d 
AdTc6d3c2h Jh9s9c6c4h AsTs9s5h3c Ks9s8s7c6h 
QdJhJd9s3c KdTh8h7d3d AsQhJs9s4s KsJhTs8d2c 
Kd9c8s6s2d KhTs8s7d7c Ks9c8h6h2s KhQcTsTc5d 
Jh7s7c6c5h JsJd9h7d2h AcJc4s4h2s AdQd9c8h4d 
9s8h6d5h5d QsJh9s7s6d AhQc9c4h2h JhTsTd9c4h 
AhJs9d8c6d QcJd9s9d3s AdJd5s3h2h Ad8c7h7c4h 
KdQs9d4d3s Qs8h7s6s4h Ad7d4s3s3h KdQc9d4d3c 
QdJsJh5c3h KdJc9d7d6d QdJdTd7s7h 9c7s6c5s5h 
AdJs8c5s3c KdQdTc3d3c Kc9d9c7c6h AsTc9h7h5d 
Ah9h6d4s3d AsQd7c5d4h KhTc6h4c2d QcJh8s7d5c 
AsKs5s3d2d Jh8s8h6c4s AcTdTc8c4c 8s8h5s5h3s 
QhQd8s6h4h KdQhTc8h4s KdQsTh9c2s AdTh8d7c2d 
JdTd9c7c2d QdTsTh4d2s KsJdTc8h3s Ts9s8d6h3h 
JhJc9c5s4d KdQh9d6d2h KhJd6h5s2s KcJdTd8d5s 
Qd9h6d5d4h Ts7d6h5h4d KsQdTh8s5s Th9s9d8s6c 
Jd9c7d5c4d Ks9s8d6d3h AdKc5h5d3d KdQcTs9h3c 
QsJsJh6c4s KcQs9s9h6d QhQd7h5s5h Ac8h7h7c3c 
QcTd6h4c2d JcTd8d5s2s QcTs8s5s3c Qd9h9c7c4d 
Tc8s7s7h4c QhQdTs9c2s AdJc9s6s4c QcJd9c7d2h 
QdTd8s6d5h AdQh9s6h3s KsKd5s3s2c QsJc9h7d7c 
AdQs9s4d2d AdKs7s5h3s KsQhJd6s6c KhJdTc5s5h 
