QhQd4h3d2d 
Qc9d8h6d3c 8h7s6s5h5c Jh9s9h7d3s QdJd5s4s2h 
JdJc6d5c2s AcKdQc8s3c Ah9c7h7d6h KhQc8d8c7s 
QcJhTh9s3h QsTh6h5c2s Ks9c8s6d3d Qc9h9c5h5c 
Th8s7s6h3d AsTd9d8c5d 9h9d5s5h3s AdJh7d3c2h 
9s9d7d5s3d KdJc8c4d3h KsQh7h6c5h KdQd9h6d3h 
Jd9d8h6c5s KhQh9s8d5c Jd9c7c6d4c JdTd6c5c3d 
Kd8d7h7c4h AhJs8d7d7c Jd9h7d6h3s KsJdTc6d2c 
AsJc8c7d6c Jd7d6c5d4c AhQc8s8d7d 9h9d8h7d4c 
KcTc7d6h2h AdJd7c6c2c JdJc7d6d3c KhQh6d4d2s 
KcTc9d8s3h QdJs7c5s3c KdQdTs6d5d KsJs9h5c3d 
AsKs8s5h5c QhTc8c6s6d KcQh9c5s2s AhQsTs8c3s 
AcKd7d5d3s Jc5d5c4h4d Kd7s6c4c3d AcJs8s7d6s 
Ac7s5h5c3d Ah7h7d4c2c AcKsJc6c4c KcTh7s6c4c 
AcKsKhKdJc QcJdThTd2d KsJs6s6d4d QdJdTd7s4c 
QcJc9h8h2c KsQcJd5h3d AhQcTs8d3s JcTh8c7c6c 
AsJd8d7h7d Js9d7s5d3d AhJc7h3d2c AdKcJh7h3s 
JhTd7s5h2d JsJh6s5c2h QcJs6s4s3c AdJs8h7s3h 
QsJd9s5h2h Kd8d6c5c3s KhTd7s5h2d QsTc8h6c3h 
KdJc7s4s3d Jc9d7c6d3h AhTd5s5c4h JsTd5c4s2d 
Qh7d6c5h5c KcQd5c2h2d JhThTd6h4c 9s7h7d5h4s 
KdJs7s7h3d KhJsTs9s5d Jd9h9c6c4h Ac7d6s6c3h 
Ks6d5d4s4d QsJdTd6d6c KsQcJc8c7c JsTh7s7c3c 
AsQh7d4s2d AsJc8c5h4d AsKs9d8c4s Qs6h6c5h5c 
Qc9h9d6d3c QcJdTd9s4d AdKdJc7d2h AsKcJh7c3c 
Td9h8d6s3s AcKsTs8s2h QdJsTh6h4h Ad8s7h6h4s 
Qs9s8c5h4h KhQcJs4c3d Tc8h7h6d3c AcKc9c8h6c 
AsJs8d6c3h Ah8s8c5c4s KsQs4d4c3c KsQc5s2d2c 
KsQs8h5d3h AsKc7c5c3d Qh7d6s6h5s Td8d6s6c4c 
QsQhJs8s4c QsTs9h5s2h Th9c8h6s3c 8s7c6h5d4c 
ThTd7s7h5c 8h7d6h6c4d QhTsTc5s2c AcJh6h6c3c 
AcKdJs4d2h JhJd7c6d3c As6s5h2h2d AcQd8c7h2s 
JhJd9d7h2h 7c6s6d5d4s Th9h9c7h6s JsTc9h8d5c 
KsKh9h5d2h QhQdJd8d4s AsJhTh5h5d KsJdJc6h4c 
KcJhJd9s5h KsTs9c8d2h KsQs7h4h3d AhJc8s6h3d 
AdJc3s3c2d Kd7h7d6h4d KcTs8s8h4h AsKhTc7d3c 
Kc9c6h5h3c Jc8c7s6s4s Ah8h7s4d4c KdQh8s8h7c 
Ah9d9c8s4h 9h9d7h5d3h Ah8h7s7h2s AhKc4h3s3d 
Ac9d9c6h4s JhJd9d7s5d AhQsQd5s2s QsJd9d9c4c 
AsJs9s5c4h QdJcTc9h4c AdQc8s8h7h KcQsTh9c5c 
Ah7c5s5h3d Jh9h6c5s3s QcJsTs6s5s Ah5c4h3d2c 
JhTh9h6d5s JsJh8h6s3h QsJhTd7c4d KcTh7d6c3s 
KcQsJd5h3d KhThTc5c2c KhJs7s7d3h KsQs8d5c3d 
KsQsJd8s5c Kc7s5d4d3c QhQc7c6c2h AhTd7s4s4d 
KcQh8s8c4s AhKh9c5s2d KhQd7c4h2d 8h8c6d5h2c 
AhQsJd4c3d QdQcJd7h2h JhJc7s6h3s JdTsTd3s2s 
KdQhJc9d2s KsQc7h7d6c KcQc4s4d3s QcTc6c5s4h 
AsKsJd4s2c ThTc8c7d3h AdTh7s4s4h AsKsJs5s3c 
KhJdTs8c5c Td9s9c6s6h KcQhQd3c2s Qd8c7s6c4s 
TsTc5s5c3h TdTc9h7d2c AsKs9s5h4c Kd7s5h4d3s 
As8s7d5s2d Ts9c8c7c6c 8h7d6d5h3s 8s7h5s5h4c 
AhJh8c3d2d As9c7h2s2c Ah9h8s5d2c KhQsQc3h2d 
JhTs8h7s2h Qc9c7d6s3d Qd9d8h7d6c Ad8h8d6d5s 
Td9c6d6c5c QsQdTd4c3d QhQd9h4h2d Td9s9d7d3s 
QcJc9d8d2c KsQsTs5c2c Kd6c5c4d4c KhJsJc6d4s 
Qc8h6d6c4d JcTd9h9c4s JhTd8s8c6s KdQs8c7d2s 
JdTd9c6c2c Th9d6d5h3s 8s8h6c5h2s Qs9c6s5s5c 
AdQcJh8c3s AcJs3s2d2c AhQcTd8d2s JhJd5d4c3c 
AdTc8s7c4c QhJh7d6s5c KcQh7d4c2h JhJd8s5s2h 
Td9s9h3s3h Ts9d7d5s5c AcJdJc6c5c AhKs9c7d7c 
Tc9d8h6d2c Qs9s8d6d4d KcTd9s9c2h AsJc9s8s2d 
QcJc8h7s6c KsKd9d2d2c QsTh9c3h2s AcKc9c5s4h 
