AhJh8d6s6h 
9d9c7s7d2c Qh9d7c5h5c 9s9d6s4c3d AcJsTs8d2s 
AsQdTh8c2h QsJd9c8d6d 9s8h7s5h5d AcQsTh8d2h 
TsTh6h4d3s KcQcJsJc4c Jd9h9c8h3d QhTd8h5d3h 
Kh6h5h4d3d Td9d6s6h4h KcTs8c6h5c Qs9c7d6d3s 
Tc9c7d7c5d Jd8d8c6s4s Jc9d8s7c6c AsKcQc5h2c 
KcQcJdJc7c KcTsTd8c5h AdJd4h3c2h JdTh7s6s5c 
AhTs4s4h3h AcKsTd5h2s Js8s7c6s4c QsQh9d6s4s 
Kc9h9d6c5s JhTc8h6h3c AhJd6h5c4h Qh9h7s6h4s 
AsJh8s3h2h TsTh8d6h4c KdTd5h4h4d 8s6s6c4s4c 
QsJh9s4h4d JdJc8c2h2d Jh7d5h5d4s Qh9d8s5h5d 
KhTsTc7d5c QhQdJs7h4h QsTdTc9d5h KcJsJd6h6d 
QsQh9d8c5d AhTs6d5s4d KcQc8d7h3h KsKd9c4s3s 
AcJh9h9d5s QdQcTd9d3d KsKh9c4s3s Jc9s9h5h3s 
Jd8s8d6c4c QhTsTd9h2c Ks8h6c5c4h Ah9h8s6c3d 
Tc9h9d5c3h AcJsJd9s6s AsQd8s6c2h As8c6h3s3h 
Ks6d5h5d3s JdJc9s9h3d ThTd8c6s6c AdJd8d7h7d 
AcQc6s6c3s Th9s8d7h3d KcJsJd8h5s QsTh8s4d3d 
JdTsTc9h3c QcJh8h7d2c JhTh8s6h4d Ks9s9d8c2d 
TsTh8d8c4s JsJc8c4s2h AdTd9h8d4d QsQc9d8h5d 
JsTh9s6d6c QhTc8s6s2c Kh9h9c8h7d Js8c7h6c4h 
Qd8h6h5c4c Kd8c7d6c3h QcTd6h4h3d KhJcTh4s3h 
QhTd7h5c4s QsQh9c8c5c KhTs9c7d5c 9h8c7h6s5h 
Ad7d6d6c5s AcTh9c5c3s Kh8h7c6c3s QdJsJc8h4d 
Js9c5c4s4h Kd6c5c4h2d KcTd7s6d5h QdTd9c4s2s 
KdJdTh5s5c 8d7s7d5c3c AsKd5c3h2s QcJh8d6c3d 
Kd7d6s5d3s KhJc7h6c2d Td9c7s5s3c KdQd8s5h2h 
AsKdTs4c2s AsTs7c3d2d KsTd6s4c2d Kd8d6c5c3c 
KsKdKcTd8c 9d9c8d6s5h KsJdTc4s4h Ks8h8c7h5c 
QsJd8c6s3c 9s9d6d5c2s AhKc9s8h3h 8d7d7c5s3s 
AhKs6h4h4d JsTdTc9h3s KcJs9h8s3h QdJc8s4d3c 
Kd6s6d5h5c 9c7d6d6c4h AdJc8c7c6s QdTsTh9s2c 
8s8h5h3s3c 8s8d6c5d4h AsQcJs3d2s KsQsJd4c2h 
Kc8s6c5s3s JsTsTd6c2c KdQdTc2d2c Qd9h8d6c3h 
AsKdQc4d2d AhKd9h6h6c Js9c8s7s6d JcTd4d4c3h 
KcQc6s6d3s QhJd9c8d6d KsQd7d5d2s Kc8c7d5h3h 
ThTd8h3d3c QhJsJd7s2h JsTsTh8s5c QsJhJc9c5c 
Kc7h7c5h3h Kh8h7c5d4s KcTs8s5s2c QhQcTd7d4d 
Jh8s7s6d4d KdJd8s8c6h Jc9d7c6s3d AdQc8s8h6c 
