KcTdTc9s5c 
JsJh7s6d3d QsQd9d7h4c KdJs5s5d2h KhKd9s5h2h 
AdKc4c3h2h Ad9d8h8c2s JhJd8d7h3h Ac9d5d4h2c 
KdTd9h4h2h QsTs8h8c6s KsTh7h4d2s Qd8s7d5s4d 
AsKdQh7d3d QsQd7c6c2s Ac9h5s4c2h AcTsTc4h2d 
Kc9h9c8s2s KcTsTd7h4d As8h6h3s3h KdQdJhJd2d 
KdJd7c5c2s Ac9d5d4s2c Ac5c4s4h2h Kh7h6c5c3h 
JdJc7s6s6h AcJc8c6s2s AsKc7h7c2h QdJd6c4s4c 
JcTh8s5d4s KcQcJdJc5c 8h8d6c5d3c TsTd8s5d2c 
Jd8d6h6c4c AsAhAd5d2d KcJh9h7s7d Ad7s7c2d2c 
KdQd7h5h2c QcTd7c4s3d AhKdQs4c3c QhTc9d4d2h 
As9h7s4h2d AcTd9c4h2s Kh9s8h7s2c KhJc8d4h4c 
KsTd8s4d2c AsJh8c5h4d AhTc8s4d2h AsQh7h6h5d 
Jc7c6d5d4d QcTc8d5h2d 8s8h7c6h5d JdJc6h6c5c 
Jh9s9d7s3h KcQcTc7s4d AcQhQd9s4s QhTs8d5d2h 
AsQc8c6h3h AsKh9h6c2c KdTc7s5s5c Ad9s5s4d2h 
TdTc8s4d3c Kc8d7d5s4s AcJs5h4s4h JdTc9c6s5c 
AdJsJc5c3h KdQh5c3h3c KhQcTd8h4h Jd8h8d5s3h 
KcJc8s7h5c Ks6c5d4d2s Jd9h8d5d4h 8s8h7d6s5c 
Td7s6d5s5c KdKc9d4s3d Kc8s7d6s6d KdQs8d4s3c 
AcQcTh7c3c Ac9s9d8d4s QdJhJc6h4h JhJc6h5s5h 
KsKcTd4h2d JdTc7s7h6h QdTs7d7c6d JhJdTc9s2s 
QdJs9s6c5s QsQcJh8c4c KdJdJc5h2s KhQd8d6h2h 
Kd9d8h6c3c AcKhQh4h2s Kd9d8c7h2c QcTs9c6h6c 
Kh8d7c6d4c TdTc5h3d3c KdQdJsJd6d QhQdJc7c4s 
QsTd8c6h5c KdTd9h9c4s KcQh7d4h2c KhJcTsTd2d 
Ks7s7c5d3d QsTd9s8h2c KhKd8h8c2h AsTc9c3s2s 
QsTs8d8c6s AsTc9d8c3h Tc8s7h6d5h Qd8s6c5d3c 
Qs7h7c6s4h QcJh9d3h3c Jc9s8s5s4c AcKd9h4s3c 
QsQcJc3h2d Jh7h7d6h5d Qd7s7c6d4c QdTd9c6d4h 
ThTc9d7h2d KsTs7c4s4c Tc9h8d7c3h Qs7s7c5h4h 
QdJd8s5h4c 7h5h5d4d4c KsKc8d8c2c Ks7d6h4s4h 
JhTd8c3h3d TsTh8d8c4c QsTc9s6s6h JsTs9s9d6h 
Kd8d6d6c5c AsJdTh6d4d JdTd8c7d4h QcTc7d4s4d 
AdQc6s4d3h KdQc9c7h3h QhTs8c6d5c 7h7c6c4h3d 
QhQc6d4h2d 8d7c6c5d3c Jd9s8s5s4d JhJd8s5c4h 
Ac9s5d5c2s QcJh9s6d5s Td9s9d4d3s KhQhJh7s6h 
KsTh7d7c6h KsQdTh9s3s KhQcJd7c4s 9s8h6d5s3h 
QsTs5d4s4d AcKhQc8c2d Ks9h6h4s4c Tc7s6d5s3c 
