AsQc9d6d2c 
7h6h5s5d4d Jh9s6d5s5d As8d6h5d4h KdJd6s5d4h 
Ks6h5d4h2s Qs9d9c5d4c QsTd5h4s2h KhJs5s4h2h 
Kd9s9h7s2d QcJcTh6c3d Ts9h7h7c3s AhQc9h7h3d 
QcTh9h6d5h Ad6c5c2d2c KhKd9c5s3s AsTh5s3h2h 
9d8h7d5c3c Td9s9c6s2d Ad6d5c3c2s Jh8d6s5h5d 
Qc8h6h6c4h Kd9c7d6s5d QsTc9d3d3c Ks8h7s6h3h 
QsQd4s3s2d KdJsJc6d4d KcQhTs5s4s KdJc7d5h3s 
KcTh9d7d2h Qd9h8s5d3s QsJsJh7s2h QdTd9h7h2d 
QsQc4s3s2c 8c7h6h5d4h AhKdQd2s2d AhQh5h5c2c 
KsJh9d3s2h KhJd7h5s3c JdJc9c3h2d 7s6d5h4h4d 
KdThTd9d5c Jd8s8d5s3h KcQh7c6s6c JhTc8d5d4d 
KcThTc5d4c Tc9c6d5d3c KdQcTc6h6c Jd9h8c7c6c 
AsKs9d5h3s QdJh6c5d4d AhTc3c2h2d AdQs6c3c2d 
KsJh8s6s5d QhJd8c7h2d Qs7c6s6c5s JcTh9d6s4h 
KcQhTh6s6h Tc9h8d6c5s KsJd9c6s6h Kd8s7h6c4d 
KsQdJd9c3h QhJhJc7h2c Qd9s9c5c4s TdTc8h8c4c 
Kc9s8c5d2s AsKd7h6h4c KsQdTh4d3c JsJd7s6c4h 
JhJd9d7c3s Th9s9h8s2h Jh9d9c2h2c KhJdJc9d5d 
7d6c5s5d4c Tc8h8d7s6c AdTs9h5d3d Ks9d8c7h6c 
Tc9h8c6c2h QdTd8s6c4d QcTh9s8d2c Qs9s8c6c3c 
Js9s9c8c4s QhJdTc5h2s KdQd8c6h2c KdQsQh3s2c 
QsJs8h7s5d QcTs8d5d3s Qh8c6d4h4c AsQs8s7s7c 
Qs9h8c5s2h Kd6s6d4c3s AsQc9d7h6h As6c5s4h3d 
Td9d9c8c2d KsTs8s7c2c KhTc5c4h2c Td8c7h7d6s 
AsKc6c4h4d 9s9d8d6s2h QdTc8c7d3d KcTh8h7s5d 
AcQsJs4h2d QcTh7s4s3c KcJh7d4h2c Ac8h6c5d3s 
KsTsTc9s3d JhTd7d7c3c AcTh9s8h2d AsTc4c2s2h 
JsTs8h6h2h AcKc4s3c2s AsTc9d9c5h Qc8c6d5h3h 
AdKs8d7c3d Tc9h9c7h2d Qh9d8s6d4s AcTc7d5s3c 
Kc9c8s5d3d KsQh7s5h2s Td9s8h8d6c 8h7c5d5c4d 
KcQhTd4h3s Qs9c6s6c3h KhJd8c6h4s JhTc9h5h4d 
AdTc8s8d3d JdTh8c6s6h QcJd8c6s4h 9s7h7c4h4c 
JsTd7c6h6c AhKdTs5d2c QhTc9s8h5h KdQdJs7s2s 
KsQh6c5c2h 7s7c6s4h3h JhTh8h7s3s KsQd8s6c5s 
Jh8s8h5s3c AcQdTh5s5h Ac9s8c5h5c KcJc6d5s5h 
AhQcTh6h2s Kc9s9d6h6c Ah9h8s6h6d Kc8d6h5c2h 
KcJd9h7s7h KhThTc5s4h 8d8c5s5d2c QhTh9h7s7c 
QhJh7d5h5d JhJc7d6d5s QcTc7s7d3d AcJd9h7s6s 
AhQh9h6s4d AsKc8h5c3d AcKhQd9h2h Tc9d8h7d2h 
KdJd6c5s5h KdJh9c8s6c AcKcQs7c2h ThTd7s7h5h 
AsTh7s6s2h AcKcJc7c3d Td9c8h7c2h KsQc8h6s5s 
QcTc9c7d5s TdTc9s7h5d AcJdTs6s4s KcQsQd5d2d 
AdJs6c5d4d QhTh9h5s2s 9d9c8c6c5h AsKc7d5h5d 
As9h5s4d2h AdJs9h8c4s 8s7s6h6c4c Qc8h8d5h4d 
9d8d7d6c4c JsTc9c8c5h QhJc8c7s6c KsKd4s3s2c 
QhQc9s9d4d AcTs8s6d5h Td9d8s7c2s Ah9d8h5h5c 
KcQc8c7h4h Qs9d8c6s5s Js9s9h8d6c AsKhJc8c3d 
KhTh9h7h6h AsQs7s5d3h KsTs6h5c4s Th9c8s7c2s 
Ad8s6s5d2d KhTs6h4s2s Qc9d8d5h3c KdTs8s7c5h 
JcTc7h5c4s QdJhJc7d4s QhTc9d6h4h JcTc9d5c4h 
QcTh9d6c4c AdQc9d6s6d KsQcJh7s4s TsTh8h7d5c 
AsTs9d2h2c AcJd4h2h2c Jh9c8h6c3d AdJc9d5d3h 
QhTc9d3d3c Ks9s8c6s4c JdTc9c8c5s QsQd9c8s2h 
Js9d8d7s4s KsJd9d7c5d KdJs7h4s2d QdTsTd8d5h 
QhQcTh8h2s AdKsTd5d3d KsJh9c7d7c JdJc7c6h4s 
Th9c7s6h5h Jd9h7s7h4d Ah9s9c7s4c KdTsTd5h4d 
JhJdTc5d2s Qc7d7c6c5d AcKd9c5h3c KcQd9d7d2c 
Qs9d7h5h3s KsJdTh6s3s JsJdTh4s3s KcQhQd9h2s 
AdTh9s9h6h As9s9d5s5h 9h7s7h4s4d 6h6d5c4d3h 
KsTh4s4c3h AcKd9h3h3d QcJc8s5c3s Qs6c5d4c3s 
AhQd7h7c4h Ad8d7d7c4h Qc9h7d5d3c AcKh7c4s3c 
AcKh8h6h6d AhQs9h8h2d Td7s6h5s5d KsJsTsTc2s 
KhTs6c5d3h As9h7s4h3s JsJd6s6c2d AsQs8h4h2s 
JcTsTc6c2s Js9c8c7d2s Jc9h8h7h6s Tc7d6h5d5c 
AdJhTc7c3c AdTh9c4h3c Tc9h8d7h2d Ks9s7s5c3c 
AsKsQd8c2s KcTs7c5c4h KcQc6h5s5d KsJh8s6c3c 
AsQd9d6h5d Td8d6d6c4c Ah8s5h4d4c AhTd9d9c5s 
AhJd9c5d2c AdQs9c6c2s Jc9h8s7c2h 9c8h8c5h3d 
Kh9h9c7c2d 9d7s7c6h6d AdTh5d3s2s 9s9c8h8c5c 
KdJh8d6s3s QsJs7d5s5d AhTd5h3c2c QhQd5h4h3c 
JhTh8s8c6h KdQs5h4c3d ThTc9c4h2s Ks8d6h4s4h 
Js6s6d4d4c QhJd8h7c3d QcJs9d7h5s JhThTd3s3h 
8d8c6d5c2c Jh8c6s6c4h QcTc8h6d4c KhQhQd3h2c 
AcKd9c5s3c KsQcJh9d5d Ac9h7c6h2c 9s9c8h5c3s 
Th9d8s8d4h AcQc3h2s2h Jh7h6d5c3d 9s9h8d5s3h 
Qs9c8s5h3h KhJh6d4d3d JdTs9h9c2d AdQs8s7h2h 
AsTc9h7c4d AhTs5h5d3c 9d9c8d4h4c Qs7s7d5h4d 
AhQs7s6d4c AdJh6d3h2c Kh9c7h6d5h QdJdTd6s6h 
KcQhJs9d5d Jc9d8h7c3d 7s7d5h3s3d Td8h7s7d6c 
QsJcTd5s2h 8h7h7c6c3s KdQc9s3d3c AhQhTh5h3c 
AsKs9h6s6c Td9h8h6d2d Ad9h9d5s5d KhJs9s6d5c 
Td9h8d7c5s KsQdTs8c4s 9s9h7s7h2s AhKh9h6h5c 
Kh9h8h6d4d Jh9h8c7c2d KhKc9s8d3d KdQc7s7c6c 
AsJcTh6h4h AsQs8d4d2s AhQs7c6d4s AdQcTc8h2c 
KdTc9s7s2c JhJc9d5h4h AhTd6c5h4h JhJd9h7c3s 
AdKs9s9c5s AsKd9h3h3d KsQc4s4c2c As9c4s4c3d 
AsKdTc5d2h AsQdTh7h3c Jd9s9d8c6h Ah8c7h6c2h 
AcJhTd5s3s Qs9s8d7h5c TsTd9d4s2s As7d7c6d4c 
KsJhTd5d3d QcJh5s5h2c QsTh9d8s5s QhJs8h5s2h 
QcJd9d3s2c KcTh8s8d6d Ts9h7d7c6c Th9h6d5d3h 
QcTd9s8h2c ThTd9d4h2s JhTh7d7c6h AcJs9s9h6d 
KdJh5c4h3c Ts9s7c6s5d Jh9s8c7c6c QhTd6s4d2h 
QdJsTs7h4s QhTc8d4c2h KsTh7c6d4h AhQd3h3d2h 
Kc8s8c6d3d JcTd7h6s6h 9h9c7h7c2c JsTsTc3s3d 
Js7h7d6s6c ThTd7d5h3d KhTs8h5s3h AcKcTc5s3c 
QsQc8c4h3h Kd8s8d5s3c QhJs9s4c3c TsTh8s5d2h 
Kc9c6s4s4d QhTs8d6d6c Kc9c6h4s4h Qc9h9d6h4d 
JcThTc4s3d 7c6d5h5d4h QcJh8c5h2c 7s7h5d3s3h 
AdKd7d5d5c QhThTd5s3c KsQd9h9d3h Qs9h9d8d3s 
AsQd9h7h5c Kh8s8h5s3d QdJh5s4d2s AsJc4h2s2h 
Js8s8d7d4d Kd7s7d6d6c Ac9s7s3h2c Jc9s8d8c4d 
KdQcJh9s5s Kc9s8h8c2s QdTs8c6h6c Th8d6h5d3c 
Jh8s8h5s3d QdJs8d4c2s Ad8h6s5h4s AhKc8s5d3c 
AdQh7d4d2h Js9d6c5d5c KsJd8d7s3s QcJsJc2d2c 
Jd9c8c6h3d AdKh7h4s3c KdQh6c5c2h Td8h7d7c6s 
8c7c6s6d4d AcKc7s4c3h AcQcTc4h2s As9d7h4s4c 
Qc8h8c7s6d Kc8s6d4d4c KdTc7h3d3c KcJc9s8c5h 
JdTs9s8s5c KdQc9c6h5c QdJh8c6s6d Jd9c8s6d3s 
Qs8s7c5c4s QcJs8d7s2c AcQcTh5c3c QsQh9h8h5h 
AsTc7s6s2c AsJd9h9d6c Ks5h5d4s3d AcKc9c6c5d 
