AhJdJc2s2c 
Jh8d6d5h5c JdTh8s3s3d KdJd7s5c3h Jh9d6d5c3c 
KcJd9h6s4c QcTc7h6d6c TsTh8s6h2h AcKh5c4s2c 
JcTh5c4h2c Jh8d6d5h5d KcQcTh6s2d AdTh8d5c3d 
KsTh9d7s4s KsJdTh7h3c 8s7h5s5d4h KhJh6h5s4c 
KsTs8d6s4h AcJd9s7s2d JcTc8s4s3c Ts9s8c6c2c 
QdJhJc7s4c KcJs8d5s5d JcTsTc5c3d JsJh5h5d2d 
KsQc8h7d6h KdQh9d7h2h AcTd6c4s4h Jc9d9c8s2s 
Kd8s7c5h4d JhTh9c4d3s Kd9d9c8s3s AsKhTd3c2h 
Td9s8c7s3c JsJd8d6h4c KsQh9h3c2s QsJs7d6s5c 
AhKc8s7h2h AsQh7c6d5c AhKhTd2h2c QsTsTd6s5s 
AsJs7c3s3c Jh9s8d5h2s JcTc8h5s4c JhTc9d7s4h 
JdTs9s7h4s QdJs8c5h4s Ks9s7d7c3d QhTs7h6h6d 
JdTdTc9d4h AsJd8d6d5h Qc8d6h5d3c Jd9s9d7s4d 
JdTh7s3h3d AsTh7c4s2d AcKcTc8d2c 8c7s7c6h6d 
QdJd7s6d5c Jc9d9c7d4c AcTc9c8c3d KhQh9c8h4c 
Jd9d8h8d7s 7s7d6h6d4c QdTs9h6h6c KhQdJdTd2d 
AsJhJc8d3h KhQc3s2h2c Kc9d8h8c3h KcJd9s6h4c 
KcQs8d6c4h Qs8h6d5s2h QcTc6h4h3c KcTd7s6d5d 
AdKs8s5s5c Jc9h8s5c2h KhTc6c4h2c QsThTd6s3c 
Ad9h8c5d4d AsKdJc7s2s 7h7d6d3h3c AdQs9s8s6s 
Tc8c6d4h4d Js9s9c7c3c KsQcJcTc2c As9h8s7c4s 
Qs9s9c6d5s QhTs6s5d4c Th7s6s5c3c QcTs9d3c2d 
KcTs9h7c4c AsTd8d8c4d AsQd9h4s4c Ac6h6d5c3s 
AdJd8c6d5d AcJc8d7h3c Jh9h8h8c7d KhJd7d4s2h 
Td8c6h4d4c AcQs8h6d5h QsJc9s3h3c KsQsTs7d2d 
Ts9d7c4s4d AdQsJs6h3c QsTc4c3s3h KdTc7c6c5s 
AdQs6c2d2c Ac8h4s3h3c KhQc8c4s2h Ts9s6c4c3d 
QhTh8c6h6d Qh7h6h5s3s JdTc9h8d5d KcQd9c7c5h 
QhQd7c6d2c QsQcJh8d2c AhKs8h5h3c AhTc7h6s3h 
Ts9c7s5s3c Kh9s8h6c2s KhKc7d3s3d AsTd7c5h4d 
QhJc7d5s4h AdQd9s2s2d AdKcQd7d2s QhJhTc6h4h 
Tc9s9d6c5h AdJhTc7s3s Kc6h6c5d2h Ts8d7d7c6h 
QhJs9d6c5c Tc9c7d6s6h AhQc7d6s5d KhQsTh6h3d 
Kc9c8h7s2s Qc9s7s5h5c KhTh7c5h4s JcTc9d4h3s 
JhJdTh4c3h TsTd8s6h5s Kh9d6s5c4h JdTd9c7d4s 
