Qc9d8c6d3d 
JsTdTc8h4h AhQh8h7d4h KdQdJd8d8c AdKdJs6c2d 
KdJd8s6d5h KhJhTd8h3s KcQdTs6h3s QdJhTd5s2d 
KhJd9s7c3h QsJcTd6d3h QsJs9h7s7d QhJcTh8h3s 
Jc9h8h8c3d JsJd6d5d4h KdQhJh8s4c 9c7d5h4h3c 
AhKc6d6c3s Js8d7h5d3s Jd9s9d5s2c 8c6d5s4c3s 
AdTd6s3s2c QdJc8s8c2d Jh9h8c7s2s QsThTd9c4h 
Tc9c6s5s5c AsTdTc6d5h Qs6s5d4c3d QcJc8s6h6d 
AdTd8d6c3s 8s7h6s4d3h AhJh6c5h5d AcTc8s8h3c 
9d7h7d6d4h 9c8d7d5c3d Ks9c7d5h4s AdJh9c8h3s 
KdQdTh4s3d KdQdJc9d5d Ts9d8s4c3d Ac7s5d3c2d 
9s9h8s5h2c QhJs8d7h5h KdJhJc5h3s AdThTc5h2c 
KcTs6h6d4c Ks8c6s4d4c QsQd6c5c4c AhTh7c4s3h 
Tc8h7c5d3d QsJd8h7s2h KcQs7d6s4h AdJhJc5d2d 
KhQh8d6h3d 9s7s7h5d3d Jc7c6d5h3h QdJs5d3c2s 
Ah9s8s6c4c AdKd9d6h3s QdTs8s6s4c Ac8h7s6d5s 
QsTc8c7h5c AcQd9h7h5h Ah9c8d6d4c Qh8h6c5c2d 
Js9d8s6d2h KdTs9d4h3c QhJc8d4h4d AdQhTd6d3d 
AcTs6s5h3h KhQsTs8d4s TsTc7d6d5h 9c8s8h6s3h 
Jc8c6d5h3h AcJc6h5d5c AdTc9c7c5c QdQc7h6c3s 
QhJh5h5c3c Jd9c8d8c3s KsJs6h4s3h QhQdJc9c4c 
JsTs9s6d4h Jc9h8h7s6h QhTs7c6h2s QsTc7s4s4c 
QdTc9h8h5s 8h7h6d5s2d AcKhTs3h2d JdTd9h8d2s 
AsJdTd6h3c TsTc8c6h2h Tc9h9c6h2c Jc8s6d6c4d 
Ac9s6d4s2c AhJs9c4s4c QdThTc7s4c KhTc9h4s3d 
AcQh6h5s2s Js9h8c6s3h QsTd9s3h2h AdJhTd4d3d 
QsTd9h6c3d Qh8s7c5c4s QsJcTh3s2d KsTh8s4h3s 
