QsJd7d6s3s 
Ah6h6d5h2d AcJd6h6d4h QsQd7d2s2d QhJc7s7c6d 
Kh7d6c5h2d KcJs7h7d6s Qd8s7s6c3d AcJcTc6s2h 
9s9d8d5s2s KhJdTh8c3h QcJc9c8c6s KsKdQh7d2d 
QsTh9c7c5c AcQs8h5c2c 9s9h6s5c4d AdTh7d6s2c 
QsJs8s7h7d AhQsTs5d2c KhQc8c6s3s AdKdTh3d2s 
AsTh9d7h3c Ks9c6c5c2s Qd8c5c4h4d Ks9s8h7s6s 
Kd9d8h6d5s Qs9c8c6c2s Jh9h9c6h3c AdQc9s9d4d 
Kh9d7d6s3s 9d9c8s7h5s AsKs4c3d2h AdKcTd3h2d 
Qs8h7c6s5s 9h8h6d6c4d JcTs9s5h4s QhTsTd9s5s 
Js7h6s5h5c KhJs9h4c2c KsQh5s4d4c Th8h8d6c5s 
9c8c6h6d4d AcTh6h4c2c Qd8s8h6d5c Kc8h7h5s2c 
AhTh6d5d2h JsTc9h9c3d As8d5s5h3c KsTh8d3s3h 
KsJh6c5d3s AsQsQh8s2s Td9h5c4d4c Qh9s8h7c5d 
9s8h7s5h3s JhJd9s5h3c Kd7d5d4s3s Jh9s7h7c4c 
Ac9s8s7s6h Ts9h7d6d4c KdTs8h6s4c 9d8s8d7h6c 
Qh8h8c6c3d Ts8d7d6s2c QcJd6d5h4d KcJd5h4d2h 
Jc9h9c4s3h QdJdTh8d2c AsJd7d7c3c JhJd8h6s2s 
AcJd9s6d5h Th9s8h7h3s Qh6d5s4h4d Tc9h9c8c6d 
9c8h6d5c2h QcJd8d8c2d QhTh8d5h4c KsTs7s6d4s 
Qd9s9d8h6d QhTc9s7d5d AcKcQc3s3c KcTsTh8d5s 
8s8d5d5c4h 9s9d8h5h3s AsJd7c5d4d KdQh8d8c5s 
AhJhJd5h3h Kh9d6d5s4s AhKsQd4d2d AsQc8h8d5h 
Tc9d7s7d6d Qd7h5d4h3s Js9s9c6h5d KcQs7d4d3s 
QhTsTh9h2d Tc9s6h3s3c QdJc9d4d4c QhTs6c5c4d 
AsJh9d7c4h 7h6c5h5d3d Qd9c6s5d4h Jh7c6h5d5c 
Ah9s7d3h3c Jc8c5s4s3h Qc8h8c6h3s KsQs8h8c7s 
QsTc9h8s4s 9s9d8d6c5d QhTc7s6d4d AcKdTc3c2s 
Kh8d7d5h2s Tc9c6d6c3d As9s9c8d4s JhJc8h6d2d 
9d8d7s5s2c JhThTd6h4h KsQhJd3s2c As9s7s5h3d 
AsTs5h3s3h QsTd8h7c5c Ts9s9c4c2d KhJs6d4d2h 
9s9c6c5d4h KdTs8h7c5s KdQs9d8d6d AdJc8h8c6c 
Kd9s7s6c3c KsTc7h6c4c Js9c8h8c2s QcTd8s7d2s 
