KdQd7s6d4h 
Jc9h7h5c2d Tc9c7d6d2s AhKh9h9c6h Ks9c6s3h3c 
Kh9s6h3s3d Qd8c6d5s2c Kd9h8c6s6d KdTh9c8h5s 
Jd9s8s7c3c JsJh9c8d4h AsKd9d8h4d Ac9h4c3s3h 
Tc9c8s7c2s Th8s8h4c3s QcTd6d5s4d Tc9s8s5s3c 
KdJdTd4s2h Qh8h7s6c5h QcTh7s6s4d QhTh9s5d4h 
JdTc9s4d3h Ad8h7c6c5s KhQc9h5s4h ThTc9d6s4h 
AdQhTc6h3h Th9d6s4s4d AhTd7d4s3s Jd7s7d5s3h 
Ad8s7c6h2d QhQcJh3s2h JcTh7s6h2c 9h9c8c7h2c 
KsJdTd4d3c KsKc8h8d3h KsQhJc9s4s KdQcJh8d3s 
AsQdTc2h2d Kh9h8d7h5c 9h9c6h4c3h QdJh9s9d6d 
7s6h5d3s3h QcTsTd9s3s Ac8c7c6d5c 8d8c7h7d4d 
QsJsTd9s3s Ac9h7c3h2d Qh8d6h5s2d As4s4h3h2c 
Qc8s6s5h2c AdTc9s9h4s AsKc8h5s2s ThTc6h6d4h 
KcQhJh5d2s AdTh8s3s3h 9s6h6c5d5c QdJhTh8h3c 
KsQcJd4h3d Kd8s7h6d2s KsTh8d7c5d AdTc8d3c2d 
Jc8d5d5c4c QhTs6s6d4c AcKh6d5h2s QdJd9h7c2h 
AcQdJc6h2c KhTc9s6h3h AsTh6d4h4d QhJhTh4c2d 
AsTsTh6c3s Jh8h5d4d4c Ad9c4d3h3c Kd8s6d6c3c 
Jc6s6c5h4s QdJsJd3h2c QcJhTh8h3s 9d7d6s5c4h 
AcTh8d6h4h JsJd7c4d3c Ac9s9c4h2h QsTh8d4d3h 
KsQc7h7c5d AhJc9c7c6c Qd9h8s8d3h AsTc7c4h3h 
KsJh8s5s4c QsQhTd5h2h Ts9c7s6h2c Jh9d8d7c3c 
Qh9d9c3h3d JhTh8s8h5d 9d8s8d3s3h KhQcTc5c3d 
Ts9d6s4c3c 9s6d5s5h4h AhTd9c8s4s QcTh9h6h5h 
KdJd8s4s2h Qs9s7h5s5h 8s7d7c6c3d 9c7s5h5c4s 
9h9d8s5d2h KcTc9s8c4d Qs9s7d5s5d Ad9h7s4d3c 
9h7c5d4c3d Th8c6s5s3h 8s7s6d4h3h QhJs9c5s3d 
Qs9h5h4s4c AhQc7d5c4c 9h7s5c4s3c AdQd9c6d3s 
JsJd3s2d2c KsTh5h3s2d 6s5s5c3s3c Qc9s7s7h4c 
KcTd9s6c3c AsTc9h6d5c JsJc9d6s4h AsTc8h6c5c 
AdTh8c6h4h TsTd8d7d5h Ad9c8c6s5h JsTdTc8h2s 
KhJhJd4h3s Qc9d8h8c3d QcJd8d6s3s Td7c6s5s3c 
Qh9c6h5s2s KcQc5s5d2s Kc9c8s8d3s QhQc9s8c2c 
AdJd8c4h4d 9c7h5s4h3s KdJcTh5s5c 9h9c7h3h3c 
KsJs9c7c2s QhJs6d6c5s AsQs7c3d2d KsQcJs6s6h 
