KsJs8d8c2d 
AdTh9c6s5s KsTd9s7s3h Jh9s7s6c5s QdTc9c8h2s 
Js7d6d5s5d KsJs9c5d4s QcJdTd9d5d Jh8s8h6h6d 
Ad9s6d4h2h JsTd8c3s2d AhKsQh9h2h AhJsTh6d2h 
9d8d7s5s3d Jc9d6h6c4h AhTdTc8d2s 6c5d5c2s2d 
Jd9d8s6d5c AcTs8d5h4h AsKdTc4h4c JcTh9c6s6c 
7s7h4h4c3s AsTd7h5c4h JcTh9s9d2h 8h6h5s5d3s 
KhTh8d4h4d JsJh5d4h2d Jc9h8d6s5d QcTc7h4h4c 
9h8s5d4s4h QhQd8h4h4c QhQd8d5d4d JhJcTc6c3d 
AsQsJd6h2s 7s7d4d4c3s AhKdJc4c2s JcTs9s5d3s 
Ac9s7s3c2s KcJs9c5d2h AsQhJd8c2d KsQs8d5s5d 
Kc9d9c6h2h Qc9s6c4s4d AdQc8c4h3h 9d8s7s5c2c 
Qh9h9c6s2s JsJc9h5h4d QsTc8c3s2h KhJh7c4c3h 
KcTs7s6h4s Kh9s7s4h3s KsQs8d4d3c Qs7c5s5d4c 
QcJc9h9c7c 8c7s7c6d3s KcTd6h4s3c KcQhQc6d2c 
AhTs9s6c5s JdTc7d5h2h Kh9s9h6h6d 9d8c7c5h2h 
QhJc9s6h4d AcQsTh6h3d QhTs4s3s3h ThTc9c6s3d 
AhQs5h3c2d JsTs9c7s5s KdTd8h5d4c AhTd9c3s2h 
QhJhTs3h3c QsTs9h5s4c KhQsJc6h2d AsJh9d8d4c 
Kd6h5h4d2h Jc9h8s7h2s KsJh9c7c2h JcTs8h8c5c 
AhQs8s6s5s KhQhTc4s2d Qh6s6d5s3h JdTs7d6c4d 
KsJh6h4c3c KdQh8d7c4s AcKsJs2s2d KhJh7s6h4d 
Ts8d6s4d3c Ks7d6c5s4s Jc8c6s6c4s KhTc5c3s2h 
Ac6c5s4s2c Ah9d7h6h3s QhTd7d6d4s Jc9d8s7s2d 
AdTs8h5c4h KhJh8h7s7h KsQdJh8s4s Td8h7s7c6s 
Jc9h6s6c4s AsQc9d7h7d QsJd8c5h4h Td9d8d7h3h 
Qh9h9d6s2s KhQcTc5d3c Kc9s9c6h2h 7c6h6d4h3c 
Qh9s8s8d3h 8s8h6s5d5c KdQh8c6s5c AcJs9d7c2c 
KsJh6c3s3c AhKd7d7c3s Ks9s9c6d2d Jh9d9c7c5s 
JcTs9h9c5c Qs8c7s6c3h AdQd9d5s5c KdQhJc5h2s 
Kd8s5h4h3d KcTh7d6d5d KsJd7d5d4h KhJd9d4d2h 
QhJc8s8c6c KhQsTs5d3s Qd9h8s8h3d Td8c7d6s2c 
Td9h7c4h4c QsTh9d4h2d Kh9c6h4d4c QsQdTs4s2c 
AhJh7h4c3s Qc9c6d4d3h KdQh9s9c6c QhJd9h2d2c 
AhKsQd7c3c AcTd8s5h4h KhKdKcJd8h QhJs8d5c4c 
Jh8c6c5h2s TsTh9h4h2s 9d8h6s6h4s QcJs4c3s2d 
Qh7d5s5h4d JsTd9s9h5s TsTh9d7h4c QhQdJd8d4d 
QdQc6h5d2s AhKh8h5h5c Jd7h5c4d4c Qd8h6d4s4h 
QsQh9h4h4c As9s8d4h4c AsJd6c4s3h Tc9h8s6h5h 
AdJc9d6d5d Ac9d7c6c3s AhKh8h6c3s Ts9s9d4c2d 
Qd9s9h5h3s KdJc8h7h3c AcJcTh7c2c Qh9h8s6s3h 
Tc9c8d7c5h JhTc4d3d3c Td8s6s5c3c Th9h9c5d2d 
As9s4c3d3c KsJd8h6h5c JhJc8s4h2s QdQc6h5c2s 
JcTs9s8s4d Kc6h6d5c2h QhTh8s6c3d KsQhQd8d4d 
KdQh8s7d2s KcJh8s4c2s QhQd9h8h4c TsTc8s5d2d 
Ks9s8c6d5s QsJc7s7h5d AhTs6c3h3d AhQhJs7h2d 
AdJh7h4s3s AsKhJh4d2h KcJd7h6h2c KdTsTh5h2s 
Ah7s7d5h3h AhTh3s2s2d Ac8s7c6c2s QcJcTh8c3s 
JsTc7s6h4s AcKc5c4d3c Jc6d5d5c4h KcQsQc6d2c 
KsThTc9s2s Th9s7s3h3c QcThTc5c3d AhQcJd4d2s 
ThTd9d7d5s Kc8d7d7c2h QhThTd9h5h Ah9s9c7d5c 
AcKsJh4h2d QhJh9c8s2d AdQs9c6d3d Jc8d8c7d3h 
7h6d6c4c3h AhKh8c6h3s AcTc5d4s4c 8h7d6h4d3c 
Qs9s7s6h5d JcTc8h3s2s AsTh8d6d6c AhJh9d7h4h 
AsKc9s6s3d AsKd9s7s2h AdTh9h7c4h KcQc8d4d3s 
Ad7s7d3s2c QhJh8c7d3c Jc9c8d5d2c Js9c8c6h2s 
Qd9c6d4s3c KhTs8s6c4d KhQc6s5h3h Kh8h8d5s3s 
KdTh6h4s3s QsTs7c6h2h AcQd9s6c3c KcQhTs7s4s 
KsQd9h4d3h KcQs6s6d5s As7h4c2s2h JsTc6s5d4s 
9h7d6d4h3c Ad6c5h3s3d AhTd9d9c3s KcQs7d5s4s 
8s8c6c3s3c Qh7s6s4c3h Jd8h8c7s6d 7h7d4d4c3h 
Jh8h7c6d3c Qs5h5d4h4d KhQd9s9c6s Tc9d6h4d3h 
Td9c8d6h5d AcKh7h6h3d AhJc5s4s3c AhQc5d5c4s 
AhJd8h3h2d AcJd5s4s3d Qd9d8c6d3c 9s8s7h5h3s 
Kc7d6d5c2s QdTd7s6s2s AhTs9d8c3d KsTd9c6s2h 
QsTd9d8c3h AsTd7d5d4h 8c7h6c4h3s Qs9h8s8c2c 
Js9c7c6d5c AcQh8d4h3d QhQc9c5c4c KsJs6d5s2d 
QsTd7c6h4c AdTs3d2s2c 9s8s7d5d3s AhJd9c6h2s 
AsJcTs6s2d Tc8h5c4h4d JdTd8s8c5d Kc8h8d7c5s 
KcQhJc9s2c KcJh9s3s2c ThTc9c7c5d QdJd9s9d7d 
AsKcQc3c2d Th7h7d5d3c QhQd7h6h4h 9h9d7h5d2c 
QhQcTc4c2d AdKhQc6s3s Jd9c7h6s5h 7s7c6d5h4s 
AcTs6d3c2d ThTc9s7d4h QcJc5c4h2h KsTd5h4s3c 
