Kc9s9d4c3d 
QhJd8h7s2s KcTh5d4h3d Ad8d4s4c3s AhTd8h6s2h 
QhTc7d6h2d Kc9d5s5c3d Kd8d7h5c2h Ks9c7s6d3h 
8s7c6s4d3d AsTc9h6c5c JdTd7d6d5s KdQd8h8d4h 
9s8s8c7c3h 7s7c6c4s3c JsJd6s6d2s 9s8h5h5d4d 
Qh9h9c4c3d QcTd5h5d3h KsJc7d4d4c QhJhTh9h6h 
QsTs6s5d2d KhKd9d4d2c KsJhTh7d3h Tc9h8d6s6d 
AsQcJh6s2s Kc9s9h7s3h AsAdAc6s2s 9s8c6c4s4h 
9h9d5d4s3s Jc9c6h6d3h QdTh5s5h3s QhTs7c6h2c 
KhTs8c5h5d QcJs9c7d2d QdJd5h3s2h AsTs7h7d3s 
Th9h8d7c5h AdJs6d5d3h 8s6h5h4s3h As8d4h4d2s 
Qh9c7h6s6d 8s7h6d5s2h 8s8c7s2h2c JhJcTsThTd 
AhKh9h7h4c KhQhTh7h4c Qc9s7s5h4h AdQh9s9h6h 
Kh9s8h6h3s JhTs9d6d3c Kd9s9c7s3c Jh9s9d7s2h 
QcTh6s5h2s KdQc9d8d5s Th8d7h6h4s Ac9d7h6h3d 
AsJc9d7d4h QsTc8c5h2h AhTd5s5h4h JhTc7c5s2s 
JsTc7s5c2c AsQd7c5d3h AsQh8c7d4c QdTsTd7c4d 
QsJh8d4s2d Js9h8s6h3h Tc7c6h4s3h Th9h7s5d4c 
KdQc7d5s5h As8s8d4d3s Kh9c8s7s6s AcQcJc9c4c 
QsTd9d7c5d Td9d8c4c3h KsTs6h4h2h AhKdJc6d2s 
KsQh8h4s4h QcTh5h5d3d 7c6s5s4c2h Tc9d6d5s2c 
AsJs9s8s4d Ks9c8d7s4h Tc7s5d4d3c KcTc7c6s3h 
Jh7s7d6s4d QcTh7s6c3d KsKc9c4c2h ThTc8h5s4d 
Kd8d8c5c2s KhTsTc8s5d KhJs7s3h3c JsTh6c3s3c 
