Ac8h8d6s6d 
JhTs4s4d2h QcJcTc5s5h JcThTc6s3c Tc9d7s6d2s 
JhTh7h7d5c JcTh9d7s3s 9s9h7h7d3c JsTs5s5h4c 
QcJh7s4c3s JcTd7s6c3h KhTh7h7c4s KdJd8s4c2c 
AcKd7s5d2h KcJdJc4s3c Qc6s5d4s2c JhTc7h7d2c 
Kc8c7s5d4c AcTc7h2h2c Qh9s5h4s4c Ks8d7s5h2h 
AcQd8c6c3h 9s8s8d7h3d AhJc7h4h3s Js9s9c7d2c 
Jc8h8c7h2d QhTh9s6d2c 7s7h6s5h2d JdJc7d5h2h 
Th9h9d4d2d KhKc4c3c2c Qc9h8h7d4d KcJhTd6h3s 
KsJc8s4s3c JdTd9h8s4d Ad7c6c3h2d QhTs9s9c2d 
Qc9h9d8d4h QhQc5d4s2c QdJc8s8c2s Kd9c8c5d3d 
7s7c6c5d2s 8s8h6c4s4d AhTc7h4s3h Ac5c4d3d3c 
QdTh9h3s2s AcQsJs6s3h AcJhJc8c2c Td9c8h4h4c 
KhQs6h4d3c Td9s6c5d2s JcTc7h7c5s QdJs7c5d4d 
Kd9c7d6s6d Ah9s7s6d5s Qs7h5d4s3h AdTd6s5h2c 
Qs8h8d7d4h AsKh7s5s2c QdJc8s6c4h KcQhJh7h4s 
Qc8c7d5s3s Tc9h8c7s5c QdJd6d6c5s Td9s9c6c5c 
KhJs4c2s2h Ks8d7c6h5c AcJc7c6c4d Qh9h9c8c2h 
AdKsQc8c2h KcQd6d3d2c AdQh7d2h2d KsQc9d4s4d 
KhTs9d7c2h JdJc7h6d4d KsQs9h6s6c KhJs9s5c4d 
Js8d5c4c3s 9s8s7d6c2d Qc7c6h4h3d TsTd7d7c3h 
KcJc9d2h2d AsJd8h6h5h JsTc6c5d2d Ah9c7s6c5c 
JdTc7s6d3h QhJd6s6d5d AhTh8s4h3c KsJhJc8s3d 
Qc9h7s7c4h Jh9s8s7d2d AhKd7s5d2c JhJd9c6d3s 
Ad5h3s2s2d Qc9d9c8d4c Ts8s6c5h2h AcJd9c7c2h 
AcKh9d7d3s JdThTd6c3d JhTs6d5h5c QsThTd9h4h 
AdKs7s6h3s AhQsTc6s2d Th9c8s2h2c Ad8d7h4h2d 
Jd9h9d6h2c Qs7d6c4d3s QhQdJh9h4h QsTd8c2s2d 
Th9s5c4c3h KdQhQc9s3s KdTs9d8d2c Kc9s9d6d3s 
KdQsJs5s2c Th9c6d6c2h Jd8d8c6s5h Jh8h7d6d3c 
9d9c8c5c2d KcTs8h6d4h 7s7h6h6c3d AdKd9s7d2h 
AcKsQs4s2s KdTc9s8s5h AcQcJd8c3c KsJc9s5h4s 
Qh9d5h4c3d 8s8d5c4h4d KcJdTh6h3s 8h6s6d5h3s 
QhTc9h9d3h Jh8s8d7d6c JsJh9d7h3c Ts8d6c5c2s 
QdQc5s4h2c 8d6c5c4s2s KdQc6c3d2c KsQdTs9s5s 
AsQc8h7h4d AhQh7c3c2s AdJc7d4s2h Ad9d8h7d2c 
TsTc8s5h5d Qd9s7s5c3c KcTh8h7h5s Td8h7d5s3h 
9s7d6s4d3h Qh9h8h7h6s AsQs5c3h2d AsJh8d6d5d 
TsTd9c8h5c Ah9s8h3d3c AhTc8s6d4d Jd8h7d5h2s 
Qc9d8h7d2c Th9h6c5d4s JsTd6d5h2h QhJh6s5h4h 
QsJs6s6c3c Ks9d5s4d2c AhJc9c6s5c AcTh8d3c2s 
KdQhTs2d2c KsKdKc4s4d TsTc4h4c3h 9s8h7d7c6d 
9d7s6h4s4h KcTs8d6d4d Ks9d8s5s3d Qd8s8h5d3s 
Kd7h6s3h3d QsJd9c4d4c KhQsJc6d2h Jh8h7s6s3c 
JhJd7h5s2s 9h7s6h5c4d Tc8h8d7d2c Qc9s5c4s4h 
JhTs4h4d2s QhTh9h7c4d KdJd7c4d3c QcJh8d6h4s 
AcJh9s8h4h 8h8c5s4h4d Qc6h6d5s5c KhJs9h9d3c 
KsQcJc7d2d TdTc7s6d2c Ah8h7c3d2c KcQd8s5s2d 
ThTd9s3s2h TdTc9h3h2d QcJc7s5d2d JcTc6s4s2d 
KdQh8h6s4c Kh9h9c4s3c 9s7s5c4h3h KcQc9d6h6c 
9s7c6h3s3h Ts6c5s5h4h Td9s9c6h4s QcJd6s6d5d 
Kh7c6s6d5h KdJsTd4d4c AhJd8s8c4c KsJsJd4h3s 
KcJc8d7d2c KhQd7s7h4c 9d8s8c6c2d AdQhQdQc8c 
KcTc9c5s4d 8d8c7c4h3h QhTh9h8s5h QdTd5s4s2d 
7d6h5s4h3c KcJc8h6h3c Ks8s5c4c3h KdJcTs6h3s 
Qd8s8c5d3c Ad9s6s4d3d Kc9s9h5h4s Ts8c7d6s4s 
QsJd6d6c2s Th9s7c6s2c Ac8d8c3s3h AhQsQhQc8c 
AsQs6d5s4s AhQd9c5d3s QsQhJh8d3h AdKc4d2s2h 
AhKs7s6d3s QcJc9c7h7c KdQdThTd3d 8h5s5d3s3h 
Jd8c7d5s2s Qh9h6h6c4c AhQc7c5s5c QsJd8c6d2c 
QhJdTd5s2d QsTd9h9c4s QsJhTs4s2c KcTc8s4s3c 
KcJs3s3c2h Kd8c6d4s3c JsTs7s7c4h KcJc8d7c4s 
QsQhJs7s4s QhTh4d3s3d Ks8d6s6h3d KcTc5d4s3h 
JsTd9h5c3c Ac9c8d8c2h AdKd6s6d4d AdQcTs7h2c 
Jd8s5c4c3d QsQhJs9s4s KcQcTc6s6c Ad9d5h4h3d 
KcJc8h7c4s Jc9c8c7d2d KsQsQd5s2s AdKs8h6d2d 
Kc9c8d5c3d AsTh8d6c4c 7h7d6h5s2d Qc8d7s5d3c 
As9s7h6s3c QhQd5c4s2h Js9h9d4d3h Ac6s6d3d2c 
KhTc7s7c5d Kd9s9c5d2s Js8c6s5c2d Ad9h6s4d2s 
Jc9h8s6s3h KhQh6d6c2c KsKc8d6h2d JcTh4s4h2c 
AhJs7h7c2d KhQhQd5h2h Jd8d7d6s5c Ac7c6h4d4c 
AdQs9s9c5s Ks9h7s6s6c AcQd9s4c2h AdQcJh8h3h 
Td9c8c5h2h Kh6d5s3h2s QcJcTs4c2d KdQc9c4c2d 
AdQh7d6d4d 8d7h5d4h3s JsJc7c4s2h Tc9h8s2h2c 
KcQc6s6d2d QhQc9c8c2d Jc9s7d4s3c Jc9d6s5d2c 
KhTh5c4d3s QdQcTd3d2s JdTd6s5d4d QdTd9s7h4d 
QhJc8d5d4s AsQhTc6d3d AhQh6s4h4d QsTc9d3d2c 
TdTc6s4h4d Jc8c7s5s2d Ad8h6h4d2d Qh9s9h8h7h 
KdQh4s3s2d QcTd8h3h3c 8s7s5c4s3c KsJs6s4h3h 
Ah9d8h3s3c Qh8s8c5h3s AhTc8d7c3s AsQcTs5s2s 
QdTs9h9d3d KdJs9h9d3c KdTd9d5c4s Jd9d9c6c2s 
8d6d6c5h3h KdJs6d4c2c KhQd9s4s4h Qh9h8h7c6h 
KhQcJd8d4s KsJsTs7s5s KhTd9c4d2c 8s8c6c4h4d 
QcTs9h6d2c Kd9h9c5c3h 8c6s6d5c3d Tc8d7d6s4d 
Jc8s8c5d2d Td7d5h4s4h KhQhJc8s3d 8d5s5h3s3d 
AhQs7s6c4s JhTs7s7d4s Kc9s9d4s4c JsJc8c7d4c 
Kc9h8s8d7s KdJd8h4s2s Qc9h6c4d3d 8d8c7c3h3d 
KhQc6h4s3d AhQsJd6s3s QhTc7s4s3c KhJd9h6h6c 
KdJh9c6c2h Ad8d8c3s3h JsJh8d7d4c Jd9d8s8c6h 
Ad7s6d3s2h AsTs8s4c2d KdQd8s6s2d TsTd7d4s3s 
KsQsTs7c4s KhJh6h4d3d AsQd9d7h4c KhJc4h4d2d 
Qd9c8s6h5s As9d9c6d4c Ad9s7c6s5s JcTs9d5h3h 
KsQdTh8c3d KhJhTd7h2c Jd8d7c6c3s Ts7s5d4d4c 
9c7h5h4c3c AhKd5s4c3s Jc8c7s6d3d Tc7h5h5c4c 
KsTc8s6h3d QcJc7h5s2s Qh6h5s4s3h Kd7d5c4c3d 
