QhJh4c3h3c 
ThTd9c7s3d AhJh9d7h2c JdTs8d7c2h Qd7h5h4d4c 
KsQcJc9c4h Jh6c5h5d4d AhJsTs4s3s KsQh9h7c5h 
KcTc7s7d5c Tc7h6c4h3h Ad8s6s3h2d TsTc9s6s4h 
Td8s6d6c3s 9s9h8s7d5s 9s9h7c6d4s KsJc7s4c2s 
KsTh8s5s4d KhQsJs7d4s 9s9c6s5h4s AhKc9c5c3s 
AhQs7c3c2h QsJsJd6s3c KcTsTh8s4d JsJc9d5s3s 
QsQd9h7d4d KdJs8h7s3h JcTh9h4s3h QhJd6d5s5c 
KcJs6d4h4c Qs9s6h6d5c 9d6s5d5c4s Ac7h6s3d3c 
JdJc7c6s4c Ac8d7s4h2c Ah6h4d3c2d AcKd8s2h2c 
JhTc8c7d3s QcTs7d4s2c AsAhAc8h2h 8d7s7d6h5c 
AcQs7d6h6d AsJs9h5s2c QdTc5s3d2c Qs9s9c6c2s 
KhTdTc9c4c Qc8d7d6s5h Jd7h5c4c3d Td8h8d7s2h 
8h7h5c4c3c QhJsTc8s2s Kh9h8s8h6c 9d9c7h6s4c 
QhJdTs2s2c Kh7s6c5s5c KdTd8h4d3h Ad9s8d5d3h 
QcTc6h6c5s Qh9h9d6s4c Th8s7d6s4s JsTs7h4d2d 
Kc8h7d6c4c AcKd6h2h2d KhTs9c5s2c KdTh4d4c2h 
AdKd6s3s2d Kd8d6s4c3s Td7s7c6s3c KhKd8s7c2c 
KdQs7h5h2s QdTs8h3d2s Kd9d7s4s4h Jd8s5s4h3d 
JsJc6s5d3h QhJc7s7d6c Kh5h4s3s3d QhTd6c5c4c 
9h9d8h7d2d AhJs9c7s3d AsKd8s6c2s Jh9s8d5d2s 
Kc9s9d8s7s AdQd7h4d4c Qc8h8d6c3h 9h9d8s2s2d 
JcTs7h5s5d AcKd6d5d2s Jh9s7h4d3s 7d6h6d5h2c 
AsQhJc3d2c Ah9h7d6c2s JsTc7d5c3h Qh8s6s4s4h 
AdJh9s8h3h Ts9d9c4s2d Kd5d4h4c3h Kh9d8s5s4d 
Qd8h7d5h3h 9s7h6h5h4d KcQs6d4d2s Ac8d7c5c3h 
Tc7d6d4h3h Jd9c8d7d6d AdQs7c5c4c KdQsTh5s5c 
KsTh9s9d3s Kh7s5s4d2h JhTsTc6h3d 9s9c8c3s3c 
AsKh8s3d3c KdTs6c3d2s KdQcTd4s4h KcJc8s7d3h 
KdTd8d7d5h Ks8h7h6h2s Ad9d7d7c3h JsTd5s4h4c 
Jd8h8c5c3h AhKd9s7d2c QsTc8d3s2c JhJc9c8d4c 
QdQcJd7s2h Th8h7h6c4s KdTd5s5h4c 7d6c5h4c2d 
AhKh9s7d2h AdQsTs8s2s Jc8h7s5s4d AsTh9d7h3h 
KsJsJd7s3h Ad8s7h4c2d KcQd5h4s3d QsTd9c8h3d 
Tc8c6s4d3s KsQd9h7c5h Jh6c5d4h3c QcJs8s8c2c 
Ac9d8c5c3h Td8s8d4s3c QhJc9h8d4s JhTs7s6s2h 
Ad9d9c5d4s Kd8d7h6d4s Js7h6h5d3d 9h8d7s7h2s 
Ks9d7c6h5h QdJdTd3h3c QsJd7s7d3s Ts8s7s6c4d 
KhTs8d3s2h KsQdJc7d4d Kc9c8h8c6d Th8d6s6h3d 
Qc9h8s8d7h KdJsTh8c3s Jc8s7c4s4d KhQd9s7s2d 
As7d5s4s4h Jd8s8h5d2s 9h9d6d5s4d AdJd7h6d2h 
AhQs9s8s4d Tc8h7c5h3h QhTs9d8d2c Td8h7s5c4d 
AdJhTs6c3s 9s9h8d6d2h JhJd5h3s2d Kh9h6s5d3c 
Qs9d5c3s3d JhTc8d2d2c KdTh7d4s3c Ah8d6s3d2h 
9d7s6s5s4h Td9c8c6s6h KhTs4d2s2h QhJh9d7d2d 
Th8d7s5d3s QhJd9c3d3c Tc7h6c5d4s Ah5h5c4h2c 
Ts9h8h4c3c Qs9s8h8d3d JsJd8h6s4s KcTc6d5c2d 
QcJh6h5s5d Ac8c5d3d3c KhQh8h6s5h QhJd4d3d2h 
KsTs7c5c2s 9h8h5s5d3d KcTd9s9c3c KhQh9h6s2s 
QdJsTd4h2d 8s8d5c2d2c As8d7d3s2d JsTd7h5d5c 
AhJd5s5h2c Kd9s8h5h4s QdThTd9d4d KdQh9h8h6h 
As9s9h3h2h Kd8s6c4s2d AhJd8d4s3s AdJdTh6d2c 
Ac7h5c4d4c Ks9s7c4h4c 8c6d5h5d3c KhQdQc7h2s 
Jd8s7d4s4h QcTh7s5h4d QhTsTh6c2d Ac8d6d3h2c 
9h9c5s5h2s AcKcQc3s2c QsTs6s6c5d AsJs9s4h3c 
As4s4d3c2c QsJc9h5d3c Jc9s9c5h5d KdJd8c5d4h 
JhTh7s7d5h KcJc8h7d3s AhQc7d5s4s KdJsTc4h3h 
TsTc9s3h3d KhQs5h4c3h KcQs7s5h2h KhJh6s3s3d 
8s7h7c5h2c 7s7d6d5h5d AcKd9d6s6d AdTc7s7h4c 
JhTh9s9h2d 9c7c6h3s3h Ts8h7d5s2h KdQh6c4c2h 
JhTd7d6h2h KsJd6h5h2d Td7s5s4d3h Jh7c5s4c3h 
KhJs7d4h2d Qh7s6d4h3d KsQsTs8s5d QhJd4d3h2s 
AhQh8c4s4h KsJs8h8d3h KsKc7h7d2d KdQc7c5s4c 
AcJs9d8h4d Td9h9c8c5s Jc8h7s6d5h Qd9s9h4s3d 
Ts7d6s5h4c Jc8c7d4s4d Ts8s8h4h3h Th6h5d4c3d 
KhJh7h5d2d KsQsTc8s3d JcTh8c6s3d JsTs6h6d4c 
AsKc6d3h2s AcJc9h7c2s AhKhTs7h2h QdTd5s5c4h 
QcJs9h8d3c Ts8s8d4d3d JcTd9d8d2s JdTc6c3d3c 
Qc9c8s8h3s QcTs4s4c2h As7c6s5s4s Tc8h6h6c3s 
QsQc8s8h3s Kd9d8c6s4h KsJs8c5s4d Kc9h8d5d4h 
Th8s6c4h3s Ks6s5c3h2c Th9h5s5c3c Qc9c8s8h3h 
Js6h5c4s3h Kh8s6c5h4h KdQs8c6s4h As9d8s5s3h 
Qd9h8s6d4c Jh6s6h5c4c AsKs9h4d2c 6h6c4s3h3c 
KhQdJs9d4d Ah9s9h5h4c Qd9d9c6s4h Kd5c4s3s3d 
AcKc6s6d3c JdTd7d6d6c QsTs7h6h2s KcTc7d6c3h 
9h8d7h7c3c Kd8h6d4c3c Th9s9d6c5c AdJc9s7c3h 
Ts7h7d6h3d KdJd5s3s2s AsQc7s3s2c QcTs5d4d2s 
8d7s7d3s3h KsJs4h4d2d QsTc5d5c2s As9h9c7d6d 
AhJh8h7h6h Kc9h7c6h2c Kd8s6c5d4d Qs9h8d6s4c 
Qd9d6s5c4h 7d6h6d5d3h Qh9h6s6d5c Jd6s5h4d3h 
QsTc7s6s4s 8d7h6d6c3c Kd7h6h3s3d KcTs9c7c4c 
6s6h5s4h2d 9d6c5h4h4d QhJdJc6c3c AhQd7s6c3d 
Th7s6h6d3d JhTh7d6c2c Qd9c8h7d3c KcJdTh5s5h 
9h6c5d4h4d Js9c8c7h5c QsQd9c7s4s QcJd7c6d2h 
KsQh9c4c2s QhQdQcTd9c KhQdQc8d3s Js8h8c5s2c 
Qd8h7h5h3d KdQd9s7h4c 9c8s7h7c3h JhTh8c7d3s 
Td9s8h7h5h Tc9s7d6h4d Ad6h6c5s5c AhQs4d3h2c 
QsJd8h8c6h JhTh9h7d4h 9s9d6c5h4h QdQc3s3c2h 
JsTs8h7d3c KsQd9d7h5d AdTs6c5h2d KcJc6s5h2d 
KcQhJs8d4s JsJd8d5d4d AsQc7c6c4d AsTc7c6h6c 
JsTd5s5d2d Qc7h5h4d4c Ad9s4s3s3d JcTc7s4h2h 
9c7h6h5h4d AdJd6h3h2s AsKh8d5h3h As9h9d3d2s 
JdTc7h5c3s KdTs7s5s4h KsQdJh7d4d 9c8s8d7h5s 
Th9c8c7s5c 9s7h6d5h4c 9h9d8c7h3c AcKdQs7h2s 
KdQhJs5d2d Qh9h8h6d5h Kd6c4d4c3h AhJs9s9c4d 
KhQs8d6c4s QhJh6c5h2c KsJcTc8h2d QcJc5s5d2d 
AhTs6h5d3h Jd6s6h5s4h 9c7s6h5s3d KhTd6h4s4c 
QdQc9s8s4h Jd7d6c5c3d Kc8s6s3h3c 9s9c7s7h4s 
Td9s7s6s4c 8d7s7d5h2h KdJh8d7d4s KsTd6s4h4c 
8s7d6c4d3s KhQh9h6d2d JcTd9d4h3d 9h7d5d4h3c 
JcTc7s6s2d 9h8s8d6c5c KsQdTd4c3d Kc5s5c4h2s 
AdTh7s7c4c AdQd8d5h2c QsJsTs6d3s KhJs9d8c2h 
Qs8h8c6d5s Jh8s7h7c6d 9c7d6d5d4h AsTs9s8s6s 
Qc8s7c5s3s QdJd6s5d2s Qh9h8s5s5h As9d9c7h6h 
Ac7s6h3d3c QcTc9c5s3h Ts7h6c4h4c Jd8d8c7s2c 
Ad8d5d4h2h Ah9d6d3c2h Ts9d5c3s3d Kd9s9h4h3d 
JhThTd7c3h QsQhJh6h3h Qs9d8c6d5d 7s6d5s4d2h 
Kc9d9c5h2h QcJd8c7d2c TsTd9h5c3d KhTs7s5s4c 
AhQd7c5s4s Qs9c5c3s3h KcQcTc9s2c AcJcTc6c4c 
Jc8d6c5h4s AhJc6d5s5c Kc8d6s4d2c Ks9c5s3h3c 
