KhTh9s3h2s 
9h6h5d3s3d JsTc6s6c2d As8c5s4s4d KcQcTc6c4c 
AsTs8h8c2s QdTd5h5d3h Ts9d8c7s4h 9c6d5h3h3c 
KsQc9c8h5c AdKd9s5d2c Ts8d6h5c4c AhKcJh7h2h 
AcQs9h8s2d AhQhJh2s2h Tc8s7c5s3c KhTh5d3d2c 
KsJh9c8d5d KdJsTd7d2h KsQd7c6c4h Jh9s9h7s2s 
AhKd9h9c2h Ks7s7c6d5s KcJh7s5d4s Tc9s5d4c3s 
AdJc6h3h2d QcJh9s5d5c QhJhTh2s2d KdTd9c3d2c 
KsJs6h6c4d Td8d5c4h3h Ac7s7c3d2d QhThTc5s2d 
KcTd9s6h4h Qd9c8s7s7h Jd9c5h5c4h AhKsTc6s2s 
KsTs5d3d2h As9h8h5c3c Qd9c8h7s7h KdJc9s9h5c 
QsQcTh3s2s AcKs9h4d2c Qs9h8d7s5s AcKhJc7c2c 
Tc6s5d5c4s Ah9d8c5d2c AsKs9h5s2c Kc8c7d4d3s 
KhQs7s6s4c KhQsJh4h2c Ts8h7s5h2d Qc9h8h7h3c 
KdTs7d3c2s Kh8s8h6h5c 9h9c6d2h2c Ad7d5d4h3c 
KsQcJd4h4c QsJh7c6h2s Jd8s8c7c3d KdQs7s7c3c 
Kd6s5c3d2s QsQd9d7d3c KhJc7d7c2h Ts9s9c4c2s 
KdJh9s8c5s KcJd5d4s2s Jh9h6c5s4d JhTc5s5c2s 
Ks9h6s5d3c KsTs5h4h2s JsJd8s3d2h TsTh7s5h2c 
JdTc9d4s4h AhKh9d9c2h Td9h8s7d4c AdKs9h3h2s 
Tc7s5d4c3d AcQc4h3c2h AhKh9c5h2s Js9c7d4s4d 
KsQh9s3s3h AhQh7h4c2c QhJh8s6h6c KcJc8d6h4c 
Qs8c6s4c3h KhTc9s7c4c 9c6d5h5c3h KcQhTd7s3d 
Qs8d8c6d2s Th9h5h4c3c Qs8c7s7c3d AcJh8h4d2d 
As9c6h3s2c 9s7h7d6c5c Qd6s5s5c3d QsTs8c6d2h 
KdJs5c4c2s KsQs4h4c2c Ts6d5d4c3s Jh8d7d5c2h 
9s8s8d6d3d Jc9s7c5h4c KsTs5s4h2h Kd8d5s4s4d 
QhTs9d5s3c Kc9s8d6s3d Kh9c6s6h2c KhJs7s4h2s 
AsKd8h6h4h Tc9h7h5c2s Ts9c8h4h3c Qd6s6c5c4s 
9c8h7d6d2h AhJsTc6c3c Js7s6h4h4d Jc9d9c7d2d 
JsJh7d5d2s Ah7h4s2s2c KcQc5d2s2d AdKcJs7c2c 
Td9s8h4d3h AsQd9h4c2s AsKh9h6h4c JcTc9s9d3c 
KcQs8s8c3c QcThTc5s2d Ts8s8d6d2d KsQhQd7d3d 
Td9d7c5s2c KdJc7h5s4h KcTs9d6h3s Tc8d7c5d3c 
Jc9c6s5d4h Ah7h5h5c2c JdTd8h3s2h AsJc9d6s3s 
QsJdTc3d2h JcTc6h5h2h KdTc3s2d2c KdTh9s6c3h 
QdTs6c4h4d AcTc6c5d3s JcTh5c4d4c Ks8s7h4h3c 
QcJsTd8d2d Qh8c6h4c3d JhTd7c4s4h Tc9d8c4s2d 
AhJs6c3c2h 9d7s6h5c3c QcJdTh3d2s Th9d7s5h4c 
Kd8h6h4h3d Ks7h7d6s4c JhJc7c5d3s Jh9h7h7d6s 
AdQd4h3h2d AcKdJs7h2s JhTs7c4h2c ThTd8c4h2c 
Ah8h6s4d3c QhJd7s6d2h JhTc6s4s2h QhTs8h6c2d 
9c7c6d5h2d KdQc5s5h4c Js9h6s4h3d AdKs9c8s2s 
Ah9h6d6c4s JsTd9c6h3c AcJhTs2s2d Th8s7c5d4d 
AdTh9d5d2c Kd8d5h4s2h AcTsTh8s3s JsTs5h3h2c 
Ah7h5h4s3c KdQc6s3s3c Ts8c6c5h4c Qh9h8h6s2s 
KcJcTc6h6c KcTsTh6d2c KdJh3h3c2d Kc8c6d4s3s 
Th6s6h5c4c AcQc8h6c3s Th7h6s6d3d JhTs6h4d2d 
JhTs7d3s3d AdJh7c6h4h KhJc9s8d5d AhTdTc5s4s 
KdQd4s4h2s JcTc7s5s2c Js8h7h5s3s QsJh9d9c5d 
Tc8h8d7h2d Ks9c7s6s2c KhJsJd6s3c Qd6h6d5s5c 
Ah8h6c4s3d QcTc7h6c2h QhTs7h5c4h QhJh8d6s6h 
QdJs9s6s6c Ad4s3h3d2s QhTd9s8h2h JsTc5s4s4d 
Qd6h6c3d3c KdThTc4c2h KcTs8h3c2s Qd9d8h7s5d 
Th9d8h7s4c KcJc9s8h2d Td9d7c6h4d QhJs3s3h2d 
QdJc9h9c5c KdTs8c3d3c Qd9c7s6c5c 8s8h6h4h3s 
AhQd5h3s3h JsTc7h7d5c KcTc6h6c4d Ts9d8s7s5c 
QdQc9c8s3c Ks8h7h4d3s Th9d9c6h4s AsJh9c6s3s 
Ah6c4c3h2c KdJh6s5h2s Jd6h5h4d3c JdTs7h4d4c 
JdJc7s5s2c QdJdTs2h2d TsTd5s4d3d QhTc8s4s2c 
QdJh9d3c2c Ad9s8s5c3c KcJd7d4c2d Tc9h8d6s3c 
KdJd8d7c4h Jd7d6s4s4h Kc9s8h6s3h Ts9d7s6d2s 
