Jd7s7d5s3s 
Ac9d7h6c3c KhJc7c6d4c Td9d8s7c4h 8h7d5s5d3s 
ThTd9h6h5h QcJcTc8h3c Ts8h8d6h4c QcTs7c5d2d 
AcQh8s6s4d Th9h7c6s3h Jd8s8d7h3s JdTsTc5h2c 
Th9d5h3s3d AhQs6c5d3s Js9h8c6c2h QdJh8c5s4c 
8s8c5s4s2c Ts8h8d2s2h 9c8s8d7c6c KcJs8h7h2s 
QsTd5s5c2c AhQc8d6h2h KhQc7d5d4d Qd9s6c5h4d 
Jd7d6d6c4c JdTh7s6h3c 9d7h5s3h3d 6h6d5s4s2h 
KhQhTd8h2s 9s8s7s6h2h 8h7s6s4h3h AdKhQh7h2s 
KhTs6h3s2c TsTd9s4h4c Ad9h8s8d2d KdQsTc6h3h 
Jc6c5s5d4d 9h7c6h3d3c QsJs6c3h3c Kd8d7d5h3h 
Js8h7d6h5h Qc6h5h5c4c Ah8d7c3c2h 8d6d5d4h2h 
ThTc4h4c2s Qs9h5h5c4c QhJc8d4c2d Js9h6s5h2h 
AcQd8d5h3s QdJsJd5c2d KcTd6c5h5c AhJh7d5h3h 
9h8h7d6d2d 7s6d5s5d3s AcKh6c4c2s JhTc7d4c2d 
Js9s7d6h6c Ts8s7d4h3d AcJs7d6h6d Jc9h6c4s4h 
AhJd9s5c4c Jh7h6s6h4s QhJs5h3s2h 8s7s6c5h3d 
Kh9d9c8c6s 9d8c7s6c4h TsTh6c5c2s 9d7d6s5d3h 
Js7d6s4c3c KsQs8d4h2h Qh9d8s5s3d AsKc9d2s2h 
AcQs6s6h4d KdQh9s2s2d KdJh8c7c2h AcJc8c6h3s 
KcJc7h4s2h QdTh9s6h3h KdJsJd6h3d Qs8d6s6d3c 
Jc9c7d6s6c Jc8d7d6s5d TdTc8s5h4s 8c7c6d5d2c 
Qh9c5d5c4d Jc8s7h5h2c QhQd8s7s4c Ah7c4h3c2d 
9c8s6c3s3h JsJd5c4h4c Kh6d5c3c2h KsJsTs4h4d 
Tc9d7d3d3c Ks6s6d4h4c Qh9s8s5d3d Tc8s8c7c2s 
AdKc9c6s4c AdJs7s5h3c KcTd9c8s2c KcQs8s3c2d 
8h8c7c5c4s JsJd9s5h3s Qd8h8c5d2c TsTh6c5d4c 
QsQh6h4h3c 8s8h7h5c4h KhJs6s5s4c KdTs9s7s4c 
JdJcTs4s2h QdQc6d4d3h AhQd9d5s4d 9h6s5d3s3h 
Jh9s6c5c2h KsJc7h6h4d 9h8s8c5d5c 9s8d8c7s2d 
AhQh9c3c2h KhTd8c6d4d Js6s5c4h3h Th8d7s6s2d 
Qc9h8c7s5c 8h8c7c6s4c KdJs9h7d3d KsJsJd7h3s 
TsTc9d6c3c KdJc6d4h3s AdTd8c4s2d Ks6s5h3h2d 
KhQh8s4d2d AhKs6c3s3d 8h7h7c5d4h Ks8s6c5d4s 
KsKc6d3c2c 9h9c8c4d3h AcTc8d4s2c Qd8s5s5c3d 
Kc9c6s6h2h 9s8h6d5s4c TsTh9d7c4d Kd8c5s4d2c 
Qc9c8s7c5d Qh9d6h3d3c 9c6h5d3h3c Jd6d5c4c3h 
9d8d6c4d4c Qh7c6d6c4d Ac9h6d5c3c 9s7d7c6s5h 
KhQsQc6c2c Th9h8d7s4c Jd8c6s5h4s TdTc9d6h3d 
9s7c5c3s3h KcTc6d5s3c JhTh6h5d2d Tc8d7s5c4h 
Jc9h8h4c2s AcKdQd7d2s Qs9c8h7c5d Jc9s9c6h2h 
QhJd7h5s2s Ad4s4c3d2c Td9c8d3d3c KcJd5c4s4c 
Qd9s9c2s2d AhJs5h4h3c QhQd9s7h3h KcTh7h5d4h 
