QcJc9h5d3c 
QhTs6d5c3s 9s8d7s7h3d AhKh8d3s3c KcJsTh6d3d 
QhTc6h4d3s Ad5h5d4s2c KcQd9d6s6d KsQh9d3d2s 
KdQh8s5h4h QcJsJc6d2h KdJs8c5s4s AdJsTh3c2s 
Tc8s8d7s3d QsTc9d5h2s KhTc8s6d2h Kd7d5s4h2s 
JhTsTh5h2c KcTs6s5h2h KhQc9h6d3h KhJs9d7c4s 
9h8h5s3s3d KhJd9s4c3h KdJs9s9h6s Tc9s9h5c4d 
KcQsTd3h2c As9s8h8c3s As8s7s4h4c QhQd6s3h2s 
QhTd8h6s3h QcJh6c5d3c JcTd5s4d3h 8s7h6h6c5d 
Qd9s8s6c2c KcQc8d6s3h Jd8c6h5d4d KdTc7h6h2c 
Jd8h8d7c2c AcQc9s8c3c Jh7s7h5d5c Td9s8c4s3c 
AsJcTc7d2c Th8s7h6s2s Ts9d5d3s3d KcTh8h6h4s 
Ks8h5d4s2d Qc8d8c7c6s AdQd9d5s3d Ts9h6s6d2h 
JhJc9c3s3d 8s7h6d5d5c QhQcJc7c3s TsTh6s4c2h 
Qc8h7c4s4h Td9d6c5s2c AsJc9h5h4d AhQh9d3h2d 
Th8d7c5d4s QsTsTh2s2c JcTs9s6s3h JhJd9c7s3s 
TsTc9h8s2d 7c6h5s4d3c QsTd9c7h4c 8s7h5h4s2c 
9c8d8c7s2s Kd9h8c6s5h KhQcJd4s2d Ts8c7d5s2d 
QsQd8h7c2s QsQd4s2h2c Jd9h7d5s2s 8c7h5h5d3c 
Jh7d6c5h4s 9c7s6h5d3h KsQh8s4h3s 7d7c6d5h2h 
AsKc7d3d2c Kd9s9c7c5h Qd9d8h6d6c TsTh8h8d2h 
KhQc6c5s5c Ac9s9c6d4c Kc9h9d8h4d KsQs5s4h4d 
8s8c6c4c2s QhJdTs7d3d KsQh9c7s3d AsTs9c2s2h 
AhQsQc3d2d Tc9d7c6c3s KsJsJc7h2d 8s7d6h5d5c 
QcJd8d2h2c Tc8h8d6h5h Ts8d7d6d6c KsKc8d3s2h 
JsTs9d3h3c ThTc9h5s4h Ts6h5h4s3d 7s7h6h5d2d 
Th7d5s4s4d Qc9d7d7c4c Ah7d5h4s2c JdTs5h3d2h 
KhTc9s8c2d QcJcTh6c3c KhKd8h5h2h QcJd3h2d2c 
KsJdTd8d3h AdQdTd9d2d 8h7s5c4h2s Qh8c5h4d3d 
Qc7s5h5c3s QcJc7d6d2h AhJh9c3h3d TsTh5s4h2s 
Th9h7c5s3d Qd9d8c7c3c Jd9d5c3s3c Jd8s7d6s2c 
KsJs9h8s4d KhQsTs5d5c KcJcTc7h2s Js8h7d6s6c 
8s8h7h2s2h KdTh9s7c4c KdJsJh6c3h 7d6s5s5d2h 
Kc9d6s6c2s KcQc6s4c2s Jc7d7c5d3c Kc9s8d7d5h 
QdQc8h3s3c QcJc9c6h2h JhJdTc8c2c KsKd8s5s2s 
Js7s7d5h5c KhTc6h6d4h KhQdQc8s3d Qd9d7s6s2c 
KsQcJs4h2s Qd9d7c6c2s Td7d6h5s4c KhQh8s6h6d 
7h7c4d3h3d AdKd4d4c2h 9h7s6c5c4d KsTs9s3d2d 
JsTc4h3c2s As9s9c6d4s QcJs8s2d2c KhQcTs8s3d 
Ah7d6c3h2c QdJs9h6h6c KhQc9h8d4s KhKc8s3d2c 
Td8h8c7h3c AcKc9c8d4c Kc5h4h3s2c KcQs8d5s4s 
AdQd9d7d4s Th9h7d5c3s AcTc9h5d2c AcKd8c4h3c 
As6s6h5s3d QhJc4h4c2h Ts9h9d6c4c QsQd6h3s2h 
Kh8d5s4d2h Jc7s6d5c4h Qs8h5h4s3d QsJd7c4d4c 
