AdKh8d8c3d 
Js8h7c6s3c KhQsJs7c3d 9s9c6h6d3c QsTc6d5s3s 
JhTs7h4d3c AhJh8d8c3h Jc7d5d4h3h Ad9c6s6c4s 
Js9h8d3s3h AhTsTc7c3c JsTd8s5s3h QcJsJh7d3c 
Ks9s6h5s4c 9s7d6s4s3d Td7s5s4s4d AcQsQdQc4s 
QcJdTh7c2s Js8s8h7s6d KsJdTh6d2c KhTc9s9d2s 
QsTh8s5c2d KcQsQh9d2d Ks8c5h3s3c KcTh8s5s4d 
9c8h7d6d4s 9h8s7h5s2h 9d8c5s3s3c Kc8c6s5h5d 
Qd9c7s7d5h KsJdTc6c3c KcJd6s5h2c Qc9s7c6c5c 
Ac9s9c5c3d JsTh8c5s2d JhJc5h3s3d AcTd9h6s3d 
AsKs8s3c2c QsJc9h8d4c 8d7c5c4s2s QhTsTd5h3h 
Qc8h5c4s3h Kh9h6d5h4c Ac8d8c7s3c KcJsJhJcTh 
QhTh6h5s3c Qd8d7h6s6d Ks9d7s7d2d JhTs9c4s4d 
Ac7d4d3c2h Jd9s8h4d3s AsJh8s4s3d Qc8c6h5c2h 
8d8c7d5h5d 8h6h6c5s5h As6s5c4d3s QcTs5d3d2c 
8c6d6c5h5c 8h7s6h6d5c 9c8c6d4h3h QcJs7h6h6d 
KcQdTh6c2c KsTd6h5c2s KdJdTd3h3c Qd8s6c5c3s 
Kh9h7c5h4s KhTc9d8c4c QhTs8s7s4c AsTd6s4h2c 
KsJdTh4c2h JcTs7s6h2h KhQh9s8d4c Ah8s7c6s3c 
AcKc8c4d3s Ah9h6c2s2c JcTsTd4h2s Qh9d7h6c4s 
AdKd9d5c2h Js9s5d4c2c KcTs5s5h3h 8h7s5h5c3c 
AsQh8h7c3d Kc9s8s7h5d AsTdTc7d3d QdTc8s3s2d 
KcTd8c5s2h JsTh7h5c3h Kd9d7h6d4s Th7d6d3s3h 
Kd8s6d4h2h Qh6d5c3h3c Ks9s8s8d3d 9c8c6d6c3d 
KdTh8d5c2s JsTc5c3c2s Jd9s9d5d4c QsQc8d4h4d 
Qd8s7d5s2c Ts9h7c6d3c KcJc7h7c6c JsJd9d5h2c 
Kc8s7s4h2c 8d6d5h4h2h 9h8s7c4h4c Kc6d5c4c2d 
KhQdQc4s2s 9s8d6h6d2s 8s7h5s4h2d 8s8c7h2h2c 
Ad9c6s5c3s QhJsJd3c2h Qh8h5d4s3d QcJc8s5h3d 
JhTc7h4s3d QdQc9c7s2h Kd9d6c5d4h KcJc5d4s4h 
AhJd8d6c4d Tc9c8h4h2d 8h7d6d4h3d Tc9s9d7d3h 
Ah9s9h6h4d AhKhQh8h3s QcJs8h5s5d Kh4s4h2s2d 
8d8c4h4d3h JdTc9c5c4c Th9h9d6s3h Tc8c7d4h3h 
JdTc9s7c2h KhTd9c5s2h AsKs8s4h3d AdKd5d3s2h 
AhQc9d6c3s KdJd5h5d4c AdTsTd4d2c Ks9s7h5s4c 
KdTs7h6d2c Ks7d6d4c2s AsQh8h7d3c AsJc9c5c4d 
KsTd7c2s2d AhJs9c6c2s ThTc8s8c3c QhTs9c7d3c 
KsQs9d6s3h KsQc8s8c2s Kh8c7d5s5h KhTd8s4s4d 
Qh9h9c8d5h Jd8d7s6s3d QhJs8d6d4d Jd8s6d5s3d 
QcJh9s9c2d Qd8d7h6d6c QhTsTc5c3c QhQc9d8d4d 
QsTd6c3d2s 8h8c6h4c2c JsTd7c5c3h As9s6d2d2c 
Jc8s8h4s3c KsJs9h7c3s JdJc8s5c3h KsTc7h7d5d 
QhTsTc5s3s AhTc5d4h3h 9c7h6c4c3h QsQc5d4h3d 
KsJd6c5h4h AdKd6h3s3d TsTh9d6c3d Th9d9c3d2c 
Tc8h6c5h2c 8h6h5d4d2d KdTh7d5d3s Jc7h7d6h3c 
Td6s5c4s4c KsJc8s6h4s Th9s7h7d2s KhTh6d5h3c 
KsQh9d8h5h 9h6h5c4h4c AsJs8c4s3h JsTs7d4h3c 
KsTh4d3h2s Td8h8c4d3h Ks9c5c4h2s Ad8h7c6h3c 
