8d8c6s4s2c 
QsJc7h7d5c Js7h6c4c3s Ts9d4s4d3c AsTd9d8d4d 
Ah7h5s5h3c Jd8d6c5s4d 8s7s7h6s3h KsTc8h5s3d 
Ks5h5d4s2d Jh8s7d5h2d QcJs7s5d2d Th9h9d8h5c 
As9c7d6d5d Jh9d8d2s2h AsQd9d8c3d Kd9c8s7s2c 
JsTs5d2d2c Th8d5d4s3h Tc8c5s4h3s QhJcTs3h2h 
QsTh6s5s4s JhTd9d5d5c KhTh7c5h3d AsKd7h4d2c 
JcTc5s4d3c Tc9d4d4c3s AdKc6s5s3s QsTh9h8h2d 
Qc9d5c4s2d Ts7s5c4s4c TdTc7d4h4d KdJc9s9h4d 
Ah7c6d4h3h Ts9s9h6s3c KdTd8c2s2c KsQs8d7d2s 
KhJc7d5d4d QhJd9c4s3h KcJh7h5s2s AhJc9s9d4s 
QdTs6h6c4s AdJh9s9c4s Ad5d4h3h2d QcJh4d3d2c 
Kh6h5d3d2d 9c8h6d6c3h Jd9d9c5h5d QsTs9d7s3h 
Ks8d8c7h6h Ks8h8c7d6c 9s8s7s5c4d KhJc8d5s3h 
KcJc7c5s3d Ac8h6c5c3s Kd7c6h4d3s JsJh6s4h2s 
JdTh5h4h4c QsJcTs6s2d QsTh8h3h2s Ts9h8c7c4d 
As6d5s5h3s TsTc6s5h2h KdTc7d4d2c KdJd8s5h5c 
JdTd5c4h3d KcQh8s6c3d QsJd9h3h2d QcTd9d8d2h 
9s7c6h5c2h 9h7s7d5h5c 7c6s6d5s4h QcJs7h7d5d 
Kh9c5h4h4c Ah9s8s5c2c QcJc9h9d4s 7s7h6s5d4s 
KhJh5d4c2s AcQdJc3c2c AdQd8d3c2c Ad7s6s4h3h 
AsQs8s3d2d QcTd5s4h3c KdTc9s9c3c AdTc9s6s6h 
KcJd7s5s4s KhQs7s3c2h Kh9d9c8c2d AcKdJh6h3h 
AhKsKhKc6d QdJs9h4c3d AsKh5h4h2c QdJd9c7s3h 
AcQdTd7d2h KdQdQc8h2d 9h9c6d5c3c Qs7h6d5d2s 
AhQd7d6s2s AhKh5c3s2h Jc9d6s6h5h KhJsTs5s5d 
Td7h5h4d3d KcJc7c5h3s JhTh8c3h2c AhKc6s5s3s 
KhTh8c5d3s 9d6h5d4d3h Ks9d6h4s2d 9h9d6c4s4d 
Jc8h5s4h2c Qs8h8c7c3s AdQh8h8c4h Ac8h7s7d6h 
Qc6s6c5d2s AdJc9h6c2h 8c7d6h3d3c JhJcTc3s2c 
Jc8h8c7s5c QsQdTd7h2d 6h6d5c4s4d Ad8d7h7d3s 
Kh8s7d5s3d KhTc4d3h2d Ac7s7h5d4d QcTs8c2s2c 
JsTs8h4c3d QcTh9d7c2s Kh7d5s5h4c 8s7d5h4s2h 
KcJd9s6h6d Qs8d8c7c3s JsTs9s8c3s JhTs3s3h2d 
AdQcTc4s2c Th9d7s7c5c Ah8s6h5h3c AsJh4s4d2c 
As8d6s5s3h Jh8c5h5c2s Qs7d7c5d3c Qd9s8c5s2c 
Kh8d7h4c3c AdKd9d5h5d QsQd8s3h3c 9s6h6d4d3s 
AcJh5h4s2s AcTh9h8h4h KhQcJc4c2d KsTs8c5d3h 
Ks8h8d7c6c KdJh9c3h3c KsTd9s7s2h QdTh8h2h2d 
KsTc9h5c4c Kc8c7s7c5d KhQs9d8d5c Qh8s7d6s2h 
Qs9d6s4d3d QcJd8c3h3d 8h7h7c2s2c AcKs6h5h3h 
JhJc9d4c3s Td7h6c5d4d Ks8h8d7c6h JsTs5c2d2c 
KhJs4h3c2c KdQcTc4s4h KsTs4h3s3h Jc8d6c5c3d 
QsJd7h7c5d Kd5s5c4d2c QsTc7h4h2s 9s9c4c3s3c 
QcJc9c4d2d QdTd6d5s5h KdJs5s5h4c AsKh7h5h2c 
Ac9d6h4c3s Td9s9h8c5s JsTh7h5h5c Kd9s7s7h6s 
KsTs9h9d3s Qs9d9c5c2d AdJs8s5h3c Ts9c8d7d4h 
Ks9c5s4s4c AhTh9d4s2h AsThTd5d3c Ah8h7s6h3d 
KsTs8d5h3c Ks9s5h4s3h QcJs4h3h2c AcTh8c3s3c 
AhJc6c5d2d Jc9s8h8c5c QhJh9h4d2d KdThTc9h3h 
QhTc9s9c2c AhJsTd4s2s 6h6d4h4d2h 9c7d7c5h4s 
Th7h7d4d3h Jh9s9c5c4d Qc7h7c5s5d KsQdJc8h3d 
Kd8h5s5d2h KcQcJs6c3c KdJs4d3c2c QcJd7d4c2s 
Kc7d5s5c4h QcTh6s3s2c AhQs7s5s4s As9h7d6d5d 
Jd9h9c6h2c Jh8h7s5s2s 9h9c8d6d4s KhQh6d3d2s 
Js7d6d6c3s Qd8s8h6d2s 7c6h6d4s4h Qc9d5d3d3c 
KcTs7c4h4d Jc9h7s7d5h AcQc8s8c2d Jd9h6d5h2d 
AdJh8s5c3h KhQc7c3h2d Qh9d9c6h4s AcJc6s5c4c 
JhTh9s9h5h Qh9h8d4d3s QhTs9s9c3s KdJd9c7s2h 
AhTd6d4c3c AhQcJs4s2s QcJs9d7c3h As7s7c6d3s 
AhQh7c4h3d AsKd9h5s2s KdTh9c4s2d Ac9s9c6c5c 
Js8h8d7d5c Ks7h6s6d5s 9d8s8c7c5c QhTsTh8h2d 
QdJhTs5s2s JcTc8c7d3s KsJs8s6c4d AdQd9d7d6d 
AcQd6h4c3c JhTc9h3s3d KcQh7s5d4s AsJs9s8c2s 
Jc9h6s6d5d Jh9c6s4c3h AhQdJd6s2c AcQs8h8c3c 
KdQdTs5h2d Ac8c6d5c4c As8d7h6s3s JsJd7s4s4h 
QcJd8h5s3c As9d6h4s3c 9d7d6d5s4c Ac9s6s3c2s 
9s8d8c7c5c Qs9h9c6s4d KsTh7c5s3s KcThTd4s4h 
JsJd3h2h2d AsJc9d7d3h JcTd9d5h2s AsQs6s4h4d 
9h8d6h6d3d KcTsTc4d3c KhQd8s6h3c AcQd9h6s3d 
AdQc6s5s5h Tc9s7s6s2c Kc9h8c5d4s QsQd6d6c2d 
Js9h6c4s3h Jh9c6s5d4h Kd8s7c4s2d AhQh7h4d4c 
AcTc9c7c2s QcJd6h5d3d Ac9c8c6d3s QdJs7h5s4s 
9s9c6s5h3s Ac7d6s4c3c AsQs5s3h3d QsJcTh5h2h 
AdKd6s4h2d 9s7h7d4s3h AsQdJd3d2h QsTs7h4h2c 
8d7c5s4d2s Jc9h6s4s3c 8h8d6h6c3h AcJc6d5c4c 
TsTh9h5h3d QcTc7s7d5c QcJh6s4s2h AsQcTc7c2d 
Ad7d7c6d3s JcTh4h4c2h Js8s7s6h5s KcJh7c3h3c 
Qh8d8c7d2h 9s9d7c2s2d JhJc9h5h4h Ah6h5d5c4h 
Qc8s6c4d3s Qh8c6h5h4d Th8c7d4d3h Qs9s9d5d2s 
Jd8c5c4s2d AdTc7c6c4c 9s7d6s4d3s QhTc7s7d4h 
QsJs9d9c4h 9h7s7c5h5d Jd7d5c4c3c QsThTc6d2s 
9c8d6h5c4c QhTc7h5s3d JsTh6d6c4h QhThTd8s3h 
9h9c7c5d4c Tc9c6s6h5d Qd6h5h3s3d Th9s7s7d2h 
Kc8h8c6h2c Jh9h7h5d4c 8c7d5h4d2c Th9d6h5s4h 
Kh5h4d4c2d Qc8c7s5s2d AhKd9c5c4s QsQd8c3c2d 
KhJc6h2s2c KsQd7d3h2s Jd6s5d4s4h Qd7d5c4c3c 
Ts9c7c6h3c KsJd7d5h3c QcTc7d3h3d Td8d6c4s2c 
JsTc5h4s3s Td8d6c4h2c Kh9d5d4h3h AdKd4s2h2d 
KdQh7h3s2d AdTc9s5s3h QsQd7h4s3c QcJc5h3h2h 
