AhKh8h5c3h 
KdQd7s5d3c 9c7s7h6s2c 8h6s5h3s3h 7h7c6c5h2h 
7s6h5d4h3h AcJcTh3c2c Td9h9d4s4c QhTs5h3s2h 
KcQsTs6s3s Ah7h6h6c5h JcTd9h5s2d AsKh9s6s2d 
Ks9d7c6s3s 9c8s6s4d3d 9h9c6c4h2s QsJd6d3s2h 
9d8d7s7d6c KcQc9s4s2s AhQh6s5c2h QdJc5h5d3s 
QsQcJh3d2d Th9d9c7c4c 7d6h5s4h3h AhJc6d4s2h 
Qc8s8d7h5c KdJhTs7h2c AdJdJc6s2d Ts6h5s4h4d 
JhTs6s3d2h Qs8c7c6s2c Ac8d4c3s2d Ah8h7s3s2s 
Qh9s8s4d3h Ts9c6s4c2d Ah8s7d5h2h KsQh4h4d2d 
Ac8d7s6d4h 9h7d7c5c2h AcJh7s7h4h QcTc8d6c3s 
JhTc9c7c3c Js8d7s4h3h AsKdQs6s2s KdTd6s3s2c 
As8d7h5s2s QdJsJc3h2c KsTd9c6c3c Js7h6h5c4d 
JcTsTc5d2c Tc7h7d6s5d Ac6s5h2d2c QcTs9s8s3h 
AdQh9c7h4h AcTh9s5c2c 8c7h7d6h2c KsTh9s4s3d 
KcQcTs4d4c KhTs9c5c4d Kd6c4d4c2s AcQc6h4s3c 
QdJd7c4d3c JsTc6h5c3d KdTh8s5h2s Kd6h6d5c3s 
AsQc5h5d4d QcTsTc7c3d KcTc7s7h3d 9s7h7d5c4h 
AhTs6d4d3s AdTh6s4s3h QhJd4h3h2d KcTc9c7h2s 
Js8d8c5c2d Ac9d6c5c3h QsJc9c7h4d KdTsTh5c3s 
Kh7d6c4h2c AhTh6c4s3h KhJd8h3c2d QhJc5h5d3s 
AsQd7h4c2s KcQcTs4c2h Jh9d7s6h2d AcKd8d6d3s 
QhJs7s3h3c Kc6d4d4c2h Ks6h6d5d5c Qs8d5h4d2s 
Ts9h8h7d4c TsTc7s6d2d JdTs8h7s3c Jh9s7c6h2s 
Ac9c8h8d2c Kc5d4s3d2c KsQs9s6h3c 8s6d5d2s2c 
Kc7s5s5c2h QsTh9h8h3d As7h6h5d4h QdQc9h4d2s 
AcQd8h7s3d Qs9h7s5d4c Kh9d6h6c5h As7s5c2s2c 
KsJs7h7d2h AsTh7h7c2c Ah8s8d5s4c Ac5h4h3c2c 
KsKcQd8h3h Ac8s4s2s2c 9c8c6h4d3h Jh8h8d6s2s 
JsTh8h6h3c AcKcTc8c2c Qs9c6s5s4d JsTd7h4h4c 
Js9s8h5d3c KcQd9s6d4d KcTc7d5c2d AdTs8h7s2c 
AdJdTd3d2c 9s8c7d5h4c Ts9d5s5d2c AhKs8c3s2c 
Ts8s7s6s4h QdQc7c4h3s AhTh7s5c2h KcJs9s5d4s 
Jh8c7s7d6d Kh7s7h5h5d QhJhTd5h2h 9d8c5d3s3c 
KhQd9s9c5d AhTd6c4d3c KcQh7c5s5c 8c7h7c6s4d 
AdTc9h3h2c AcQc6d4s3c AhKd9s9d3d KdJsTh8h2h 
KdJs9s5s4h JdTc3h3c2d AdJsJdJc9c Jd9s8h6s6c 
AcJd9c6c4c AhKd8h7h3h 9s8d5h3s3h Qc9c8d5d2c 
AdKsJh3c2h AcTc7s5d2c QcJh9d5d3d Ac8s8h2d2c 
AhJh9h4d4c AhJh8s3s2h KcJd6h5c2s AsJd8h3h3d 
JdTs8d8c2h AdKd7s3h3d 8c7d6s6c4h QsJs5h4c3s 
JcTh4h4c2c KdQc8h7c3h Th8c6c4h3h 8d7c5d3s3c 
Qd8h7h6d2h 8c7d5h2h2c KcJd8d4h3h Ac9c7d5c4c 
QsTd8h8c4d Ac5d4d3c2c Td8s7s5s4c Qs9h7h7c4c 
AdJcTd3d2d KdQdTc6d2s 8s7c5d4d2s AsKd8h3h2d 
KdJs9h5c4c QdQcTs7s2h 7h6s6h5h5c Kh6s6d4h2s 
Ts8h6c5h4h Ts9s8s8h6s Qd8h7c5h5c Kh8c7c6c5s 
Kh9d5s4s2h QhQc8d2s2c AsTs9s5s3h Jd8c7c6d2s 
Jd9d5s4c2s KcQs9c3d2d JhTd8s4c3h 9s8h8c5d4s 
AdJh7s3s3h Jh8d8c6c2h Js8h7h7d6c KcTd9s5d3h 
AdQc8d4d3h AdKh9d4d3s 7h5d5c4s4d AhJsJc7s2d 
QdJs7c6c4h JsJh9s7s3c KcQh5h4d3h Td9s9h7c3h 
AhQs7h7d3h Jh8c6c5c2h Ac8s4c3h2s QdJsJh8c2h 
Jh8c7c6h2s JhJd5s4h3c Qc8c7d7c6s Qs9h9c5s4d 
Js8c7c5c2s 7h7d6h4s4c AcQdQc7c2c KcQsTc4h4c 
Qh8s6h4c2c AcTh9d5s5h Kh7d5h4s2d KhQs4s4c2c 
KsQs7s5d3h KdJc7h5s3c 7c5h5c4h3s Qc9d7h7d4h 
Kc8d6h6c4s AsJh4d3h3d KsQdTh4c2d Qh8c7d5d5c 
QhJhJd8c3h KcJh8s4s4h KsJhJc6d2s Jh8s6h4s4h 
Qc7s5c4c3s AhTd9s5c3d KhQs6s6d2d QcTc9c8c4h 
AcKh8h3s2s KcJs6c4h4d JcTc5c4s4h 9h9d7h5s3h 
9d8s5h3h3d AsKc9c8c4c 9c8s7s5s2c 9d8h6d4c3h 
QdJh6h3c2d Ad9h6d4c3s JhTs8s5c2d KcTh9h5d3s 
Td9s6s3d2h As8d7c6h4c 9h8c7h5d4h QdJs9h4d3c 
9d8d6s6c3s 9h7s6s5h2s KdQc8c5c4s 8s8c7h6h2s 
Qd9s7d5c4h Tc9s9h6h4h KdQsJc8h4h 6d5s5h4s3h 
AhKd7h4s2h Jc7d5s4d3s KsTs6h4s2h AdKc5s5c2c 
KsQs7c5s3d AdKc9d4s4d Ad9d7s7c3d Ts6h6c5h5d 
QdTd8c3d3c JdJcTh3c2c 9d8d7d7c6h Qc7h5s3s3c 
KhJdTs7d2c JdTc7h6s3c AsTh9c5h5d QdJc6h5s3h 
AcJhJd8d2d JcTc4s3s2h Th6h6d5d3s Kh6d5d5c3c 
Jd8h8d6s2s AsJh8s2d2c JsTc8c6c3h Td6s6h5h3d 
KsKc8h2h2d JhJd9c8d2d KdJh5d4c3d 8s8h6c5d3h 
QcTs9c4c3h AsTd6c4c3d Ah9h8s8c2h QhTd8h6h3s 
AcJs4d2h2c 9s7c5h3h3c AcKs9c5h2c KsJs9s9d6s 
QdQc9d5d2h KdTh8h3h2d Th9d8c7s4c Kh8d7d6s4c 
Qd8s7s6d2s 9d7s6h6d5c AcKdQh8h2h KsJd7c5s3s 
AdKd5d4d2c 7d6h6c5d4s KcTh9s9d4s AcQs7d6h4h 
AdJc7s6h4h KcQdJh9h4h Jc8s7h6d4c QsTd5s3d2s 
QhTd9d5d4d KdTs9c8c2h AdQcTh7h2s Ac8h7h6h4s 
Kc7h7c5d5c TsTc9d4c3h QsJs9d9c5s Qs7h5h4s3s 
TsTh9c7s3s QcJc8c7h3h Kh8c5h4c2c 9d7s7d5h4d 
KdTd7d5s5h QcJc7d6h2d AdQd9s3h2c Jd8d8c5c2d 
Jd8d6h4h4d JsTc8s8d2h 9s8s5c2d2c Th9s8d3d2h 
KcQh4h4d2d Tc9s9h4h4d Qh8s8h7c3c 8d7h7d4s3s 
QdTs5d3h2h TdTc8c3d2s AdTc9c5s5h Ks9d8c6c3d 
9s8s6h6d2d QhJh5d4s3h QdJd5s4c3d Td9h6d4h2c 
AsJc8s4s2h Kd7s5s5c2d Ah8s8d3h3c Kd9d6s5d2s 
Kc7h6s4c2s 8c7d6c4h2d 8h6c5c2h2d JsJd9c7c3h 
KsJd8s3h3d JhJd9s7c4s AcKc6s2h2d KsQhTc5d5c 
Ah9h7s7h6h AhJc9d7s3d QhJh8h4s3s Qs9d8d4s4h 
Jd9d5c4s2c As6c4d3s3h KsQh9d6d4c Jd8s5d4c2c 
KcJs9h5d4d Jc9h7d6d2c AhKs9h4h4c 8h5s5c2s2h 
JhThTc5s2h 9h7c6h6d5h AhQd5s5c4c Kh6h6c5d3s 
JdTc6s5c3h JsJc9h7c3c KhJc9c5s4c AhQd7s6d3c 
AsJsJc6d2s Kd9h9d5h2d AsJsTs3s2d KhQs9c8d4h 
AcJdJc6c2h KcTc6h3h2s QdTd8s3s3d JdTs9s8s4s 
9s8c7h5d4h QdJc7d5s5h QsJd7h6h2s QcJcTc6s2d 
Qs8h7d4s4d Ks8s8h7s3h Qd9h7c5d2h As8s7c3c2c 
AdKc7h6s3h Ks8c7s4c2h KsJd9d5d4h Ah9c8s7d4d 
KcQh8d3c2h KdQc8d2s2c Qs9h7s5c4d 7d6d5s4s2d 
AcQc8h8c4c As8s6s5c3h Qd9s7c4s3d Qh9c7h5d4s 
Qd6c5d5c2h Qc8c6s6d2d KhJs9s5c4s 7s7d5s4h3c 
Ts8d6d5d4c Ts6h6c5d5c KsJh9c5d4d KsTc4c2s2d 
Jd8d5h4s2h Ac8h7h6h4d QcJc8h7c4s QdTsTh5c3c 
QsJh4c2s2c Tc9h8d6h4h As8s8d5c2s 8c6c5s3s3c 
