Tc9c8s8h5d 
As8c7h5c2h QsTd7s5s2d KdJcTc4s4c Kd8c5c4d3d 
QhJh8h7s4c 9h8c5d5c3d Kd7d6s5d2s KcJc6s6c4d 
KcQc9c7c5s Ah9h8c6h2d AsJc5h3s2d KhTd7c5d3s 
JcTh8d6h2s Qd8d5c4h2h Jh9d5h3h3d AdKdQd6s2d 
Qs9c8d4s4c KsTd8c5s2h KhJc8h6d3s Ts9c7h6c3c 
QsJs9h5d5c JhTc8d5d3s AhJs9d8d3d JdTh3d2h2c 
AsThTd6c4c JcTh8d6s2c Jc7c6s4s3s AsThTc8h2h 
Jh6c5c4s3s Qs8d6h4h4d Qh8h6s4s2c Kd9h5h3d2c 
QsJd8d3s2c Td8h8d5d4s JsJd8h7c3s Jh8d5s5h3s 
KsTs9d6c2s KhJc8c3h3c KhQc5d5c3s QcJhJc9c4c 
KdJc8h5s2d QsTd8c7h2s Jh8c6h5h4s 8s6h6d5s4c 
QcJh7c6h2h QdJhJd9d4d 7h7c6h5h4h KhJd7s5d5c 
Qs8c7c6c5h KsTs6c4s4h Jd9d7d6h6c Th8d7d5c4d 
KhQcTc8d2c AsKd4c3d2h Kd9c8s7c2s Qs9s6d4d3s 
AcJh8c4d2c Kc7c6s5c3d KdTs9c5c3h Qh9c8h6s3d 
KcTd5d4h2h Ah8s6d5c4c Ac7c6h6c3s JcTd6c4s4h 
Kh8d7d5h2h KsJcTd2h2d Td7s7c6c5h Th7h7d6c4s 
JdTs9s4s3s Th9s6d5s3c 9d8d7d6h4s AdTd7d5s2h 
6s6h4c2h2c JdTs8d4d4c 8h7d6c5s3c KcJsTs7s3s 
Ad8h7h5c2c QdJc7s7c5c Kd7h6s6h3s AdTd6d4c3s 
JcTh6s5c3c KcQs8c3s3d Qc9h7c5d3s Ad7h6d4s2c 
QsJd7h5c3d Qd6h5s4s2d QdJs9h6d3d KdTs7h5s3c 
Jh7c5s4s4c AdKc6h6c3c QsTd9s3h3c 9d8s6s4d2h 
AcJd9s5s5h Ks7s6d5s3c 9d9c7s2s2c QdQc5h4h2s 
Qs8d6h4d2s Td9d7s7d5c QsThTc4h3d 9c8s5s5c2d 
KsJc7h4s4d AdKs8c3d2h QdJd8s5d5c Ts6s6h5h3h 
Tc7h7c5d5c QdJh6c2h2d TsTc9d4h3c AhTh9h6s3h 
AsTh9s5s3s Jh6h6c5h5d Qd9d9c3d3c QsJs7s5s4h 
Kh7d6c4c3d 8h8d6s6d2c Kh9h5s4d2d QhJh8h7d4s 
JhJc9h6d3h Ks6s4c3d3c Jd9s7h5c3d 9c8s7s5h4s 
Qh9h9d3h3d 9d8d7s6c4d AcKc5s5h2c ThTd7d5d2h 
AhQc8d4s4c QhJsJh3h2c Qh5d5c4c3h AdJsTs6c2h 
AcQdTs5h2h AhKs4s4d2c Ts9s8d4d2d Jd8c6d5d4s 
