9c8c7d5c2d 
Ts8c6h3s3h QcJcTd6s2c Qh7c6h5c2d KdJs9h5s3s 
Ac9c8s6h2c AsQd8h8c4c Js7h6d5c4c QhTh5h5c4s 
Ah8s7d6c4c KcTd8c4h3s As9h8d6h6c KcQhJc6d2c 
Jh9d6h6d2c KsKc6s3s2s KhJd6d5s5d AhQs8s6c3d 
AcJh7s7d4d Qd8s6c4c2d 9h7c5h3h3c KhQh4d4c3s 
Qh9d6h5s5c Ts7c6s5s4d As8d7h6c4c Jh9d5d2h2c 
QhQc4h2s2h AcQh8d4c3c JhTd6s5c3c Th6s6c5c3s 
Ad8d6s5d2h AhKc9h6s2h QsJcTd6s2s AdQd5d5c2s 
Kc9c8c6c5d QdTs5c4s4h JhTd6h5h3s Qc9h5h5d2c 
Ac8s8d6h5h 7s5h5c4s3c Ac9s7c5c3c Ah9d4h4d2d 
9c7c6d5s5h KsQc9h5s2d QsJc7s6c2s 8s7h6s5c3d 
KhJs7h2s2d KhJdTd7d2s KcTc9d4c3h As9h8h6c2c 
KsQdTh4c3c Kh8d5s3s3h Ts9h8d3s2h QdTh9d2s2c 
JcTs8s4h2d 9c7h7d5h4s AdKd8d4h2c Ts8s7h7d5c 
AdQs4s3h2h Tc9s8c4s2s KhJhTh5h5c Td8h8d7c4d 
9s8s6s6c5h Qh7d6c5h2c AdKs8h4c2s Kd7h4s4h3d 
QsQh4h2h2c Kd9d8c4s3s KcJd7s6c3c Qh7s7d6c5h 
Ah7d6c4d3c QhJh6d5s2c JsTh6c5d3d 9h9d8d6c4d 
AsKs6s3h3c AdTc9c8c2c AsQh7h5d3h AcQh7c5c2s 
Jd8s7s7c5h AsKd8h3c2s 8h8c4d4c2h Th9c8s7c4c 
KdQhTc5c2s KsJs9s9h3d As8h4c3s2h QhTc8h8d2s 
9s8d6c4s3d AcThTd6s3d QcJd6s6d4d Qc8c6c5s2s 
KdTd6h5s2c Td9s6d4h2s 9h8c7c4h3s Kc9c7c5s3d 
Qc8h6h4c2s KhQc9d5c4c AcKd8s4c2c Qh9s7c4h3c 
Kc8s7d6d3s KhJs9d7d3c 9h7s6d6c5s QdJh5h4c3h 
Js8d8c6s2d AsTh9h3c2c AhKh4h3c2d Kc7s7c6h2h 
Kh7d7c6d3c AdQc8s8h4s Jh7s7c6d5h QsQd6c3h3c 
KdQcTc3s2h KdTs7h6s3s AcQh9h6s3d AhQh9h4s3c 
QsQc4c2d2c JhJc7c4h2h AsKs8s4h2c As9d8s5s2h 
Tc8s8c5c2s JsJh9d8c3d JsTd8d7d2c Qs6s6c4c3c 
9d9c5s4h4d AcKhTs3h2h AsKh6h6d2c JsJc8s5s3h 
Ks9s7s6c2c AsKh9s6c2s AhQsTd3d2c JhTd4s4d2s 
TdTc8c3h2d KcQdJc6h2c Kc8d7h5c3s KhQhJh8d2c 
9h8c7c6c4d Js8h5d3s3d KhTc6s6d3h Js9h6c5d3s 
KdTh8c4h2c KcTd8h5d4d Js9s9d3h2d Jh6h5s5d3s 
