QdJd7d5c4d 
AsKh9c6d4d AdKh8s7c3c Kh9s8c7s5s Kd9d8c4c3c 
KhJh8d4h2d Qc5h5c4d3d KsQsTd7c2s Ah8s6s5d4c 
6d5d5c4s2c AcJh8s3d2c AdQd7c5d2s AdTs7h5c3s 
AhQh9s6d2h Kh5s4s3h2s KcTh8s4d4c Td9d5c4s2c 
Th9d7s5s5c Ks9h8c2s2h 6c4d4c2h2d AdQc9c8c4c 
JhJc5h3c2h JsTs8s7s4s AdQs9d4h4d Ts9s8h6s2d 
QsTsTd6c2s AdJc7s6s2c KsQdJc6h2d QhTc9c7c3d 
KsJd8h7s2c Kh8c6s4s4c AdQsTs3c2s Kh9h6s4c2c 
Kd8d7h4h3h 7d7c6s5d3d 7c6s4c3s3d Js9s8s8h6s 
QcTh6h5s3h 7h5d4c3h3d Jc9h7d7c2d As9s4c3c2h 
8c7s6d3s3d Kc8h6d5c3s QcTd7s7c4c 9c8h5c4s3s 
KhQhTs7c2h AhQs7s7d2d JdTd8h5d2s QcTsTc6c3c 
8d7h6s6h5h AcTd5s5c3c 8d6s6c5h4c KhQd8c6c4s 
KcQc8h7c2h AdQc6h5c3c Kd8c6d5s2h JhTc8s7c2c 
AhQh9s4h4d QhJs7d3h3d AdTs6s6c4h QdQc9d8d4d 
JhTd8c4s2h JsJc5h5d3h Tc9s8s6d3s Jh7s7d4d3h 
Kd8h7s6h3s 9c7s7c5d3h Ah9d6d6c3c 9d8d6s5h2c 
JsTc8s7d2s ThTd9d7s2c TsTc8s3h2h Jd9s9d5h3d 
Ah9d7c2s2h KdJhTc4c2c Ts9c7c3d2s Th9c8s5s4d 
Kc9s8s4c3s Kc9c8d7c5c Jh9s7d5s3s KsJh7s7c3d 
AdQh6h5h4h 8s8h4s4h2h As9h9c4d3s QcTs3h2s2c 
KdTs7c5h3s Jh8h6h5s2s AdJd8d7d3s Ad9d4h3h2c 
8s7h6h6d5h 9c8s6s4c3c QsTd9c6h2c Qs8c6s6d4h 
KcQsJc6c2d KsJs9d8h4s Ks5s5h3d2h QsJsTd7s2c 
9h8h8d4d2s KhQd9s9c5s Td8d7s7d2s Qc9h8s7s2h 
Ah8d6h5h2s AcKd9h6s4s Jc7h7d6c5s 9h8c6c2h2d 
KhTd8d8c5d 9c8c5s4s3s JhTc8h6h3s AhQc4s3c2s 
Qh5s5d4h4c Ts9h7h5d5c KsQs7s6d4s Td9d6s2s2c 
6d5s4h4d3h Kd8d7h4s2h Qh7h6d5s2d 9s8s8d4d2h 
Jc9h7h5d3s KsKhKdTs3h AcTs7d5d3h Kc7h6d5c3c 
QsTd7h5c3d Ts5h5c4d4c Qd8h8c7d2c Jh6s5d4d2h 
KdTs8s5s4h 9c8d7d2s2c Jd9d8s5h4d Jd9h7s6s2h 
Qd8s5d5c3c AhTd7s3c2h Th9s9d8h2c Ks9s5d5c2d 
9c8h6s4s3c QdTd9d8d2h QcTs7s5d2d Ks7h7c5c3h 
AcJs5s5d2d 9s8d6s4c2c KsJc8d3c2s As8c7h5d5c 
AdKd6h4d3d JsTd5s4s3s QhJd4h3d2h 9h8c6h4s2s 
Ac5d4c2d2c KsTd5s4h2c Kh8h7d6s3c AcQh9s3s2h 
AdKs8c7h3h KcTh7s5h5d KdJdTd5d3d AdJsJc6s3h 
QhTh6s3s2s AdQh4c3h2c Kh8s5h3s3c Ad9d5h5d4c 
Kd9h6s4s4h Kc8c6h4h2h 9s8h8d4d3h 6d5c4h4d2c 
AhTc9s4c3d KcQdTd4d3d Qd9d7d7c5h Ah8d6h3d2d 
QdTs6h5d2c Jd8c7s7c2d AsTd7c3s2h KsJh8d8c5c 
Jd7s7d5s2c 8s8h7h5c3d Ac9c8c5c4h Qd7s7d5d3s 
Ts8s6s6h4c KcQc6s4h2d 6d4d4c3h3c KcJh8d5d4s 
7d6h5s5h2d JsTs7d4c3s Qh7h7c6d4s KsTs9d7h2s 
KsJs9s8d2h AhJs8c5d2s 8d7h6c5s3d Kd5s4c2s2d 
8h7d7c6h2d Kh9h6c4s2c KsQdTh6d2d Jc9s4d3s3c 
Th9s6h5h3d Ad9c7s4h2d AsQcTc3h2c QdTc5s5h4c 
KhJd6c3d3c QdTc7s7h5c AsJs6d4c3s 9h8c6c4h3h 
