AhJsTs9s7h 
AcJsJh9c8s KhKc8s5h5c AsJsThTc7h AsKc7h5s4c 
KhKdTd8c4h KhKdJd2h2c AsJhJcTh4s AcJdJc9s8s 
AdJhTh7s5d AhJcTd8d6h AcQhQc4h3s AsJsJcTd4d 
AhQsQh7d6d KsKdTc7s3d AcKhKdQc2s AdJcTc7d4h 
AhJhJcTc2d KcJsTc9d7s AcQsJd9c5s AcJhTc9h8c 
AdJh9h8d7s KcJsJdTc9d AhQsJhTs5h AhAcKs4d2s 
KsKdQcTd4c KsKcQsTc2h AsAd9d2d2c KhQsTh9d8s 
AdKdQhTh6h KsQcJdTsTd AcKdTs7s5c AhQsJh9s9d 
AhJsJc9s7h AhQdJs9h5d AcQsJs8d8c AhKdQcJdTs 
AdAcQc7c3s AcJsJdTs3c AcQhQc2h2d AdKsTs9c2d 
KsKdQd7s6s AsKdKc2s2h AsKhKd6s6c AhQsTs9c5h 
AsQhTh9s5c JsJdTdTc8c AhQdTs8d5h AhQdJd9h9d 
AdJdTs9s8d KsQhTs9h9c AcJsTc8d6s AcQhThTc6d 
AdAcQs5c2c KdKcJd5c3h AsQcTc9h3s AhAc9s6d5d 
AhQcJh6c5d AsQsTd8h8d AdJsJdTs2h KhKcQh4s4c 
KsKcQs3h3c AsKh7h5s4d AsKhTd7s5d KsKcTc5d3s 
AdJhTc5h4d AcQsJsJc8c AhKhKc9s3s AsQcTsTc5d 
AhKd8d6s5h KsKcQdJhTc AdAcKd4s2d AdKcTc8c5d 
AdQhJc9c7d AhKc6c5h4s QcJsTc9h8h AsKsTh9c5h 
AcKcQdTs9h KcQhQdJc9h AcJdTsTc4d KcJsTh9s9c 
AdAcJd8s2d KsQsQcTc9s AsKsKcTh2d AsAc8c6h3c 
AhAcJh5d2h AdJcTc8d7d AdQhJhTd3d AsAd9s7s2c 
AcQdQcTs3s AhAc5s5d3d AhJdTd9h7d KdKcQhTd4h 
