KhQc9h7h4d 
QcJdJc6c2h Ks4s4h3d3c QsTh6c4s3s Ts9d7d5d3h 
As7c3s3c2d Js8d7c6h4d 9h9d7h4s4c AhQh8s8d3h 
9h6h5c4d2d KdQhJs6s2c AcTd9h4s4d Jc7d7c4d3d 
Ks9h6s5s3d KhQh6s6h2s TsTc6c5c3d KsKh8d4c2c 
QhJc9s9d4c KsQdTc8c3c Ah8c7c5s5c Js9h6s5c3d 
AsQc8d6c3h AsTs6h2s2h QhQd9c4c3s Kh8d6s2s2h 
As8s8d6h3s KhQs9c4d3h Tc9c8d6h3c JdTh9c4d2d 
AhJs6h5d2h JdTh7c6s3c AdJh8c7c3s Kc9s7s4d2c 
Ad9d8d6d4h Kc9d8s5c3h KdTh9c6h2s Qh9h7c4s4c 
Ts8h5h5c3s Qc9c8s6d4c QcTd8c4h4c QsJh9s7c4s 
Tc8d7h4c2h Th8h8c4h2c 6s6h4s2h2d 9c8s6h5h3d 
Js9d8h7h4c AcTd7h4c2c AsJh7h7c2c QsTs8d6h2s 
Kh7h5s5d2d Qs8d7c6h4d As9s7s6d4s AsTd7h4s2s 
Ac8c4s3h2h KcJd7h5s2c Kc9d8h5s3c AsJs7c3s3h 
QhJs9s4d3c Kh9s8c5h2d 9c7h7c6d2d Ah9h8h3c2c 
8c7s6c5h3c Jc8h8d4c3h Jh8h5s4s3h AcTh7s4h2s 
Th9h8s8c4d KhQd9h8h5h 8s7d6c4s2c Th6c5s4c3s 
Kd8h7h6s3s KhTd7s7c4c 8h7s5h4h2s JhTs7s6s3c 
Js9c7h6s2h Qd8c6c4c2d QsTs8c6h2s KsQs4s4h2h 
Ks8d6c5h2s Jh8h6c4s3c 7h6s4c3h3c AhJh9h6c4h 
9h9c6h4s4h Jc9h7s6d4d AhKhTh6h3h 8c7h6c5s3c 
Td6s6h4h3s Jh9c7d5c4c KcTd6c4s3c 8s7c6s4s4d 
Td9d7h5d2h KdQsJc8h2c Js9s6c3d3c Ts9s7s5c3h 
Ks8s8d5s5c JcTd7h4h3s Ks8s5d4s3d TsTd9s5s4s 
Jd9h9c4c2h KcTdTc6c3c KsQh9d6c3d KcJsJh3d2h 
AcJs6h5h4d QhJcTs6c2c AcJd7h5s3h QdJs8c7h4c 
Js9d6h4h3d QhTs9h7h4h KdQd8h5c3s Kd7s5c2s2d 
Jc9c7h6c4d 9s8d6h4d3h Qc9d7d3s3c Qd9h7s5d2s 
QdTd8s7d4d Qd8c6d4c2c KsKhKdQs3d KdTdTc6d3d 
Jh9h7c5h5d QhThTd6h2s Ad9h3d3c2c Qh9d6d5s3c 
KsQcJd4h2h KhQcJs8s2d KcTd7c3s2s 9c8s8d5s4s 
AsAdAc4h2h QhJh7d4s2d AhTh4s3s2h AdJh6d2h2d 
Kc9s6s6d3d Th8h7h7d5s 9h9d8c6s3d Kh8s6s5d4c 
Td6h5d4d3h Kd9c8h6d4d QsJs7s6d4s KdQd6h4d3c 
Ad9h5s5h4s 9h8h8c3c2d KcTs8s3c2c KhQc7s6c3c 
Js9h7s5c3s AsJdTc6h2d Ks9c8d5c3d Kh7h7d6h4s 
Kh9s6h6d3c JsTs6h4d3s Ts9c6c5d3h Tc9d6s5s3h 
9d6d6c5h4s Ts9c8h7d2s Kh9s6h5h3d Jc8h7s6c2h 
QhTs4c3c2h Qh9d6s6h4c JhTs7c4c3d Ac9d9c3h3c 
Kd6d5s4h4c KsQsJd9s2s KsTh4h2s2h KdJsJc6c3c 
Js9c7d3d3c Qs7s7c6s3c Ts7d5c3s3d 9c8s6s5h3d 
KhJc9d5d3s QhJsTc6d2d Td8c5h5d2h KsQd7s6h3s 
AhQc9d5d4d JsTs6s5h5c 8c7d6c5c3h Jd9s6d4s3s 
QdJs8s5h5c Tc6s6d4s3d AhTd9d6d3c KdTh9h7c2s 
KhTh3d3c2c Jh8s5h3s3c QcJc5d4s2h AcTh9s4h4d 
As8h8d7c4h KdJh4d2h2d Ad6h6c5c2h JhTc7s6d3d 
9s8h7d5h5c AcJc4h3s2d 9h8d7s5d5c 7s7d5d4c3d 
QhTs8c3s3c Tc9s9c2h2c QsTc8d5h5d Kd5s4s2d2c 
KdJs8c4c3s KdQd6h4d3s AcQd5h3s3d Qh9h8h7h5s 
Jh9d9c5d4d AhJs6h4h3c AhTc7d5s3d AdJh8h5s3h 
KsJc8c6h6c Ts9c5h4s2c 9d8s8h5s4s Qc9h8d7d5d 
Js6d5d3s3c AsQh9h7d3h Qs9d6h6c5h JcTh6h5s3h 
Ks9c6s6d3h Ad9c8d6s2d 9h8s5h4c3s 7d6d5s5h4c 
KdQs8c4c3s 9h8d8c5c4c Ks8c7d6s3h 9s8d7h5d3c 
Tc8s8c3s3c 8h8d5d5c2s Qs8h7d6d4c QhJd9s6c3c 
As8c6s5h2s 8h7s5s5h2d AdQdJd8d3d Js8s8h7s5s 
AsJh6d6c5c Qh8c5h4c2c Ks8h7d6d4c Th9s9h6c2d 
