Jc9s8c5d3c 
AhJs9s8s3s KhTsTc6c3c KsQh7h6h3c AdTs9c5h3c 
Kh8d6c5s4d 6h6d5h3s3c Ah8c7c6d6c AdTc3d2d2c 
KcJd8h2h2c Th9s8c5s4s Tc8c7d3s3d JsTh9c5c2c 
AcQh7s6h3h QdJs4d4c3h 9d8c6h4d2h Js9d7s6s2d 
AcQd8d6h2s Qd7h7c3h3d Qc8h8c6c5c Js9h8s5c3s 
As9h6h4s2s AdQcTc3c2h 9d7c6d5d4d 8s6s5c3c2h 
ThTc8s7c3d AsTh9c7d2c JsJc9h6d2s 5s5h4h2s2h 
JsTc6c4d4c Td9d4c3d3c KcTh7s6d3s 9c8d8c5c4s 
Js8h5s5d4c QsJc5h2h2c Qd8c6h6c5s 9c8c7c5h3d 
QdJd7s7h4c Th7d7c5d4d JdTsTc7h2s AcTd5d4s2s 
TsTh7c6h3h KdQs9d4h3c Tc9h7c6c3c Ks8h6c5d4d 
5d5c4h2d2c KdQs8s5h4s JcTh8s8d3c QcThTd5d2s 
QcTsTh5d2c Qs8s6h5d5c 9s7s6s5s4h QhJs6h6c3d 
Jc9d6c5s3c Kc8s6d5d2s Ad9s7s7c2c Kc9h7c4s2h 
Jh7d6d5h2s 9h9d7h4s2d Ad7h5s3s3h Qc8s7h7c3h 
JhTc5s5d3d Qs7d6s5d2d AcJsTs7s2s AdJc8d5d2d 
Ad6c4h4d2s 8c7c6s3s3c 9s9c6c4d2d QcJc9c4d3s 
Qc5d4s3s3c AhTh5s3h3c 9h6s6d4h3s Kd9s6h5d3d 
AdKc6h5h2s Qd9d8h7s4c KsJs8s8h4d Qd9s5d3c2s 
Qs9h6s4d2h Jc7s7h3h3c Td9s8c7s2h JdTh8h7h3h 
Kd7h7c5s5h Ac7d6d5d4h QhTc3s3h2s 9c8s5c3s3c 
Qc9d6d5s4h AhKc9h3s3h AhKd3s2d2c KdQc9d7s4d 
Ac7c6c5c3h QhJc7d7c4s 7s5s4d4c3c KdJhTs6s2c 
