AcQs7s6d3s 
QsJsJd4s2s KcQs8h8d5h JcTc9h2d2c Th9c5d5c2h 
AcKd8s3h3d Qs9s5c3d2c QhTc8d3c2d KhTh8c7h2d 
KcQs8c6d2h KhJc7c5s3c Ts9d6s6h3c Ks9h8c6h6d 
Ah9s8d7d4d QhTs9s5s5d 7s6d5s2d2c Ad9d8d6h4d 
Qd9h9d8s3c Ac9s7s5s4d Tc9s7c4h2h Td9s6h5d3d 
Kc8s6s2h2c Tc7s7h6d5d Ac8h8d4h3d KcTh5s3d3c 
Jc8h7h4c3c KdTh9d5s5d 7s6s6h5h2s Kc9s6s6h5d 
QcJd8d6d4d AsQh9h9d3h Th6h5c4d2c Ad9h7h5h4c 
Jd8h5h3h3d AdQd5c3d2s Ac7h6h5d2d Kh9d8h7h4s 
QdThTd4d2s Ad9c8s6c4h JsTs7c3d2d AsJd7h4h4c 
AcQh9s6h3h Ah9d7s5s2d KcTc5s5h4c 8c6d4d4c3s 
AsQh9h3d2d AhQh8d3s3h Qc8c7h4d3d AhQc9s7s4s 
Ac9d7c5c2h Jc9s6d5d4h KhTc8h7d3h QsQd7d5d3d 
AcJh7s6h3d QsJd9h8c3c Jc8s5d4h4c QsQh7s3s2h 
QcTh7s4h2s Tc9s8d5c3h Jd9s8c5d2h Qh9c7h6h4d 
Js8c7h6c4c 7h6h5s4h4c KsQsJc8s2h KhJh7d4d2h 
QsTs4d2h2d JcTs4h3h2s Ad6h5h4c3c Js7d6h3s3h 
Kh9h7d4d2s Kc9h6s6d4c KhQd9c8c5c AcJd9h9d2d 
Kc9s8h4s2c KhQsTs3s3d KcQc7d6s2h 9s9d5h4s2h 
AcJd6h4h2d AdJsJc6s3s QhTs8h4d4c Th8d7c4d2c 
Ad9s7c3s3c KhTh7c4h4d KhTs9h4h4d 9c8d6s5h3d 
Ac9c5s4d2h JhTc9c2d2c QsJd9c7c3h 8c6h6d4c2h 
8d6h6c4d2h Jc9s8c3h2s KsQsJd8s2c Td8c7d7c2d 
