Kh7d5c3h2d 
Ac8d6h5s5h Kh7d5c3h2c Kc8s5s3d2c Ad9d6s6h4d 
Ah8c5h5d3h 9c7s7d6d4d QhJc8d7d4d QdJs9c6d2h 
Qd8s8h7s5c Qs9s9d3d2c Qd7c6d3h3c QdJd7d6d4c 
KsTs9s8h4s Kd8d7d4h3h KdQd9c8h2d 9s8c7h6d3h 
Ks9h7c3s2h 9s7s6h2h2c Ts8h6h5h5c KcQdJd8d4d 
QhJd8c7s4s Kd8d5s4d2s QsJh8s8c4s Kh8s6s5s4c 
Ks9c4s4h3c Qd8c7s6h4h AcJs7s5h2d Qd9h4h4d3c 
Th9s6s5s5c AhJh8c5h2h KhJh8d2s2d 9h9d7c3s3h 
Kc9s5h4s4h Ks8d6d5c4d Th9c8h5d3s Qs7h6s3h3d 
7s5s5d3s3c Jd9d5s3h2s Qh9c8s7d4h 8h7s6d2h2d 
QsJh5c4h2d JhJdTs7c2c Ah6d4h2h2d KcJd9c5h2c 
8h7c4h4c3d KdQh9c7h3s 9c6d5d4c2c Qc9d6h4d3h 
QdTd6s4c2h KhQs5h3h3d Ad9s8s5h4c QhTh9s4h2d 
Kh8s8h5h4c KcQh8d5s5h KsJh9s9d3s JdTc5s3h3c 
JsTd6c4d3d Ac7h7d6s4d KdJsJh8d2d TsTd5h3d3c 
Kh9d8h4c2c JdTs5c4d2d Qd9d8c6h2s AcKs9s9d2s 
JhTs7d3d2h Th9h6h5s5c Kc6h5d5c2s AdKd4d2h2c 
7h6s5h3d2s QdJd7d5s5h Kc9d4s4c3d QdTs4d3d2s 
Kc8c6c5c4h Ah9h5h4s4d AsJs9c6h2s 9h9d8s5d3c 
AsKh7h6h2d Tc9c8s7c4c 8s6s6c4s2c AdQs5d3c2d 
KcJc7s6h3c AdQh8s8h3c KcQhTd6d2d 8d4s4h3h3d 
9s5d5c2s2c AhJs8c7c2d As9h9d6h2d Kh9s9c8d5c 
Tc9d8s5h3d Ad9s7c5h4c Js9c8d3s2c KhKd7d3c2d 
Jd9d7d5h3d JsTs9d6h2s Td7s6c5h5d 9d9c5s3d2c 
Qd8c7s7h6c AdTc6h5c4c AsKh7h3h3c Ts9s8c7d2s 
8h7d6s2s2h KsQd8d5c3h KsJs9d6c2s QhTh9d3c2s 
Th7c5h3d3c KsQd6c3s3h KcQd8d5s3h AsTs6s4c2h 
QdTd8h8d4d Kd8s7s7h5c Qc9d6h6d5d KsTd7d5h3d 
KhJd6h3h2d Th9h6s5h3d 7s6d6c4d2c KhJh7c6s3h 
8d8c7h5c3c Ks6d6c4c3d 8h8d7c5s3h AcKsKhKc4c 
QhTs8h4d2c KdQcTs4s2h QdJh6c3d2c Td9d8h8c2s 
QsJs8h6c2d KsKhKdTs2h Qh9s9h7d4c QdJc8d3c2c 
Ts8h6d6c4d KhQd9s8d3c Ah6s6h4d3h Ts8s6h6d5s 
KhJc6h3h2c Jc5h5c4h3s AhKc7c3s3c Jh9c7c3h3c 
Js9s9h6c4s Js7h6d5c3s KsQsQhQc9h Td7h6d5c2h 
Ah8c5s5h3h AcJd4h4d2h Jc9s9h3h2s As8c6d5h5d 
Th6c5h4d2c QdJd6s4h3d 9h8s6c5d2h KsJs8h2h2c 
As8d8c6c4h 9s9h7h4s2c Ad8s7s5c3h QhJd5c4d2s 
Qs9c7c5s2s Ks7c6d5h5d Jh9c5s5c2s Td7h5d3h3c 
AcQd9h5s3s AcJs8h5h3h Ac9h8d5d4s AdJc8c6c4c 
AdQs4s4h3c JcTs5c4h2c Kc6c5d4s4c JhTc8h6h2s 
KdQd8d5d4s 7s5s5d4d2c As7s4s4h2h Kd9h8d3c2h 
AhKdTs4s2s JsTs6h3c2h Td8c7d4c2d As9h7d5h4h 
Ah8s7s5c3d QhJd8s8h4h Ac6s4c2s2c Jc9c8s3s3c 
TsTd9h5h3h Ks9c8s4d2d Kh8h6c5h4h Kd6h4s2h2d 
Qs7c6h5d3s Qc7c6c5h3d Kh5h4s2s2c Ks6s6h5s3c 
Ad9h7s4d2c Qd6d5h5c2c AsQc6d5d3h 6d5s4h3h2s 
Qh9s8s3h2c AhJh9h6s2c 9d8s7c6s3h QsTh7c6h3h 
KcQh9s8h2d Js8s7h7c4d QhQcJh7d2h QsQc6d5h2d 
KsQh8d5h5c Th7d6d6c4s AdJd7s6d3d KhTd3c2h2c 
Qh8d5h5d3h Jh9c6c3h3c QcJh8d7s4s Qs9h8d5h4h 
8s7c6c4h4d 9c8s6d4s2d Ks9h8h8d5c KhQdJc8d3d 
QdTs7d3s2c Td9h8d6c2d Td9d8c7d4d Th9s9c8d4s 
Kd9h8d3h2s AcKh8h7h2h Jc9c8h3h3c AhQc7d6h2h 
JcTc8s4d3c Qd9c6c3h2d Ah6s5s5d2d KhQs9s6d3s 
Ad7d6h3d2h KsJs8d5c3s KsTd4h3s3c KcJd7h5c2s 
KdJhJd7s2d Js7c6c4h3h 8d8c6c3d2h KsQh9d9c3s 
Kc8s7d6h4d QhJh5c4s2h Ac9s9h8h4d Kd9c8d4h2h 
Jd9s6s5c3h AcQh9d6s4s 9c8h7s6h3h Kd9s7h6c4c 
Qd7h7d6h2s Tc7d6h5s5c 9d8h7s6h3h QcJc9d6s2h 
KcJh3d2d2c QsJs8h5c2s Th9s9c4d3c Qd7d7c6c2s 
Jd9h6d5d3s KcQc5h5d3c AcKd7d3h3d QdTd9c3s2h 
9c8s6d5h2c AcTs9s9d9c Kh5h5d3h3c KsJh8d3d2s 
9h8h6s4s3h QhJh7h6h4c AcKh7s6h2h JcTc8c6s2h 
Th8c5s5c3s QsJc8d3s2d Qc5h5c4d2d Js8s8c6s4d 
ThTc5c3d2h KhKdKc6d4c Qh6c5s4c2s Td9d5c4c2c 
QsJdTs3s2s Td9s6h6c4d KsJd9c4s4h 7s7d5h5d2c 
Js9h8d6c4d AsJc7c4d3h Tc9s6h6d4c JhTs9d6d2d 
Td9s9d5h2c KdQc9s9h3d AsKdQd6d2d QcJd7d4c2c 
AhJc8c6c4c ThTd8s5c3h Kc5c4s2s2d Ks7s5d4s2d 
Jc5d5c4d3s KcJh6d4s2c Ts7h5s3h3d Qh9s7h6d4h 
KhJc5s3c2s Jh9s6s3s3h Ts9c6h5d3d Ks8d7d5h4d 
Kh4d4c3s3h 8d7s5c4s3h Tc8c6c5c4h 7d5s5d3d3c 
AcTd7c4c2s 7c6d5s3h3c Qc9h8c3d2h QhTd8c6h2h 
Ac9d8d5s4h Th9d9c7h3h JdTd9s3c2d Qd9s6h6d3c 
JcTc9s3h2c Ts7s7d5h2h Qd9c7s3s3d KhQcJd8c3c 
8h6d4h4c3c AhJc8s7d3d AhTsTd6d3d Ks7h5s5d4s 
KsQsJd8c2s AcJd8h7s3s Qd8h7h4s2d Qs6d5h4d2h 
Kh8c6s6h4h AsJs7s3h3d QhQcJh7h2d Td8d7h4d2h 
Ts8d7d5d4d Kd8h6h5c4h 9c8d7d3d3c Qc7d6h4d3h 
Ts9d7h4d2s Ts8h8c6d2h 9h6s5s4s2h Qc8s7h5h4d 
Ah7s6s5d5c QsQhJh7h2d Th9s9c8s4s AsTs8s2h2c 
AcTs4h3s3h AsJh9d4s2s AdJc8s7c3c AcTc5s4h2c 
Qd9c6h5s3c KdTs7c4s2c QdQcJc7h2c AdJc4d3h3d 
Td9c8d6d2h KdJc5h4s3s Ah9d7d5s3c AdJh9s9c2s 
Ac7h5s4c2c QcTd4c3c2d Td9d5s5h2h Ks9s7h4c2h 
Jd9d5s3c2c Tc9s9h4d3h Js9d5h3s2d Kc9d9c6c3h 
KdQd5c4d3d AcKh9h5h2d QcTc6d4s2h 7h7d6s4c3h 
8d7c6s2s2d 8s8d6c5d2h Ks9h6d5c4h Ah9s8c4c3s 
AcJh6d6c2s 8c7h4h4c3d Qd7s7c6s5h Kc4h4c2h2c 
As8h3s3c2c KhTd8h6c3h Ah7h4h4d2d Js8s8d4c2c 
AdTh5s5c4h AdQsJc7c2h 9h9d8d3s2h KsJc4d4c2d 
Td9c8s7h3h KdQc7h5s2d AhTs8d6c3s AsQs7c6s2h 
AdTc9s7h2h Th9c8s8h4d KhJh8s5h3d Kc8s6s5s4d 
KsTs7s4h4d QdTh6s3d3c 9d6h5d3c2h KcJh6s4d2c 
Ac8s7c6c2d Jd6h5d4h2s AsJd8c4h4c QsTs6d4h2c 
QcJc9s5h2c KhQd7h5c2s QhTc6d4s3s Qd9c8c4d3d 
Qc8h8d4c3h Td9s7s2s2d As8h4h3s2h Qs9h7s5s4c 
Ah9c7c6d6c Kc9h7d3c2d JhJd5h4c3h Th9c8s6d2d 
9h7d6d6c2h QcJh8s7d4d Ts9h8s6s2c Ac8s7d4c3c 
KsKhKcJc2s Qc9h8c7s4d Td9h8s7c3c Jc7h7d6s5h 
KsTs7s6s3h 9h8c7d6c3s Qc9c6c5h5d QsJc8s3c2c 
KsKhKcTs9d As8h7c4s3s Ah9s5d3s3d Ks7s6s6h4d 
Td9d7h3s2h QcThTc4d2c QdJd7s5c3d Jd8d7h7c4s 
QcJh9h6s2d AdJs9c5s2h 8s7c5c4h4d Js8h6h4s2h 
AdKsKhKc7d KsKc8s4s2s Ah9h7s7h2c QsQc8s5s3s 
QhTh8c7h3s QsJc7s5s5d Qs8c6d3s3c Qc6d6c5h4s 
Jd9s9h5h3h AcQc6d4c2s Jd9s8h6c4h KcJs4h4c3d 
JdTc7d3d2c Ah9c8c5s4d Ac9c4d2h2d Td8h6h2s2d 
KhJc6d5s3s QcJs8c4d3h Ks9s8d2h2d KhTs7c5s3s 
KsJsJd7c2s Jd9d7s7c4h 7h6d5c3s3h KhJh4h4c2c 
KdJc8h5d3d JcTd7h4s3s Qd7d7c5h2c Kd6h5d4s4d 
Ah9h8h7h3c Ah7d7c6s4d KcQd7s5h2c AcKc8h6c3c 
KsJh6c5d3d KhJcTh7h2h Ks9h5h2s2c KdKc8d3d2s 
KhTs4h2s2h Ac8c4h4c2h QdJs6d4d4c Kh8h5s4h2s 
Ad9h6d5d4d Ah6h5c3h3d AdQs6h5c3c QdJh8s3d2s 
QsJd4c3s3h Js7s6h5s2h Qh9s6c5s5d Jd8d6h6d3h 
Qh8c7d6s4s As9d6c4d4c AcQhJh7d2h ThTd9c4c3c 
Kh9h9d6h3s Ah9s7s6s6c QhTd8s6c2s Ks9d7c6d4h 
TsTh5s5c3d Kd9h4d3h3c Qc5h4d3h2c QhTh9c4h2d 
9c7h7c4c3h QhTc4h3c2c AsQh9d6c4c TsTc5d3s3h 
Jc8h6h4c2h JsTd6s3c2c 8h8d6d5d2c Qd5h5d4d3h 
Ts9c5c3h2s Kd6d4d4c3c ThTc5s3h3d QcJc8d5c3s 
QhTd8h7s2h Tc7s7d5d2s KsJc8s3d2d KcQhJd8h3h 
AcQc7c6c3s Jc8h7s5s5d AhTd9s7c2c JsJd7h5h3h 
Ah6s6h4c3h Td9d6h4d2h KdQsJs9s2s QsJd9c6s2h 
AhQc7h6h3h Ts7s6h4h2d Js9d8d5d4h Th8s5s4c2c 
Qh9d6s5c4c KcQd7h6s2c KcTd9d7d3d 9s8d7d6d4d 
Ks8c7s5h2d 9h9d6s3s2d Th7s7d5c4d JsJh7d4c3h 
Js8s7h4d2h Js6h5h5d3d JsJd7c5d2h Ks8s7s4d3d 
Qc9d7h5c4c JcTc8h7c3c KcJc9h6s2c Kc9h4d3h3c 
TsTh7s7d2c KhJd9h5s2h Jh9h9d8c2s Td9c7h4c2d 
JcTd8d5d2s Jd9s8c7h4h Kc9h5h2s2c Jc9h9c3s2s 
Qh9d5h4d2d KdQh9h3c2c AhQs6c5c3d AsKcJsJhJd 
AdQd8d7d3h JdTd9h6c2d QcTc9s4c2h Qs7c6h4h3c 
AsJd9h9c2c KcJs5h4d3d KhJd5c4s3s Ts9d7d3s2h 
9h6c5s5h2c AdQs7d6d2c AcJh8s7h3h JdTs3c2s2c 
Qd8h7c5s4s Qh8c5s5h4d QhJh8c3c2s QcJc6h4d3c 
Jc8d8c5c4c AdKh3d2s2d AdQd6s4d2h 9s7c6d6c2s 
Qs7c6c3s3h JsTs9h3d2s Js9d6s6d2s Kh9s6c5d4s 
Td7d6c5s2s Qc9s7c6h4c 7s6d5h3d2h AhQh8h7d2h 
Jd8h8d7s4d Kc9d8c3d2h KcQh7s6d2c Qh6h5d5c2d 
TsTc5c3h2s AhTs5d5c4c Qs9d9c5h3s 9c7c6d2s2d 
Js9c8h6d4h JdTd8d5d3c Jc9d6d3d3c Ac9h8s5s4d 
9s8s6s5c3d 7c6s6c4d2d 9d6s5d3c2s Ad9d4h2s2h 
8h6c5s5h4d Ts7h6h3s3h KdTd8c3c2d AcKc9d9c3c 
JhTd6s5h2c QcTc6c5d5c Kh9h8d3d2s 8d7h5h4s4h 
Kd9s7h3d2h Ts8c7d4d2c AcQh9s7d3d Td9d6d5h4d 
Js9s7s5h5d Ks9d4s4h3d QsQh7s7d2c Tc9c5s5d2d 
KcJd5d4d3h JsTc7h4d3d JcTh8c6c2d KcQdTs3c2c 
Td9c6c5h5c QhTc9d5h2h Kh7h5c4h2c JdTd6s2s2h 
AdTd5h4c2d AhTs7s5s3s KhQh9d8c3h Jd7s7h5d2s 
Td6d6c4c3d QsQh8s5s3s QdTc9h6s2s AcJd8h5s3h 
Ts9c8h6c3c Ts6s5h4d2d QsJs6d4h3s KcQh7s5d2c 
Ks9d5h5d3h AcQh8h7d3h Ks9s9c6s3d AdKd8d5c2d 
Js9d7d5c3d Kc9d6h4s4c Ts7s7h5c2c QsJc8h3s2h 
QhJs6d3h2d Kc5h5d4s4h 6d6c5s3c2s Ac8s3d3c2d 
QsJc6h5c2d AhKcQc6c2c JsJh9c5c2d QsQdJd7h2d 
KhJh8s2s2c Tc9d8s7s2h AsJsTs6s3s Ts8c6h6d4c 
Ad9c7c6h6c Ac8d6s5s5h KsJs6h4d2c JcTh6s3c2s 
Kc8s7s5d4s As7s6c3s2c QhJh7s6s2h AsTs6s4d2c 
Jc6s5c4s2h JhTh8h5h3s Td9d6c5d3s JdTc9s4c2c 
AdJd9d6c2s AdQs5h4s2c 6h5d4d2s2h 9h9c8s6h3d 
Kd6s4c2s2d Jh9h9d8s2c AsKc9h9c2c Qd8s5s5d3d 
Jh6d5h4d2c JsTs8h4c3s As8c5s3c2s AcThTd6d3d 
AhTc5s4s2c 8c7d6s2s2c KsKc8s3s2h Ac9h8c4s3c 
Qh8d6s3h3d KdJd7s7c3h Kh9s8s5d2d Jc7d7c5h2h 
Ad9c4c3d2c AdQdJs6d2d JcTd3h2h2d Td8s7c6c3h 
9c6s5c3d2s QhJh8d5h3c KhQc5s4d3d AsQc9h5d3d 
Qh9c7h6s4h KdQc4s4c3h QcTd8d5h2s Ac9s9d7h4d 
Qc9s8d3c2d KcJc8d3d2h Qh8c7s5h5d 9d6h5s5h2s 
KdQsQh7h2h KdTd4c3c2c Tc6d5d5c3c 5d5c3d3c2s 
Ah9d7d5c3d Kc7d5s3c2d Qs5s5h4d2d AhKhKdKc4h 
JsTd6s4h3s As9h7s3c2d 9s9c7d3s3h Qh8h8d4c3c 
JsJc5c4h3c KdTsTd6h2d Ts6h4s4c3h Ks8h8d5d3h 
KdQh7h4c2c KdJh9d5c2d QcJh8c3h3c QdJh8s8d4d 
Jd9d6h5c3d KsKh8s4s2s Kc8s8h5s3h Th6c5h5c3c 
Ks9c7s3s3c 9d7s7c5h3s QsJc8d7s3h 9h7s7c5d3s 
Td7s7d5c4d Ah9d7h3s2c Kc9h4c3s3h Jh7s7h5d2d 
Qd5s4c3s3d AcTh8s6h3d Ac6c5d3h3c Ts9h7c4s4d 
Th9h6c5d3h QsQc3s3d2s 9s8d6h5d3c AhTs7d4c3s 
JhTc5h4s2h QsJc8d7h4h KcQc5d4c3c QdJdTd3c2d 
KsQc9c6h3c QhJs9d7c4d JhJd5d4s3d JhTd9c7s2s 
AdQc6h5h3s Th9d7h3d2s AhTd5c4c2d Qs9s8h4h2d 
Js8d7s6c2c KhQhTh8h3s Th8h6h5h4c Ks9s8d3d2c 
As9c7h6h4d JsJc8h8d2h Jc9c7s7c5c 8d7s7c4s2d 
QcJc7s5h3c JdTs8h3d3c 7h6s6d4d2s Ah7c5s5c4d 
KhQdTd2d2c QdTc8h6d2d JsTh9d6c2d Ac8d6c2s2h 
JcTd8h3s3c 9h9c5s3c2h 9s8h8d4d3s KcQsJc8d3c 
AcQs9d5h2s Kc5h5c3d3c Jd9d7d5h5c QhJd9c6s2d 
AcKc9c7h2c Kd9s8d7c2h 7h5h5c4c3h AdTs7d4d2c 
