Ts9c8c6h2c 
Jd8d7s7d3s KhJc9c4d3s Qh5h5c4d2c AcTc8h6c3c 
Qs8h5c2s2h QdTh9c7h2s 9s8s7c4c3c Qs9d9c5h5c 
Jd6h5d4s2h Th9c8h7h2d JsTh6c3c2s QsTh7s4s2h 
9s7h7c5c3c Tc6d5c4s2s Js8d7h7d2h QsTs5c3h3d 
Ts9d9c7h2s AhQs9c5s2d QdJh9s5h2h Js8s8h6d4s 
Jc9s9h6d3c 6d6c5c3h3c Js7s6s6c5h Qd9d7s6d3c 
KhJsTc4d2d Ad8d7c6s2d AdTc8c3h2h Td6s6c4s4h 
Qs9s8h3d2h 8d6s5d4d3h Jc8c6c5d4c KdQhTs3h2h 
Qd6d5h3c2c JsJhTh3h2h QcJd7h4h2c Ac8d7h5d3s 
JhTc9d3h2h QhTs6d6c3s QhTh6h5d2s AdJd9s7d2d 
KdTc8s6c3h Jh8h6c5h5d QsJs7h6s4s Jd8s6c4s3c 
Ac8s5c4c2d JdTd5d4h3d JhJd9d8d2d Td6h5d4s2s 
JdTc9c3c2s Ac7h6d5h3s As9s7s5c2h AsJh7h4h4d 
Qc9h6c5s3c QsTd6s5c2s QsTc9d4d3d KcTh7d3s3c 
8s5h5d4d2s QdTs9s4h4c QdJs9h8c2c QhTs7d5c3d 
Jd9s4s3d3c AcQh3s2s2h Jd9h8d8c2s Ad9d6s4d4c 
6d6c5s5h2d AsTh9d6d3d JdTc8s4h2s Qc9s9c3h2s 
KdJs7d3d2s Ah9d6h2h2d KhTsThTc9c QsTs7c6s3s 
Qh9h8c4s2s 9h6s5h4s2s Td8s4h4d3s QsJd7d5d3c 
Ah7d6c5c2d 9d8h8c5h3s JhTd6s3s2h TsTh9s6s2d 
Qh9h9c7s3d Ts7h6h5d2d KhTd4h3d2h KdQs9h5c2s 
JsTs7c6s3s QsTh8d5c3d JcTc4d3d2c Ks9h8s8c2d 
QsTc7h5d3h KcQd6h5h3h QdJd6h4d3s AdTd8d5d2h 
AdTc8c5h2s Kd8d5d5c3c Qs9s6d5s5c Qc7d5h4c3s 
8h6h5s4h4c Jd9d7h4h2s Tc9d4h2d2c Qc9d8d3s2c 
JsJh8d6c2h Jh9c6c4d2h QdTs7c5h3c KdQd8c4d4c 
Qd7h5s5d4c Kc6d4d3c2s Qh8d7h7d2d KsQs5h5c2d 
AhThTd7h2h Qd7d6c5c2c Jd9h8s5d3d Kd6s4s2d2c 
QcJs5s4h2d AsJd8d6c3h 9s9c7d4c2s Ad9d7c5d2s 
JsJh6d4h3c 6c5d5c4d2d 9s8h8d5s3c KcTsTd5c2c 
ThTc8d3d2h AhTs7s6c3s Qc7h7d5s5h TsTh6s3h2d 
KsJh7d6c2s Js8s7d5c3h KsJs4h4c3d Th9h6d3s2d 
7d5s4s4d3d Jh8c7s7h4d Td9s7h4d3c Qc7s5d4c3h 
QhJc9c5s5c KdJsTh4c2c Ts7c4s4h3h 9h8h7c4c2s 
Ac7h3s3h2c AdJh9c6s6c AcJc7s3d2h Ks7s5c4c2s 
6s6c5h5d2c Jc8d7h4c2h QsJd7h7c4d Tc9s5s5d2d 
Js8c7h7c2h QhTd8c4h2s QsQdJc7s2s KdQcTh3c2c 
Kh9h7d5h5c AsJs6d6c2h AsTd7h3d3c 5s5h4d2s2d 
AcJc6d2d2c KcTs9c8c2c Ac6s6c5c4c KhQh6h5d2s 
Qc9s6d5s4s AdQc9d4d2s 8s8c7c4s2s KdTh7c4d2s 
Td9c8h8c2s Qc7s6s5s2c KsTc8c7h2d Jd9c8s7c4c 
Jh8d7h4c2d Jh8s5s2s2h KcTd8s7s3h KsThTc4d3h 
Ts7d6h4h2s QdTc6h5h3h AcKs6s3s3h Ks9d7s7d2s 
Td9s5h2s2d 9s6h5c3s2h QdJh9c5d2d Qs8s7h7d5s 
Qd7h5d4h2c Ks8s8c2h2c AdTh6d5d2c 8h7s5c2s2c 
AcJs7s6d3h QsJc9h8d2d AhTc8s5s2d AdJs8h5h2c 
Ac8s7c6d2c Ts9h5s4h2h QcTh9s4s3s Tc9c8c7h2d 
QdTd9s3h3d KhJc8s8h4h Js9h8s5s2d JsTs7s4s3h 
TdTc9h5c2s QcTs9c2h2c Js9h9c7s4s KhJh7h5h3c 
Js9d6s6c4h KhTs9h4c2h AdJd7d4s2c 9c8c7d5h5c 
AsJh9h3d3c KhTs7s5s5c QhThTc8h3h Qc7s6s6c2d 
Td9d8d6d4s ThTc7h5d3h AsTc9d4d3h Qs8d7h7d5c 
6h5d4h4c2c Kh8s8h7c4h Kd9h7s6c3h KcQc9h8s4c 
QdTh9h6s2h Kc8c7s3s3d Tc7s7d5s2c Qc8h8d7c5c 
8c6s5d4s2h 7h6h5d4s4c Qs8h8d5h5c 6d5s4s3s3d 
QcJhTs6s2s KsJc9h4s3s JsTc7h7d3c QsTs3h3d2h 
Ts8d7d6h3c Js8d7s4h2d Th9c8h6d3h Ts4s4d3d3c 
Jd9d8h5c3d AsQs7s6h2d Ac8d8c6c2h Ah7c5s4d4c 
AhTh8h3c2s 8d5h5c4c3h 9s8s7h6s3d 7s7c5c3s2d 
Ks9h6s5c2d AhQd8d6d3c Qs9h9c8d2s KsJh5d5c4h 
KsTs9s4h3s 9h9d6d5c2s KsQs6d6c3s Js7s6d5s5c 
Tc7h6s6d5d Qd8c7s6c4c Qs9d5h3h3d AdQsJh7s2s 
Jd6s6c5d2s Jd7c5s4d2c QcTh6h4s3h Qh7s5h4s2d 
QhJd8s8c4c Td9c7s7h4d Ts9h5h5d2d Th8d5c4d2c 
QcTd7d2h2c QsJd9h9d2d QhQd6c4c3c Td9d6s3c2s 
QhTc6d4s2h JhJd6c5d2s Th8s5d4s2d Ah7s3s2s2h 
7d7c6h3s3h KsTh9s5s2c Jc9c5c4d2d KsJc8s5d3s 
AcKd6d3h3d 9d9c8s5s4h Ac7h6c5c3c KcQh9c8c2d 
Qs9h7c6c2h As8h6s6d3s QcTs8s4d3h Qs9c5d3d3c 
JcTc8c7d2c Jh9s6s4d2h Ts8c6d5h5d 9d8h8c5d4d 
KcJc7h4s3c KhJc9h4d3h 8d6s6c5c4c KsTh9c6d2c 
Kc6h5c3h2c Qc8c6h4c2h 9h8d5h4d3h Js9c8h5h3d 
9d6s5s3h2h Qs9d6s5h3s QcJc9s9d2c Qd8h7h7d3d 
