JsTh6s3h2s 
8c7s4d4c3d Kh8h7h5c4h 8h7c4h4d3d AcQsJh6d2d 
Jh9s9c7d3s KcTs9s7h2s QdJh5d4d2s Kc9d5h5c4s 
AsJd6s6h3s Kh7h6h5d5c Qh8d8c7c3d Qd8s6s4h3h 
QcJhJd6d2d Th7c6d4h2c KdQs4h4d2c Qs7s6d5s3h 
KdQs6d6c2h JhTs7s3s2h Jd8s7h7c4c AdQc8s4d2d 
As8h6h6c4d Td9h6s3s2d KhQd4s4h2c Ts8d7c6d3h 
KcJc6c5h2d KsQh8s3h2h AcKh9s9h9c Kd9s5d5c4h 
Tc8d8c6h2s Qd5s4s4d3s KdTh9d4d3d Jd9h8h6s4h 
Ad9h6d4d4c JhTc8s8d3d Th7h6s5d3c Jd9s9c3d2s 
JcTd8c4h2c Kd9c8c4d3d 9d6h6d4h3h Ad9s3c2d2c 
QsTc8d5c2h Qs8h8c4c2s Ad8d5d4c2s Jd7s7h6h5h 
Qd9h8s6h4h Qh9c8h5s2d 8h7s7c5h3d 8s8d5d4c3h 
Kh9s7s3c2h 7d6s6d5d3c AsTs8d3s2c QsTs9c7s2h 
KdQh6s6d2c Tc6h5s5c2s KcQhJs3s2s Td9c6s2s2c 
Kh9c6c3c2h QsTs9s4h4c KdJd5d5c3s KsTh6s2s2h 
Ac8c7c4d2h QsThTc7c2d 9d9c7c3d2s AcJd9d7d2s 
JhTc9s3s2d Kc9s6h6d5s 6c5c4h3h2c 9c8s6s5s2d 
AhJc8s3s2c 9d9c5h3c2h Jd9s7s7c2c Ac9h6c4s4c 
KdQs8d7c3h AhQs8s7d2s Ts9h9d7h2c QcTs9d7c2c 
Qh9h8s7c2d Qs8d6s3h3d AhJc7h3d2s KcTs9h4d3d 
Qc8d6h6d5d Jc9s7d6s2d Ts5s5d4s4h Tc9s8h7c3c 
9s6h5s2h2c KsQcTh3d2h 9d8s8h4d2s TsTh8s8h8d 
Qs8s8d2d2c Jh9d7d6s3c Qc8h7c4s3s Th7s7c5h4h 
