Tc7h6c5h2h 
Jh7d7c6h5h Qc9s9d3c2s Kd9s8s6h6c Jd9d7c6d2c 
Jh9h7d6h2d Ah7s6d5c3d KdJd9d8d3s JdTs7c3c2s 
Ts7h6c5c3d Ks8s6s6d4c KcJc9d7h2c AhTc7d4c3c 
Qh8h7h6h6d Kh7c6s6d5s AhKd9s7c2c 8h5d4h4d3s 
7s6s5s4h4d Kd9c7c6s4c AdKc7h5h2s Jh7d5s4h4c 
JdJc9d7h2d QcJd7s7c2s QhJh8c7s3d Qc8h6s6d5h 
AdTc5h4s4h Qd9c6c5s5c Th9d8s5s2c KdQdTc6d2d 
AcJhJd3d2d 8c6d5h5c4c KsTd5h5d4d JhTs6d2h2d 
AcQs6d5h3d AdJsTc6s2s Th9s5s4d2d QhTs9h7d2h 
Qd5h4s4d2s AhKdTs3c2c KhJsJd5c2c 8c6d4c3s3d 
AdKcTs3s2s Jd9h9d8d3s JhTh7d6c2s Td7h7d5d4c 
Kd9c7h5h3s AsQh7h5h3h Kh7s7h4c2c KdQd7d5h3d 
Th9d4h2s2d Qs8d7c5d4d Qh9h7h6c3d Td7h6c4s4d 
6d6c5c3d2c 9d7c5h5c2h QcJsJc8c2c KdQs5h5c2d 
KdJcTd3d2d KdJd8c4s2h QsTd6h5d2c Qh8c6c2s2h 
Kh7s6h4d3h Js5d4s3h3d Kd9s6d4c3h 9d8h6s6c4h 
AhTsTc3h2h QdTd7c4s3d QsTs3d2h2d Qc7c6h5d5c 
Qc7h5s5h3s QdQc8c4h2c Ah7s7c6d4d Jh9c8s6s4s 
QhTsTh7h3h AdJcTh6c2c KhQd8d4s2s 9d6d5h4h2h 
Ts9h9c8h3h Qs9d7d4c3c AcQs9s5h2s QsTc9c7d2c 
KhTd9d4c3d Kc9c6c5s5h KdTc9h7h2h KdTd6d3h2h 
Ts9c7h7d3c QhQc8h4s2h Qs8h8d5h4c QsTh8d7s2s 
Kh6h4d2s2d Js9s9c7d3s Td9h7s7d3d As9s5s4d3c 
KcTh8s6s3d KcTh5h4d3s QdTd8s8c3d Qc8s6c4s2c 
AcTs4c3h3c QdTsTd7c2d 9h9c6h5s2h As9h9d7h4h 
KdQs8d6d3c Kd9d8s4s3d Qh9d8s3s2h KcQd7h4d3s 
Jc9c5h4s4d 9h8c5s2s2c Jd9s9h7s4s Kh8c5c3h2s 
JsTd5c4c2h Tc9h7s7d4h QsJh9c7d3d AhQh6h3s3d 
AhQs8s6d3s JdTh6c5s2h 9h6h5d4d2d AdJd7d5d3d 
AsTh4s2d2c Jc7h7d6s4c 9d8s6d5c2d Qh8c7d5c4c 
9h9c5d5c2s Ks8h8c7h5h JdJc9s7s2h AdQc8h3h2c 
AdKh5h2s2h Kh7c6s5s3d Kh9h7h5d4h KsJh7c3c2s 
Ac7s6h6d4d 8c7s5h4c3d JsJh7h3s2s QsQc8d7h2d 
KsQh7c6d3c 9s9h8c7s4s Kh8s7d6h2c 8c6d4s4d3s 
Ac9s9c4h3c As7h6c5d3c Jh8s6s6d2d KsTh8c7c2d 
9d9c7s4h3c Ks9d7h6c4h AdTd8d7d3d QsTc6s5s2h 
KdQd8c7h2s Qd9d4s3s3h Kh9s5s5h2h Ks7s6d4s3c 
Tc9s8h7d2h Qd9h6c3h2d QcTs8s5s3d JdJc8c4h3s 
KhQh8c6d3h Qc9h8s3s2c Td7d6d5c3s Qh9d7d5c2c 
8s8c6h3h3d KhJh9h7d2c KcQh7h4d3s Ad9c4s3h3d 
9c8d5h3c2h AsKdJh6h2h Ks9d6s4c3h Qd5d4s4h2h 
Jc7s7h5h2s TsTh7d3h2s AdKh6c2s2h 7d7c5h3d2h 
KhQh9h6s2d KcTc6c3h2h Js9s6s5d5c KdQd9h8d2c 
Ts7c6h5d3h Ad8s5h4s2h QsTd9d7h2d KcTc8d8c2h 
KdTd8h5s3d Qh9h9d5h3c Qs7s5c4d2d 8s8c7s5d3s 
Qh9s8h8c4d Ks9h7h6c3d 6c5d4d4c2c KhQs8d7c4c 
8d7d4h4c3c AcTh4c3d3c Ks9h9d8d5d Qs5d4s3h2h 
Jh8s7h7c4h AhJd9s4d4c AcKsKhKc3c Qs9c7d6c2d 
As6h6c5d4h Ah9s5d5c2h KhJs9d4s3c Qd8h6h2s2d 
KsTc3s3c2s 7s7h4h4c3d Td9d6s6c4d 9h8c7c4h2d 
KsTh7c4d3h Td8s8d5h3c AhQd7s6c3s KsJh7d4s3s 
JdTd7c6s2h Js9s7s6c3h Ks9d7d6h3c JsTd7h3h2d 
9s7h7c5s4s Kc9h7s6d4s Qh9s5d4h4c AsQd8d6h3d 
9h9d5s4c3h AsJd5c4h3d KcTh7s5s3s Js8d7s6s2d 
Ad7h5s4s3c QhTc6h4s2d QsJd6h4c3h Ks8d5s5d2s 
QsJh7h3c2s Jc9c7c6d2d 9s7h6d4s3c QhJc7h4d2d 
TdTc9c5c2h Kh7c5d3d3c JsJh9s7c2s AsKdTh3h2h 
KsTh9h8h3h Jc8h7h4d3d 9s8d8c6h3c KhTc8s7s2d 
JdJc9s4h2c QdTc8h5s2c Qd5h5d4h2h Jh8d7d4c3c 
Jh7h6d5s5c QcTc9c3h2d JsJc9h4s2d 9s6h5c2s2h 
KdJs9s6h3s Td9h7d4h2h Th8s5d2s2h Qs8d6c5s2h 
Kh9d5c4h3s Ah9h5h4d3s KsTd8h6h3c JhJc5s5d2c 
JsJd4c3h3c Qc8s6s3s3c 8c6s5d5c4c 9s9h5d4c3s 
8s6d4s3h3d Ah6s6c5d4c AdQh6d4s2d 9s7c6s4d3h 
Qs8c5s2d2c Qh9d7s6c3d Tc9s7d7c3c Qs8s6h6d5s 
Js9d6d5d4d Ks7c5s4s3d 8d7c5s4d3h QhJc7s7h2s 
Kh9d8h4h3d 7s6s5s4h4c Kh8h8d4h3d Td7h5s4d2s 
9h8s7d5h3h Jc6d6c5h2h Jd7c6h6c5s AhJc8s7s3s 
Ts8c7d7c4c Td9s4h3s2d Qh8c6d5h2s 6s6d4s3d2c 
9h8s6h4h2s Qs8h5c4c2h AdKc3c2s2h Jd8h8c2h2c 
Js8h5h3s2c As7c6d3d3c QhJd8h4s4c Jh8h7s3s3c 
Ts9h8c7d2c 9h9c5c4d3s AsKs9d2s2c KsJs4d3s2d 
AsQh5c4d3c QcTc7h4d4c Td8s6s5h3c Qc9c8c5d3s 
QsTh7d5h3h Ah8s8h4h3c QsTh8s7s3d QdJd8c5d2s 
QdJd8h5d2c Qc8d6d2h2c QsQd4c3s2s Qh9c4d4c3h 
