QdJs6h5h2c 
Kc6s5c3h3d Th6s6c5s4d Ad9s4s3s2d AhTc8s4s3d 
KsJh5c4h2d Kh9h8h7c2d TsTc6s6d2h Qs7h6d6c5c 
9s9d6d4d3h QsTs7s5s5c Qc8d7d6s6d Ts9d4h4d2s 
QsJd7s4h3c Td6s5d4s2d Qs9d5c4c2d AdJs8h5c2h 
AhQd5h2s2h Qd8h8c3h3d Kc9c7d3s2d QhTsTh3h2c 
JsJc8d7c3c Ks8h6h3s2d AsTc9h5c2d Jd5h4c3d3c 
8d6s5d4d2h AdJc8h5s2h Ks7s5s5h4c As6s4s4h3c 
9h9d8h5s3h Qs8d8c7h4s KcJh8c7s3c AsQh4h4d3h 
KdQd8s3c2s Ah8d7c4h2h Ac5c4d3h3c QhJc7s3h2c 
KcQsJd7h2s KdJs9c8h4c KhQs9d8h2h 9s9c8s5h3s 
Th8s6c5d3s Ad7h6c5s3h Jd9c6c5c3s As9c8s2s2h 
QsTc9c3h2d KcQd9c6c2s 9h8h8d7s4h KhQd5s5c3s 
AhTh8c3s2h 5d4s4c2d2c Th8h6c5d2s QsTs6d5c2s 
Kd6h6d2h2d KcTc8d5s2c AdQd7d4c3d Js9h7d4h2s 
KhTh8d5s2h Td9d6s4c3d AcTd6d5h3s KcTs6s4s4d 
Td8s8h3d2h Jd6h5s5h2d QsJd9d6d3d AcKd6s4s3s 
KsQs9s7s5s Jh8h7s5h5c Qs9s6c4s2c Qh9s9h5c2d 
Kh9s9h7d3h Kd9s7d4c3h KsJs9s6d2h Qd5c4d3c2h 
JdTsTh3c2c KcQs6h4c2c QhTd9c4s2c KcJd9d5d3d 
Tc7s7c5h3d KhTd6d4d3s Ah9d6c4s2h Ks9c7d5d2c 
9c8c7h6d3c 9h9c8c3h2h 9c7h5h3d2c KcJs9s5s3s 
JsTd7d5c2h KdTs7h4h4c 5h4d4c2h2c AdTh5h4h4c 
Ts9d5h4s4c AsQc5s2s2h Qs9c7s5h3s Kh9h6s6h5h 
Qs9d6c5h3c AdQh9h7h2c QsTsTd3h2s Kc9h8c6c3d 
9c6d4h3h3c Js5s5c4d3d KdJhJdJc9h Ad9s8h5h4h 
AdQc6c3s2s Kc8h7s7h3s 8c7h6d4c3s 9s6c4s4d3d 
Jh9c8d7d4d 9c6h5s5d4d Kc9c7h5d2s 9s9c6s6d2s 
Jd9s6s4s2d Qc9d7h6d4d KdTh7c5d2d Qs9h9c5h4h 
QdJsJd7d2h Ts8h7d5c3s AsJd8s2s2h KhTh8s8h3c 
8h6h4d2s2d Ah5h3s3h2s QdJc6h3c2h QsJc8d2d2c 
QcTs9h5d2d Kd6h6c5c4s 8s8h6c4s3d QsQh5c3s2s 
As7s3h3d2d JhTdTc7s2s AhQh9d4h2s 8s5s4d2d2c 
KdTs9h5s5c Jd7d5h4s3c KcTs8s6h2d QdTd9d3s3h 
AdKs7s4h2s 9c6s6h4h2c KsTc5s4s2h JcTd9s3h2h 
KhJs7c4s4d KsQh7d7c4d QcJs7h2s2c 9h8c7c4h2h 
KhQcTs7c2c Js8s7h5s5d AsKs9c4h2s AsTc7d4h3d 
Qs6s6h4s4d KsQc8d7h2s Jh9c8c5c3s 8s8d5d4d3c 
5s4d4c2s2c QdJd8s4c2h KdQc9c5s2h Kh7c6h4s4h 
9d7d5h3c2h KsTc8h6d3h KhQd4h4c3h KsQh9h5d2c 
KdQh9c6d2d Tc9h7s4h2s Ac9h9d8s3h QhJs8h8d2c 
QcTc9s2d2c Th7h7c6h5h Qh8d6h6c4h Ts7s6h5c3s 
QcTs9s4d2s 8s8c5d4c2h Jh5h5c4s3s KdTh7h4c3s 
9c6d4s4c3d KsQc4h3s2d JdTd7c2d2c AhTh5h4c2s 
AcJs7h7c2c Qs5d4d4c2s JhTh6c4d2s 9c7d6s4h4c 
9s8s7d4h2d Js8s6d4s3d Kd6h6c5h4s Qc9c6h6c5c 
Kd9c6c2d2c Th8s6d5c3s 9h9d6s5h2h Ts8d7s6h2c 
