AsJs9c5s2s 
Kd9s7d5d4d Kc8c4s4h3h Ac9d8s7h3s 9h9c8s5c3c 
QcTd5c3h3c QhQd6c4d2d Kd6d5d4c2h KdQdJd6d2h 
JsTd6s4h2c Ac9s6c5c2h AcQd8h7h3h Jd8d8c6d4d 
KdQs9s5s4s KhJh5c4h2s Qc8h5h5d3d KhQd5d3c2s 
KhJd7s4h2c Js7c5s5c2d AdTs6c4d2d Ts7s7d4h2d 
AhTs8s5s2d JhTs8h2d2c KhJc9s8s4s KsJd4h3d2h 
KhQh7c3s2s Tc9s7h3h2s 8h6s4s4h2h Ad9c8c6s4c 
AdQd5d3h3d 8s5d4s2d2c AhTd7s6s3s Tc9c4s2s2d 
Ad9h9c8s4s ThTc5d4h3h QhTs6s5d2c Tc9c6s5d2h 
QdJc9d6s2d Kc7h6s5h5d AcKs7d2s2h AcKs9d2s2h 
8s7c6d5s2s AhJhJd6h2h AdTh8h4c3h QhTd8s5c2c 
Tc9h7d6h2s Tc7d5c4s2d Qh8c6d2h2d Jh7h7d6h4c 
Ks6s5s4d2c 9h7h7c2h2c KcJd5c4c3c Kd7d6h5d3d 
Qc9h6c2s2h Qh7s6h5d3h Ts8h7h6d3h Kh6d6c4s4c 
Kc8s7s7d5s Jc9s8d6c2h AhTs9d6s2c AdTsTh4s2c 
Tc9c7c4d2d Kc7h6d5s5h KcTd9s5h2d Kh8h5c4s3d 
Ks9s8h3h2h 9c6d5d4s3h Qc8c7s5h5c QcTc8s4c2d 
QcJs9d2h2c Td9d4s3c2s KdQd7d4c3s KhQs9s5s4s 
Qc9s7h6h3d 8s7c5h4s3s AhJs9c5d2c TsTd8h5h3c 
KhJc9c8d2c Td6c5h4c2h KcQh7c6c2s 8s7h6c4d3s 
8d7h6c4s3d Ah9s8d7c3d 9s6c4s4c3d AsJd7c5d2h 
KcTsTd4c2c Jh9s8d7h3h QhTd4s3h3c Jd8h5s3s3h 
Jd9d4s4d3s 6h6d5d4c3d 8h7d5h4c3h AdJd6d4s4d 
Th8h5h5c2c Td7s7d4s2s As9c8c4h2h QsTc5s4s3s 
Jc7s6c5h3c Qd7s7d4d3s As9h8h8c4h Qc7s7c5d3h 
Tc7s6s6d5s Jd8h5c4s4c JsTc7h2h2c QcTh4d3h2d 
KcJd9s6h3h 9d8s8h7h4h 9d8s8c5h3d 9c7s5s5h4s 
JdTc8c7c2c KcTc8c5h2d JdTh5s5h2c AdKd9d4s2h 
8d6h4c3h3c AdQh8s7s3s KsJh8d4s2c Td8c4s4c2d 
8d7d6d5d3h 8s6s6d5h2c AcQh9h4h3d QdJs5c4s2s 
8d6c5h5d3s Jh7d5d5c2h KhJc9d9c4c Jc7h7d6d2c 
Kc8s8h6c3d 9s8h7s5c2d KhTh8s4c3h Js9c7d6c3c 
9d9c8s5c3c KcJc3d3c2d AcJd9h5s2h QsJsTs7h2s 
Tc8c7c6h3s JsJc5d4s2h Kc8d5d2d2c Ad8s6c4s3c 
Qh6h5d5c4s Td9c6c5c3c 9c8s7c4h2s Qs6h5d5c4s 
QcJcTc7c3c Qc8d6h5s5h Ad4s4d3c2h Ad9s7c5c3c 
8h7s5c4d3s 9d6d5d3s2s AsKc9s4s2d JsJh4s4d2s 
8d7c6s4c3h QsTdTc5h2h KcQc9s6c2d Ks8s6d5s3h 
Kd8c5c2d2c Ks8s6s5d3h AcKd4h4d4c Th7d6d4h2d 
Qs9h7d5c3c QhTh6s2s2h AdJs8h4s3c Ks9s7s7c3d 
KdTh7h4h3s Td9d6d3h2h AsQs6s5d2s KdQh9c7c4c 
TsTd9c7h2c Ad9s9h8c4c Jc6h6d4s4h JhTd4h4c3h 
Qc6s6d4s3d Jh9s7d6s3s Qh8h6c4s4d QhTd3h2h2d 
