Ad9c6h5s5h 
Qc9c6s5d2h KhJs7h5d2h QdJd9d4d3c Qc9c8d5h5c 
AsJc8h7h2h KsJc8c5h2d AsJh7h6d3h 9d7c5s4h4c 
QcTd5d4d2h Qd8c7s7c3s 9h9c8h5h2s JhTh7h5d2c 
Ts9c5s3s2c AsKs7s6c2s 7c5d5c3d2h Kh6c5d4c3s 
Th7d6h6c3s 8s8d5c4c3c Ah9d8c5s3c Jh8h5s3d2s 
Td9c7h7c3c 9s6s6c5s3d Jh6c5d3d2h KcJc8c7s2h 
7d6d6c5d4d AhTc8d6s2d Js9h6s5s4s Th8h8d3d2h 
Kh9d9c6h3h Jd7h6s5h3c 9c6s5c4c3d KsJh9h8c3h 
Jh9c4h4c2s 8d7s4d3s3c QcJc9h3s3d Js6s6h4s4c 
QhJh8d6h3s AdQd8d3s3h Js8h7s3h3c As6h5d4h4c 
8h8d5s4h3h 9d7d5s4h3d QhTs5d5c3c Td5d5c4h3c 
Kh6c5d4s3s AhTh5h4h3c KhQh9c4s3h QhJc7s4c2s 
Kh8s7s4d3d 6h6d3c2d2c Ks7d4s4d2h 8c7c5h4s3c 
KsQsJs7h2c Js9s7s5s5c Qh9s9c6h2d Th8d5s4s4c 
6h6c4s4h2d 9h6s5c4d3c AcJh7s7h3h Qs8d6c5h3h 
6s6h4h4c2d Tc8d7s4h4d KhTc6d4s3s 9d7h5c3s3d 
KhQs9h9d2h Jd9c7s4s2d KcTsTh5d2s Kh7c6d3d3c 
9s6c5d4d3h AhKh7h6s2h Qh6c5h4s3h KhJd8s7d3c 
7s5h5d4d2h 9c8d7c4d2c KcQcTc3d3c Tc9d9c7c2s 
Qh8d5s3h2d KdQd8h3s3h 7d5s5d3s2h Jd9c5h4s3c 
QsTh8c7c2c Ks8s7h5d3s KdJs8d7h2d Qc8c6d5c3h 
Td9c8s5c3c AcJh5s5d3d Jd7h5s5c4s QsJc8d4h4c 
8s8c5s4s2h QcTs8s7s3d Qh7d6s4h2d QdJh9d3s3c 
Ks9h9d6h3c Js7h7c4h2s 9d9c8d6d3h KhJs8d6h3h 
Tc7d6d4h2h 8h6s5s4s2d Js8h6d4d2h QdJd7d5s3d 
KsJh9c7d2c KdTs8c5d2d Qd9c7s4s3c JcTh8d4d2d 
Kd5s4d4c3h AcJh6c4c2s Jc9d8d5d2s Kh9d8d7c4s 
Ks5s5c4h2d Qc9h7d5h2d AcQs5s4h2s 7h5s4s4h2d 
QcJd5d3h3d Ad8s5h3s3h JsTs8c4s3s As6h4h4c3c 
8s8d6h4s2c KhTsTd5c2d As8c5s3s3h 9c7d5c3s2d 
Kc5s3h2h2c KhTd6s4d3d Js7h6s5s2h KcTh3c2h2c 
8h7h7c6d3h 9s8h8c7s2d Qs7s7d6d2d Qc7d6d6c2d 
Qs9h8d6s2s 9s5d5c4c3d Js9h9c8d3c Qs9c5h4c2h 
Td8h7d5d3s Th7s4h3s3h Qh9s9c7h4h KhTc5s4d3s 
Kh9c7d5c4c Th7c6c4s2s Jd8d4c3h3c QsTs8h4d2s 
AdJsJc6s2h KdTc4s4c2s Kc9c8d4c3d Qs8s8h3s3h 
6s6h4d3h2d As9c8h8c3c Ad9d6d4h3c Jc9d9c8c4h 
Kc7d4s4c2s Ah9h7s6c2h QdJc8s6c3c AcKc8h8c3c 
As8h8c4h2c Qs9d6h4c3s QcJd9c7c3c KsQd7s5h2s 
KhTsTc4d2c 9h6s6d5h3c Kh9d8h5c3h Kd9h8c6d3d 
QsTh9h2h2c Js9d7c4s3h Jh9h7s5d2c 9s8d8c7s2h 
Td9h9c5s2d Js8d7h2s2d AsJs7h7c2s KdQc9c7c3h 
QhJs7c6d3c Ks9h8s7s2c Ks7c5h4d2s 9s9h8h6h2d 
Qs7d6d5d4d Qs9c7c6d4c 7h7c6s5c2d Jc9h9c8c4d 
8s6h4h2s2c Jc8c6c4d2d Jc9c7c6c4s AhQs8d7d2c 
AcKs9s7s2s JdJc8h7s2h AdKh8s8c3s Jh8d7h6s3c 
Ad9s6h5h2s KcJd9h6d2s Jh8s6s4d2d AdTs7s6s3s 
KdJc8s7c3h 8s8d5c4h2c Jd6s6d5d4h Ts9h8c5s2s 
Jh7s6c5s3d Qd7d5s4s2s AdKs8h8c3c KsJd7s5h2s 
As7s4h4d2c Js9c7s3d2c Js9c5s4s4d AhJh5s2h2c 
9d7c5h4h3s KsQh7h4d3h As8h4c2s2d Js9c5h4d3c 
JdTc8d6d3d KdJs9s5s5h Td7h6d5s5d Jd8s6c4h4d 
8d7h6d4c2s 8d7s6d5d2h Td7s6d4h2h Js8s7s5c3h 
Kd7c4c3d2s Qs5d4c3c2s 6s6h3c2s2c 9h8c5d3d2c 
KsJdJc8h2h 9d7h6s2h2d QsJc8d7h3c Ks4s4d3h2d 
KhTs5s4d3s Qs7c4s4d3c Ac6c4h3s3c AsQc9c5c2d 
8s7c6h6d3d 7h7d6d3s2h Jd7d5s5h2h AhJh6s4h2d 
8s7d4s4h3d 9d7h6c4h3s Jd6d5s4s2s Td6d5d4h3c 
AsQh6c5h2h Ks9d6d5c3d Th7c6s6h2c 8h7s7c5s2d 
Jd9c8h5s3s Ac7c6c3d2d Tc9s8h8d2d Kc9d7s5h5d 
6d6c4h4d3d 9s7h5c2h2c 5h5d3c2h2d 9d8h8c5h2s 
Qd9h8s5d3d Js9s7s6s4c Qc9c8h7c4d Ad8c7h5s3c 
Kh7h6c3c2c KcQc9d4h3c AsThTd5c2d Kd7s7c2s2d 
TsTc9c4c2d QdTd8c2s2h Th8c7s5d3s QhJh9c3s3d 
Jh9h4s3s3h Js9s5s5c4d Qh7h5c4c2c Qh6s6d5d2s 
Qd7c6d5h5d KdJs9h3d2c Jc9s8c7c2d AsAhAc7d2d 
Qh9h6s4s2h AdKd7d6c2d KcTsTc4c3c AhQs9s6s2d 
KhTc8h8d2h Td9h4d3c2h Jh6s5s3h2d Qd8s6d3s3d 
QcJd8d7s3h JhJd8c7c2s Jc8d5h2h2d Ts8s7s7d5s 
Ks9d7h5h5c Ad8s7d2d2c Ks8c5c4d3d Td9h7c3s3d 
Jh9s7d6c3d Qc5d5c3d2s 8h8d6d4d3c 9s7c5h2h2c 
9c8s8h5s2d JhTd8c4c2c Qd5d5c3s2c QhJh8c6h2s 
Qd9s7s5s4c KcQc8c6s3d Qs7s7h3s3h 9h9c8h4s4h 
9d9c8s5h2s Th9c7d4h3h Qc8s8c6c4c QsJc8s6s2d 
Tc9s7h4d3h JsJd8c7c2h Ad7c5c4s2s Jc8c7h6d3s 
AhKs9s3s3d Jh8h8d4h4c KhQs9h9c2h Ac8d7c3d2c 
Qc7h4h4d3c TsTd9s4s2h Kd9c6s3h3d Kc9d7d6s3d 
Jh7d4s4h3s 7d6h6d4c3d Qh9d8d6c3s 8s6c5c4c2d 
KdJs8d7c2d Tc6d5d3c2s KdJh9h8s3h 8d5d5c4c2c 
JsTh8s6s2s QcTs9d5s2s KdQd7d4s2s Qc8h5d4h2d 
AdQs5s4c2s Ad7d5c4d2h JhTs8d2s2c QdTs5s4s3s 
QcJs9s7d2h Td8c6s5s3s 8c5d4s4d2s Kc7s6c3s2d 
Ks4s4h3c2c Ad6d5h5c2d ThTc5h4h3d KdQs6h5h2c 
6s6c5h4d3d Qd7h4s4d3h 9d7h6d4s3d KcJs8s5h2d 
Jc7h5h4c2h AcJh9d5d2s Th8h7c2h2c Jh7d7c4d2h 
AdKh9h3s3h QdTsTc3h2c QcJs8h7d3s Th7h6s4s2s 
KdTd7s5h2d Th9s8h6h2h JdTc4s4c3c Ac8s5c3h3c 
KcJs9d7s2h KcJd8d7s3h 8h7h7d6s3h JcTh5d4d2d 
Qs9c8s6s2d Ac9d6h3h3d Th9h6d3d2h Ts8s4h4d2h 
JdJc8h7h2s Ks9s6s4c2c Td8h5c4s4c Qd8c7s6c2s 
QcTh5h4h3h KcTd5d3h2h 9d8d8c6d3s QdTh6d3s3c 
JcTh7d4s2c 8s6c4s4h2c Qc9d6s4h3c 9c7d5s3h3c 
Th6h5h4c3d Tc5h5c4s3h KhTs9d5s2c ThTc8h5h2s 
Th8c7s5c3d Kh7d4s4h2s Jh8c6d5s2h Ts7h6s6c2h 
QhJsTd7d2d Jc5s5d4s3c TsTc5s3d2d QcJc6c4h4c 
KhQc9s7d4s AsQh7c4h3h KcQc8h3s2s KcJh8d7c2c 
Qh9s9d8s2c QsTs7h2h2d KdJd8c7s3d Jc9d4s3s3d 
Td9h8s8c3d Jc9c7s7c4d QdJs8h6c3h Qd6h5d4s3d 
AcTh6h4h4d Kc4h4c3s2s KhTd9c5d2s AhTd5s5h2h 
QhTd7h3s2s Qd7d7c6h3s 6h6c3d3c2d KdTh9h4s4c 
Ks5h4s4c3d Kc7d6h3h3d Ad6s4d4c3d Ts7d6s5s5h 
KhTd7s7c2h KdJs8s5h2c Kd9c5h3s3d 9c8d6h6d3s 
Ks7c6h3h3c AcJs8s6h2d KhQsTd4c2c Kd9h7c5s5h 
AhJc8c6s2d Ad8d5s5h2d KdJs4d4c3d Qs8h5d4h2d 
Td9s6c5d2h 7d5s4s3c2c Kc9c7h4s3d Ts7c6s4c2s 
AcQh8s4h2d Kh9s9c7d2h 7h7c5d5c2c Qh9h5c4s3d 
Kd7c4s4d2s Qd9s7h6c3c 8h7h7c6s3h AdQs8c6s2s 
Qs8s7s5d4s Jd9h7c4s3d 9s6c5s4s3h 9c7s7c3d2s 
QsJh8c4h4d AsJh9c5c2d Qh7h7c6c2c QhTh4s3s2h 
Kc7h7c6s3c Js9c7d4s2d AsTd6d4h4d Qh9s8d6h2h 
7s5c4s4c2d 9c5h5d4d3c Qc9d6s5s4s TsTc8d4c2h 
Th8c5s5c4d Td7d6c4c2c 9d8c6d3h2c KcQs9c7c4c 
QcJh8h8d2s Th6c5c3h2d As9h9d7c3c QdJd8d7d4h 
QdJd7s4s2d QdJs8s8h2c Qh9d6s4c3h KdJd6s3s2d 
9c7h6h4s2s Ks6h6c5h4h Ah9h6s4c2d Qs9h8s4h2s 
Qd8d6c5d3h KcQd6s4s3h Jc6d4s4c3d QhTc7s7h3h 
QsJc8d6c3c Ts9h4c3c2s QsJh9h7c2d Td9s8c5d2d 
As6s5s4s4c JcTd8d3s2h Td9h8d6d2d KcTs5d3d2s 
KcTd6h5h3h QdJsJc7h2d Qs9d7h7c4s Qd9h7s4s3h 
6s6d4s4c2h QdTs7c3d2c Jd8h6s5c2d KcTh5s3s2h 
8d5c4s4d2s Jc8d7s2s2c JcTs5h4d2h Qd9s7s6h4s 
8c5s4c3s3h AsJh7h4c3h Ad9h6d4c3d QdJdJc7h2d 
Qs8d7d4s2d Kh9d8h5h3s AsJd7c4h3c Kd6s6d5d4d 
AcTh9s4h2d 8h5c4s4h2s Qh9d9c7h4h Qs7c6s5s5h 
7s7d6s5h2c KcJs7s5s3s Ad9d6d4h4c Th8h6s5h3c 
9d8c5h5c4s 8h7s4c2s2h Qd7h7c5d3s AcJh8d7d2d 
QhTs8s4s3d Qs9h7c5h2c KhTc8s6c2d Jc8h7s2s2c 
AdQc9c5c2h 9d7h6s6d3d JsJc6s3d2d KsJs8d5s2c 
As7c6h5h3h QsTs6s4c2h Qh9c8s8d3h Qs9s8h5s5c 
KsJd4s4c3s 8c5d4h4d2h QdJs7h6c3h ThTc8d5d3d 
8h7s7c6d3h Qh9h5s4d3c QdJc8s7h3c Tc8c6d5c3s 
QsTs7h3d2d AsJcTc6c2c QcJs9c7c3c KcJc5c3s3h 
KdJh7d3h2d KhJd8h7c2h 9s8s8h3h2h 9d8h7h3c2d 
Qs6h5s4c3s Qc8d7s7d5d AsJc6d6c4c 8s7s5h3h2d 
Jc8c5h2h2d Ks9d6d5d3h QsTc7s7h3s Jh8c6d6c4c 
Ts9d7c3s2c ThTc9h5s2h Jd9s5d3s2d KhJd8c4s2h 
AhJs5s3d3c Ah9d6s5s2d 9d7s5h5d4d 8h7h5h4s3d 
Jd9h9d4s4d Ac8c6h3d3c 8d6s6c5d3h 9c7h5h4s3d 
Ks9d8d4s2s Td7h6s6d2h QsTs7h3d2h KsQs8s6c3d 
