Qd9h7d4s2h 
KsJh9d5d2c KsJh8c5c3d 7d6s4s4c2c KsJs7s6d3s 
KdJs3s3c2c Ac9s8h7s2s Ah9c6s3d2h 9s8s6h3s2h 
Qc8h7d4d2c Js8c4s4c2d QdJd7h4d2h Ad7h5d5c2d 
KcJc6d6c3h AhKc8s6d2s QcJs6h6d3s KhTh6h4h4c 
Qh8h7d4d3h 6s6c5h4h3h Js9h9c4d3s AhKsKhKc6h 
Qs5d4s4d2s AdKc8h3c2s Qh9h8d6h2c QcJh7s4d3h 
AhJs4c3c2s 7s7d4h4c3s Jh9d9c6d3d AsJs8s4h3s 
Ah7h6h4s4h Qh8d4c3h3d Tc8s6h3c2s Qc7h6s6d4d 
Qd8d7c6s3h KsKhKc7s4h AcQs8c2h2c Kc7h6c3s2s 
KsTs9s5s5c Ks8s6h3h2c QhJs7d6s3s QcJs7s2h2c 
Jd5s5d4h2s KdQs9s8h4s Qc9d4d4c3c JcTs7d6s2h 
Qs7h7c5d4d 9d7h6h3d2c AcJd6d4s4d KdQd9h9c2d 
KdJc3s3c2s Qd8s7h7d4d QhJh8c6h3h AhKc8d6s2d 
Th9c8s2s2d 8c7c6c5d2h Ts9c8h2d2c QsTc7c4c3d 
9h7h6s3s2c Kd8c6h6d3s KsTc5h5c3d QhTs7s4s4c 
6h5h3d2s2d Kd8c6c4h3h Tc9s8s6s2s QdJs8d6c2d 
QsTh8s4s2d Ad7h5s5d2d 7s6s5s3c2c KhJs9s5s2c 
TsTd5h4c3h Js9h9c6h3h Ad9d6s3d2s AsKs9s6s2d 
Jd8h7c5d3d Jh9d9c6c3c Ts9h8d2h2c KsJd8c5c3h 
Jc9s8d7h2h 9d7d5h5c4d Ks8c6s6d3h 9c8c6c5s3c 
KcQs7d5h2s AsKh8d6c2d Qc8s7h7c4c KsJh8s8c2d 
KsJdJc6h2h 8h8d6s3d2s Td9h7s6c2c AhQs7s5s2c 
Ac9h6h4d3d Js7h6h5d2d 8h7s7c3d3c Jd8c7c4s2s 
Jh8s7s4s2h Jc9c5h4s3c KdTh8s3h2s Tc8h6h4h3d 
8h8c5c4s2c AcTd7c2h2c Tc9d6c5s2h KsTh9s2s2c 
JdJc9h3s2c Kc8s5c4h3d 8h7d7c3s3c QcTc9c7c4c 
Td7d6d4s3c KsQc9c8c4h 8s7c4s4d2d ThTd6c3c2h 
KdQh7s5c2h Ad7c6s4h4c Qh8h6d3h3d Th9h6d3h2d 
9c5h5c4d3d Kc9h8d7s4h KdQd7h4s3d Ac8h6s3c2d 
Kc8d6h5s5d AcQc7c4s2d KcQh8s4d4c AhJs4c3s2c 
AsTd9c4h2d JcTh6c5s2c Ts8c7h6c3c Kd7h6h5h3c 
Js9s8s8d4h KhTd5c4d3d KsJd8h6s2s Kc8d6s3d2c 
Js6c5s3d2d Js7h6h6d5h JsJh6d3h2d Jh7c6d6c5c 
9s9d6h4d3d Kh8h6d4s4h QsQh8c4s2s Js8h7s2h2d 
KhTh9h7h2s QhJc7s6c3c 7s4s4h2h2d Jc9d8h7s3h 
Ac7h5h4h4d Kd8s5d4c2h Th7h7d5h2d KcJs9c4h2c 
Ac6h5s4s4d Qh8h4c3s3c 9h6s6d4s2d Jh9c7d3c2h 
Js9h9c5h2d Qs8h6s2h2c 9d7d5s5c4d Qh6h5s4c3h 
KhTs8c7d2c KsQh8h7c3d KsQs8s8d4h Tc7s7h5d3s 
Ah9s9d7s3s Qd9d6c4s4h KdTc9c4h2s AdKs9c5c2h 
KsJc8d5h2c Jc9s9h5s2d Qs8c6s5s3h Qs8h7h5h4h 
9c7s6d3s3h QcJc6c4c3d Tc8d6d4d3h Js9h7s7c3s 
Tc8s6s4s3d Ac8c6h6d3c Qs9d8h4d3h Ts9h7c4d3h 
Kc8d6c3d2h KsJsTh6s2s KdTs5s5c3h AsKs7c3h2s 
KhJs9c8c2c Jc9h8c7d2c AsQh6d4h3h Qs9d7h4s2d 
KcQs8d5s2h Qd8d6s2s2c KsQc8s6s2h AdQh8c7s2c 
Kc8s6h4h3s Jd8s6c2s2d KcJh9h7h2s Kd4h4c3d2h 
Ad6d5c2h2d 7h5h4s4c2s Jd7h4h4d3d AcJs6h6d4d 
Ts7c5s5d2d Tc7h6c4d4c 9c7c5h5d4c JcTc8d3c2s 
Ad7d6d4h3d Js9c7s7d4s Jh7d6c5c3s AsQc7h7d3c 
8d7d6d5h2s AcJh6s5d3s Ts9d8c2s2h Jh9d6s5c2h 
QdTh8c7c3c KsQd8c3c2s Qd9s7c5s5h KdTd8s8c2d 
AsTh8d4h2c Kh5d3h2s2d JhJc8s6c2c Js9h8s5c2s 
Qc7c5s5d4h Qc9d8d7h4s KdJc9d8d4d QdJd9d8s3d 
As5s4s3d2c QsQc8h4c2c Qd9d6h6c4d KhQh9c4h3d 
AcQs7d5s2s Qs9s6d4h4c Th8s8c3s2c QsTc8h8d2h 
TdTc5s3c2s Kh9c8c5s4d Jd9d6d5h4d 8s5c4d2s2c 
KdTs9s4h2c AcJh7h4h3s AsJh4d3h2d 6d5d5c2h2d 
QsQh7s7c2s KdQs9s6c2s QcTd8s4d3d Qc7s6h4c2h 
Th8h8c6h2d AdQs8d2h2d AcJs6s6d2d Kd8d6s4c2h 
Jc9s6d4h3c KsTh7h4h4d Qs9c7d5h3d AdTs7d2d2c 
KsKdKc7c4d AsQs7s4h2c Jc7h5s4s4d Tc8d6h5h3s 
AhJc6s6d4s Qd9c8s6h3c Td9h6c4s3c Ah8d7c3s2h 
9s6c5s3c2c Qd7s4h3s3d KdTd6d4s3d 6s5s3d2d2c 
AcTh8s3s3d As8s7s7c3s Ts7d4d3s3d AcKd6s3s3h 
9h7s7c4c2s Jc9h6s5d2c Td9d6s3d2s AcJh7d4h3h 
9c8c6d3c2d Kh9s9h5d3h AdJh4s4d2d AcQd8s8h2d 
KcJh7d4d3s Jd7h6h5c3h Th7s5h4c3d Qh7d6h4c3s 
AsKd9c5c2h Jd7s6s6c4h 9d7c6d3h2c Qc7s7d6h4s 
Qs9h8c6c3d KhQhJh8s3h As9d8s4h2s Th8h5d2h2d 
Jd9d6s3c2s KdQs8h3s3h Qs9h9c5d3d Th8h8c5h3d 
Qc8h7h5h4h AsTc8c6d2c TsTh5h3h2s Js8s5h5c4s 
KcQd8s4h4c KsQs6s4s4h Qs7c6s4h3d KcQh8h7h4h 
9d7d6h3h2c Qs8c7s4d2c 9h6c5d4s3c QsTh9c4d2d 
8h8c5s4d3d Qd7c6h4d2h Kh9h5c4h2c TsTc8h2h2d 
Jc6s6d4d3s KsTs6c3s3d Ks8c5c3c2s KcJc9c5s2c 
JhTc5c3d2s Kh9s9c5d4c QsJd9h2d2c As8s7c2s2d 
Jd7s6s5c2c Qd9s8c5c4c Jd9d8h5c2d Jc7d7c6h4c 
Kh7d6c3h2c AcJh4d3h2d Tc8d7s6d3d KhTd6c4c3s 
8s8c7d6s2s 8c6c5h4d3c Js9h7s7d4s Kh9d6c4h3h 
Qd8d7s6c3h AdJc6s5h3s AdJh7c4c3s Jd7h6s5s3c 
JsTc7s3h3d 9c7s5h5d3s KsTh9d3s2s Js9h6c3h2s 
QsJd7h6d3d Td9d8h8c2d QhJhTh7h2c KsQh8d3h3d 
Th9h8d8c2h As7c4c3s2s Jd9d7s3h2s Jh8d6c4d2c 
KcQd8h3h2c Jc8d5c4s4c Td8s8d7h2c Qd8d6s2s2h 
AsJh7c4h3h KhJd8s6h2h Ts8s8h7c2d 9h6h5d4s3h 
7h5c4c3h2s 9c7s6d4s3s KhQs5h4h2h JdTh6d5c2d 
AsTh7h7d2c AsKc9d5h2d Th9h8s4d3c Kc7h5c3h2h 
QsTd9h4c2c 9h8h5h5c4s 8d6d4h2h2d JsJc8d6s2s 
AcKd8s8d8c 7d5c4h4c2h 9c6d6c3h2d Ac9d6h5d4s 
Tc8s8c6h2c KsJc8d5d3h Jd9c8d7s2d 9h8c6s3d3c 
Th7d6d6c4d Kc5d3h2d2c Qh8c6s6d4s 9s7h5c3s2c 
KsKd7d3d2d Js9h6s5s2c KhTs8c7d2d QcJs7h4d4c 
AcQh8c2s2c QcTd6h3s3d 5s5d3h2h2d Jc7s7c6d2d 
Kh5d5c3s3c As9d6c5d4d KsJs8c7s3h 8c7h7d6s3s 
TdTc7h3h2c QcTs6d4s2h As9h8s4c2s Kc9h8h5d4s 
KsQs5s4s2h AhKd8s6s2s 6h6d3h2s2d 9c7c5s3h2h 
Ks9d7s3d2d Qd9c8d5d3s Js7h7d6c4d 8d7h5h4c3h 
7s6d4d4c2c Jc9h9c6d2s 8s8d7c6c2c AcQh9h7s2h 
Jd9h9c8s2c QcJs7h6d3d QcJd8h7s2d KcQc6c4h4c 
KdTh6s4s3c KcTs7h4d3d Th8d8c4s3h AhJd5s4c3s 
6c5h5c2d2c KdQh9h8h4s Js7s6h4h2c Qs9h6h3s2h 
KsTd8h3d2h AcQc7s7c2h 8s8c7s5s3s KhKd7c3c2s 
Qs8h6d6c4c Qs5d4h3s2d Th9s6d3s3c KdTh8c7h3h 
Qh7s7c4c3s Ah7h6h4c3h AcKs8s8h8c AdQs7d7c2d 
Ts9s7s3c2c Kd7c6s3d2c Qc7h7d5s4d KhQc8h6d3h 
8c7c5s3d2s Tc9s7s4s3d Jc8s5s3h2c Ts7h6s4s4c 
AcQd8h7s2h Js9s8s7c3d Jd8d7s4h4c 6c5c3d2s2d 
KdQc7s6s3s AdQd8d4h3d AhQs7h7c2h Tc9d5h4s3d 
QsJd6h4h3h Jh7c6c4h2d TsTh6h4c3h Ah8s5d5c4s 
AcJs9s5s2h Ad7h5h4h4c KsJs6s6h3d AcTh5d4s3h 
Qs9c8d7h4c KdQs9h9c3s Ac9d6s3h2c 8h7h6d4s3h 
Td8h8c6s3h TsTh8d2d2c JcTc7d4h2s 9h6s4d3s3d 
Js9c8h7d2d Kh9h6h5c3h 9d6h5s4h4c 8c4s4h2h2c 
AdQs9s7c2s 9h7h5d4d2h Ts9h8d3h3c AcKhKdKc6c 
Ah8s7c3d2h KsJh9d5h2h AsKh8c6d2c JsTc8d3h3d 
Kd7h5s4h2s QdJc6s6c3c Js8d5h3s2d QdJh8d6c2d 
KsJh9h7h2d Js9d8s5c2s Td8s8d7c2h 7h5c4h2d2c 
KdQc8c7s3h Js7s6s6c4d TsTh4c3s3d Qc9h8s7s4d 
JhTd7c5s2s Qs8s8d7h4s Qd8d6c5d2h QhTc7c4s4d 
Kc9s6c5c4c 9d7s6s3d2h Kd8s4s3s3d KhQd8c4s4h 
JsJd3d2h2c JcTc8d2h2c KdQs9h4c3s Tc6d6c5c4h 
JhTh6s4h3h Ts7s7d4d2s AdQd8d4s3d 9d7c5h4s3c 
Jc9d7s2d2c JhTc6d5s2d 7c6d4h2h2c Jc8h4h4c2d 
Jc9c6s3h2s KdQh8c3c2d KdJc7s4h2d Tc5d4s4d3c 
Ks9c7s3s2c QcJd8h4s3d 9h7c5d3h2d KhQc8s6c2d 
KhQs5c4d2d KcQh7s7h3d 6c5c3s2s2d KcTc9c5c2d 
AcTd8s3s3h 9d7c5h3d2c AdQc7s3s2c Ks8d7s5c3s 
QsTh8h8c3h KhQd8s5d2c Th9h8d3s3h JhTc7d4s2c 
8h7d4h4c2d JsTs8d2s2c QhJc7s5h2d Qh9s9h5h4h 
7d6s4s4h2h KhJc7h2h2c Qh9d7d4c2h AdQh6d4d3d 
Qd8d6h3h3d QcJc9c4h3c Th9d8s8c4d Kd8d6c4s4d 
QdJc8d4h4d KdQd8d8c4s QsQh3c2d2c 9h7h6s6d3h 
Jd7d6c4s2c AcKd8s6s2s QcTc6c5c3c 8c7h4d4c2h 
AsTd9h4c2d Qd7c5h4s4d Ad6d5c2s2d AcJsJhJc7h 
AcQs8d5h2h Qs7h6d6c4c Qh8h8c7s4h Jh8c6s5h2d 
9s8s8h7c3d Kc8s4s4h3c KsQdJc7c2h Qh9c8s5s4s 
Td8c6s5d3d KcJc7c5s2h Kd8d5s5d4c AhQd7c3c2d 
Jd8c7d2h2c AcQc7s4c2h JsTs7c5h2s 9d9c5s4s3h 
Ts9s5h5d3c 9h6s6c4s2c QcTs9s7s2h 8c6d5h4s2s 
Ts8s8c6s2h Tc8s8h6d3h TdTc5s4h3s Ts9h8s5c2s 
Qd7s7h6c4h Qs6s5c4h3s QdTs8s8c3s QdJd7h5d3d 
Ad9h6h5s5h Tc9s8d2h2c Ac8c6s3d2h Js8c4h3s3c 
Qc8c7h4s2s Qh9s6c4c2s Ks9s6c3c2c KhJs8c5c3d 
Js7s7h4c2h Kh9s4h4c2c Kh5s4s4d3d KsTs9s7s2c 
Th6s6c5s2c Ah7s5s4d3c 8s8d5c4h2h Kc8s8h7s4d 
Js9c7s7h3s Jh7h6d4c2d Jd6h5d3h2c Kc8d7h4c3s 
QsTc8d7d3d 9d5h5d4c3c KhQd7c5h2h KdQs8c6s2h 
Qs8c7h5c2h Kc9s8c6h2c QhJc8h4h4d Th9d8s8d2d 
Qd6d5d4s3h Qc8c6h5d2c Td9d7d3s2s 9s7d5s4s2d 
Qh8s8c4s3c KsJh9s8s4s Kc7h6s3c2h 8d6h6c5h3h 
Qd9s4s4d3d Qd8h7h3s3d 8s7c6s5h2s Ah8h6c4h2d 
JhTh4h3d3c KdJh9d6c2d AdTs7s3c2c Kh9s9d7c4s 
8d5d5c4d2c Th8h6d2h2d 9s7s6d3d2h Td7c6h6c2h 
Qh8d7c4c2h AdJh6h4s4c Qh9h9c3s3d 7c6s4c2s2c 
AcQd3s3c2c Jd9c7s3c2d KdJh9c5c2s QcTc8c4h4d 
Ac8c7c6d3c Qc7d6s6h4h Kd7c6h6c2h Td9h6c4h3h 
KdJd8s7d3h 8h8c6c3c2h Td7s6s6c4s Ts9d9c5h2c 
Ks9c8s6s2h Ks5s5c3c2s Ac9s8c4c2h 8h5s4c3h3c 
Jh8c7h2s2c Kc7s6h3s2c AcJd6s3h2c KhQd9c4s3d 
AdJs5d3d2c AhJs8d4s3s AdTh5c4s3h Qc8d4d4c3s 
Ts7h7d5c3d Qc9s9d7s4h JhTc7c4s2d AdJc6d3s2h 
Ks8c6s3c2d Ts9s8d4h3c Ac9d6s5h4h Th6d5s5d2s 
QhTh8h4s4c JhTh7s4c2d KcJs8h7s2d Jh8s7c4c2s 
KdJd8s8h3c QcJd6d4s2h 9d5h4s4h3s KsQc9h4d3c 
Jh8c5c3d2h JcTd4h3s3h Ts9h9c6d2d KsTsTc3h2s 
Jd8s8d6h3c QsJd6d4h2c Tc8c6d5s2c Ts8h8d7s3c 
ThTc6s3s2c Jc9s7d7c4c Jd7c5s5h4d AcKd7h7d2d 
Jd7d5d5c4s Kh9h8h5s3c 8d5c4h3d3c Jd8s8c5h3d 
QcJs8h6d3d 8h4d4c2h2c JhTc6s5d2s Td8h8c5c3c 
AsQs7s7h2c Qh9d8h6s3h Kc7h7d5s4s As8c6h3s2d 
QhJs9d4c3c Jd9c6s3c2d KcJd5h3c2s Qs9c8c4h3h 
QsJd7d2s2h KsQh9h8h4c Qs6d5s4s4c JsTs7c4h2d 
9h9d6d2s2c KcJh3h3d2d Td9h9c5s2c KhJd9d7d2c 
Qh7d6s6c4s QhTd5c3h2s KcQs8s7s4s Kc9h8s7d4d 
Td9s5d4d4c KsTc9s2s2d KdJd7h7c3d KcQh7d5s2h 
Jd5h5d4s2h QsTc9h4d2d Js7c5h5d4s KsJd4h3c2s 
9h6s5d5c3d Ah9s8s5s3c KsQd7d7c3h Th8s6s3h2d 
KsJs9s5s5d KhQh7d4s3h Jc9s6d4h4c AsKh9d5c2d 
KcTs8d7h2d Jh6c4s4h3s Jd7h6c5h2c Kh6c5s4h2h 
Ts9h9d6c2c 9s7h5c3s2h 9d6h5c4s3h KcQc9c7c4h 
AcQd6s4d3d Qh7s7c4s3c Jc8c6c5s3h Qd9s7c5s3h 
AcKd9s5s2h Qh9c8s4c3s Kc9s8d7h4h QdTc7c4s4c 
Qs8s7c4c3s Ks8s5s5c4d JdJc9c4h2c Qs7c6s4d2d 
9s7c6h3d3c Ad9s9c6h4s Jh8s4h4d3d JhJd6s3s2d 
7h7d6d4d3d KsTh7c4h3h KsJc7s2s2c Ts6d5d5c2c 
Kd8h8c7h4s QhJs8d4s3c 9c7s6h3s3d AhKs9d7d2d 
Qc6c5c4s3h KsTc7c4h3c 8s7h7c3h3d Ts8h8c5c3c 
AdQc8d2s2d 7h7c4s4d3c Qh6d6c3s3h JcTc5d3s2h 
Kh8c4s4c3h 8h5s4d3h3d Kc7s7h6d4d Kc9c8h7c3d 
7s6h4s2s2h Qc8h6h5s5h Ah9d6h2s2c Qh8h7s5d3c 
QdJh6h4s2c AsJd9c6h3h AsKd8s8d8c Ks6s5s4c3s 
Qc7h6s5s2h Jc9s9h5h2d JsJh8s2s2d AdJs6s4s4c 
Jd9s9h8d4d AsTh9d5c2d Jh9s9h7h4h 8s8c6d3c2d 
Jc5h5c4d2h AsKc9h5d2h Ac9s6c2h2d ThTd8d4c2s 
Qd9h6s4d4c As6h5c4d4c Jc9c8d6c3h Tc8h8d5d3d 
Qc9c8d6c2h Kh8h7s2s2d TdTc8h5s3s Kh7s6s5s3c 
