KdQsJs8s3s 
Ac9d6s5d3h Tc6h4h4c3h 9h7c4d3d3c Kd9h7s7h2s 
Th9s6c5d2h 9h8s6d4d4c Qs6h6d4h4c Ks6d5d5c4h 
Ac7s7c4c2h AcTd5h4d3s Th9h5h4d4c Qh7s6s5c3s 
Th9c8d3s3h AdJc9h5s2s TdTc9h4c2c Th9d6c5s2h 
Tc7h7c6d3c Kh8d7s5s5c QsJd6s4c2s Jh9s8d8c3c 
Qs5s5c4s2c 7s5s5d4s2d 9h7s6s3c2h KdJs9s4c3s 
Qd6d5h3d2h Ad9d8d4c2s KsTh8d6h2h QcJd6c4s2c 
Qc8d7c4d3c Ts8h8d7c2h 8h7s5c4h2d JcTs4s3s3h 
Kc9s9c8c2h Jh7d6c4s4h Qs8c5d5c2d 9s6c5c4c3h 
KsKc7d3h2h Th8c7s6h2d 8d7h6h4h3s KsJs4c3d2h 
AdTc8c4h2c Th7s7d4s2d Th8s7s3c2h KdQh8s5h3h 
QsJs9d6c2s QdTs6s4s3s Tc7c6d4h4c Ts9d3s2h2d 
ThTd6s3h2s AsQd8c4h2d 9s6s6d4s2d Qs6s6d4s2d 
QsTc7d4h3d Qh8h5h5c4s 6d5s5c2h2c Jh9h6s6c3d 
Tc8c6d5c3c Jc9h7c3d2d Tc9c5d4s4c Jc7s4h3h3c 
Tc8c7d5h3c KdJs7d6d3d KdQd8h2h2c QhQc7s4d2h 
KcTd6d5h2s Qd5c4s4c3s KcTd8h5d3d 7h7d4h3s3h 
Qd9s9d7h3d 9h9c7d5s2h 7d6h5c4c2s Ts8s7s6d3s 
KsJs8d6c2s QcTs7d6c2c Ad9s6h3d2c Jd8d5c4h2s 
Jd9s9h5s2s KcJh8h5h3s QhJc5d3s2h Tc8d5d3h2c 
Jc7c6s6c5c Qs8d6d5h3c AsJc8d4d3h 8h6d6c5s3s 
KsQh9h8c3h AcTs7d4d3d 8h6h5h4s4h Qc9s8s6s3h 
AdQs8c7c2c AhTd7c4c3c Kd9s8c6s4s KsJdJc6d2d 
AcTd7h3h2d 6c4s4d3h3d Qh9h8d5h2s Kh7d7c6h3h 
9c6s6c4s2s Qh7c6s6d5c Ad9h6s3d2c 8s5c4d2d2c 
KsQs8h5c2s Jc7d7c4s4c 9d8h8c3s3h Kd9h7d7c3d 
KsJs8s5h3s Jc7s6h5d3d KcJs3d2s2d KhJh7h4s4c 
7c5h4d3h2c Td9d7d6s2c Td9h6h4s3h Jd9s7c3d2s 
Td8s7h5c3c Js7s5s4c2c As8c7s3d2h Th9c8h7h3h 
Qd9d8h8d2s KhJh4c3d2s 9s8s8h5s2d Kd9d7h4h2d 
Qs9h7h5h3c Qs9h7s7c3d 9s6s4s4h3h Qh7d6d5s3c 
KhTs7h4h3h Ah9c6s6c2s AcJh3h3d2d QdTs8h4c3c 
