Kh9s9d8s4c 
JsJhJd9d9c Ad8s6h3s3h Jh7s5h4h3c Th5s5h4s3s 
Qc8d8c5c3s KdQd7c3c2d QhTs5d4h2h AcTs7c3c2h 
9h9c7c4c3d Js9h7s4d3c Ah8s7d6d3c 6s5s5c2h2d 
QdJs9c3s3h 8h6d5s3s3c Js8c6h2s2h Ac6c4s4h3c 
KsJd7c5h2d Qd7c6c5c3h AdJs9c4c3c KdQh9d7d2c 
Qc6d6c3d2h Js8d7h5d3d 8h7s6d6c3h JsJh6d2h2c 
7c6s4s4d3h Qc8d5d3c2d AcTh9h5d2h Th9d8h3s3h 
9d7s7c4c2d 8h7h5s5c3h Ac7d7c2s2c QhJs6d5c2d 
Qc9d5s5c4c Td9c3d3c2c QdTd7d6h2s JcTc7h5c2d 
9s6h6d3s2h KsJd7h5d2c Td7s7d5c3d As8c7h5d2c 
KcQc9c7s2h 9d7d5s3s2d Qh7s7h6h2s Jc7c5s3s2d 
Jc8s4s4c3s KsTs7s7h3s AhTc6s5s3s Jh9h6d3d2d 
Qh6s4s4c2h KcQh8h5d2h KdJh7c6c3c TsTh8s4d3s 
KdQs8s5c2s Ks7s4c3h2c Th7d5s4s4c AcKc9s5c2c 
Js6d5d2s2c QhJc9h4s4h AhJc7d5c2c KhQs9h4c2d 
Kd9h4h4d3d QhJh4s4c3h As9h6h5h4d QcTs8d4d3d 
QdJs5s3c2h AcQs9s9h9c Ac7h7d4c2c Ts9s5s4c3s 
9h7c5c4s4d 9c8s8d7h3c AcJd6c2s2h Kh9c7c5d3c 
8c7s5h3c2s QhQd7s5c2s Ac8s8h7d3s QsQh8s3c2d 
AdKc8d3h2d Js8d5h4c2s KdQh9h5h2s KsTd9d3h3c 
KcJh9s4s3d Qs9h6d5s2s 8h7c5s3s2h Ks9h4s4h3s 
Ks5d4c3s2h Kd9h8c6c4c JdJc8h2s2h Td9h9c4c2s 
Ks7d6c3c2s QdJh4s4d2c Jd9h4h4d2h KdJs6c4h3h 
Ks6h5d3d2h 8s6h4s3d2d Ts9h6h6c2d AdTd7d5c2d 
AdTh6h4h3s 9s6s5h4d4c QcJdTd7d2d Jc7h5s5h4d 
JcTc7s5c2h 7c6d5d3s3d Jh9c4c3s2h 9c7c6d4c3s 
KcThTd6d2d KcQdJs7h2s AsKc8s3s2d JsJc7h3h3d 
Kh9d4d3h2s KhQh9h8d3h Jc9s8h8c2c JhJc7c3d2d 
AcQh8h4h3d Qc9c7h4h2s QsQh8c3d2h Td7d5h4d3c 
Kh7h7c2s2c Jh9s9h2h2c KsQs7h2h2c QdJcTd7d2d 
ThTd6s4s3c AcQd8h8d3d Ks9d6s5s2h Ks5c4d3h2s 
KdQh9c7s3s Tc9s8s2h2d ThTd5s5c2h Jd9h8s7s3s 
Qh8h4s4d3s Th9h8h5c3h KhJc4d3s3c Jh7d6c4h2c 
JsTc7s4s2d Js9s8h6s2c QsJh7s4s3d Th9c6h3h3d 
Ah3h3d2h2c Ks9d8c5c4h Jc6s5d2s2c 9c8c6c5c2h 
Jh9c8c6c3d Qd5s4c2s2d AsJh8s3s2d As5c4s3s2d 
Jc7d5c4c3s 9c8h8d6c3c Ts7h6s6c3s Qc9h8s4h2s 
8d6d4c3h2h Td8c5d4s3h KdQd7s6c2d 6h5s3d2s2h 
Tc7h7c4d3s 9s8s6h4c3d QsQd9s3c2s Qs6d5d4h3c 
9c5d4d4c3c KdQc9c5c2h QhTc9s4c2c Ts9s9h4s2d 
QsTs9d7s2s AdQs6s6c3s Ad9s4d3c2h Ad7c6d4d3d 
7d5c4s3d2c KsQs7d6h2s Kc6h5h4d3h 9d8s7s6c2s 
Ts6h5s4d3c Ah7c6d3s2h 8h5d4h3d2c Qc3d3c2h2d 
Qd9h7h2d2c Ad9d5s2h2c Kh9h9c8h4s AsTc9h5c2c 
Ah9c8s6c3d Kh8s8d6c4c Ac7h7c2d2c Th9c3h3c2s 
Kc8h4h4c3h 8h5h4s3s2d Ks9c7c5h5d Qc7s7d5s4s 
QsJd7s7h3c Kh8d7d7c4d Td8h5d3h2c Qd5s5d3c2c 
8h6d4h3s2s Th8s7h7c2d AhJc8d6c3c 9d7d7c4h2h 
Ac5c4d2h2c Jh8s7d4s2d 6s5s5h3h2s Kd8s7c6d3d 
TdTc4h4d3d Qc5s4s3s2c Qc9h7c2h2d Ks9s8h5s4s 
Kh7c5d4h2s 8h7s5h4h2d KdQs9s7s4s Ks8s6s5h2c 
9h5d4s4h3d 8c6s6d5h2h Kh8s6d6c4d 9d7d6c3s2s 
Qd9s9h8c2h 9d6s4d3s3d JsJh8s6d2s Qs6d5s5c4s 
Tc8c5s3s2h Jd9c6s6c4h Th8s4h2s2c 9d6s6c5d3d 
