KsQh9h4h3c 
9c8c7h3h2d KsQdTs7s2s QcTc8c6c2c 5s5c4h3h2c 
Th9h4d3d2d AcJd5h5d2s Jc5d4h4d2c QsJs8h7s3d 
JsJc8s7s3s Qh9h7c6d2s Jd9d6d6c3h Kc9h9c7c3c 
Kd7c4h3c2d 8c6h4h3d2d KhKdKc5d2h 7c6s4d3s2d 
JdTh5c3s2h Kc8h8d7h4h ThTd6c5s2h AcJs5d3c2c 
Kc7s5d4d2s 9s7c6h5d2d Jc9s4d2d2c Qh7h5h4d3s 
Tc8h5s4s3d 5h5c4c3h2s 7h5d4h2h2d KsTs7s4h2d 
Ah9c6s5d3s Js7s7d6h3c Th8c6h3s2s AhTd9d6d2c 
9h6d6c3d2c QsTs8d3c2h JcTh7s6c2c QcTd7h3s3c 
Qd8h5c4s3d Jd8c7h6c3s Js9c6h6d3c KdKc8c3c2c 
Qd8s6d4c2h 9d7c6s3d2s Qs8s7d2h2d Tc8d7s4h3c 
QcJc7d4c3h Td6c4h4d2h 8s6d5d3h3c KsQs8h5s3s 
Js7h5c4d3c Th8s8h3h2s Qd9h8s6s3s QdJh8s4h2c 
Qd8h8c7d4d 8d6s6d5d2c Jc9h5h4s3h Kc9c4d4c3d 
9h9c7d5s2d Kc8h5d5c2s Jc8h7h2h2c KsTh4s4c3s 
KsTh6h5h3h JsJd9d3c2d AhKd9s4s4c 9h8d8c2s2h 
Ts8h6s3d2d Jd9d6d4c2c Jc7s5h4d3h 8s7d4c2d2c 
Jc9d4s2s2c 8h8d7h5h2s Qs9c4c3s2h KsJs5c3d2s 
6s6c5s4h2s TsTc7c6d2h Kc9c8h7c4c Qd9s6d4h4d 
Qc8h7c2s2h Kc7h4h4c2h Qc9c7h5s2d 7d6c4d3c2s 
Jh9s7s4c2c KdTd8d6d2c KdThTc3h2s 8s6c5c3h3d 
Th8c5h3s2c 8s7h6d4c2h 8s5s4h3h2s Js6s5c4s3d 
8c7s7c3s2h AhJc8d4d3d Th8d7s6c2d Qd9s9c6h2c 
Kc8s5d5c2h Ts6h5h2s2c Ts8h5h4d3c Qd9s4s4c2d 
Kc9c6d5c2s AcJh4s3c2c JdTs7h5c2h QhJh5c4h2h 
Th9s7d5c2h KsQhTh3h2h Jh6c4s3s3h KsJd9d7h2d 
Ah7d6d4d4c QdTd7h2h2d 8s7d5s4h2c 9s8s6c4s4h 
9s6c5s5h3s 8c6h5d3s3h AdTsTc6s2s Qc8c6s4h3d 
Qc8h4s4h3c 8h8c5c4c2c 9h9d5h2h2c Js9h6d6c3h 
8d6h5h3s3c Kh9d7d7c3s 5d5c4s4h2s JhTs5c3d2s 
KcQs8c7c2h Jc7d5h4s3h Ah7d5s5c3c Kd7h5h5c2c 
KhTh7h4c2s QhTh9h3h3d JcTd8s3d2h Kc8h8d5h4h 
Tc6d5s5c4c Jc9h8s8d4h As9d8d6d3h 8s8c7h3h3d 
QdTs5s4c2s QsJh8s7s3d Qh7h6h4s2s TsTd8c4d2d 
AcJs8d4h3h KcJh7c6c2s Ts8c4d2s2d Th9h8s7h3h 
8c6d4h3d2h Qd7h5h5d2h 9h8s8d7c2d 7s7c5c4c2d 
Qs8s6d4h3c 9s8h8d7c3h Jd9s6h6c4h KhTh7c4d2h 
Th8c6d4s3c QhJh8c6h2h Jd9h4h2s2d QcTs7c6c2h 
Qc9s8s6d3s 8s8d7s4h3c Jh7s5c4h3h Jh6h6c5d4h 
8h8c7s3s3d KcJd9d8d3d Ks8c6c5h5d 7s6s4h3s3d 
Th9d7s7h2c 7d5s4s4d2s Jc7s7d6s2d KsTc9d4d2h 
KsQs7c4h2d 9c6s5h5d3s 8s6h6d3s3c Qh9s9d7c4c 
Kh7h6h4h3s 7d5h4s3h2s Qd8c4s4d2c AdQc9h7c2c 
KdQs8d7d2c Ts8s6s6c3d Qh9c4h4c2s Js7h7c6c2h 
KhQd9s8s2c JcTh6s4h2d JsTh5d3c2h KdJh9d4s4d 
AcJd8s4s3s Kc9d8s4h4c AdTc9c4h2c Qs9h9c4d3s 
QhQc6c4c2c Jc7c6h3h3c Jc6h4s3h3c AhTc8c3d3c 
9c5d4h3h3d JdTd5s5d2c JdTs5h3h2c Kh9h8d7s3h 
7s7h5h4c2d Js7c6d4s3h AsJd7d5h2d Ah6c5d5c3s 
9c6h5s5d4h Kc5d4c3h2s KhJh6h5c2h QsJs4h4c2d 
Kd7s5c4h3c Js9c7c4h2h Qc8d6s5s2h 9h8d6d4s4d 
Kd9h8s7c4s Kd7c6h6d2s 9d7h6d3c2c Kh9d8c7d4d 
7h6s4d3d2s 8h8d7h3s2s KcJd7d4h4d 8s8h4s3h2d 
AcKs9h4h3d Ks8d7h7c4h Ks4h3c2s2c 8d7h7c6c2s 
JhTd7s5c2s QhJc7s6s3s KhJsJc3d2d QhTh8h6h2h 
Ts7s7c4s2c 7s6s6d4s3h Qd6s6h5c4s Kh8d6s4c2h 
Kc7c6c4c3d Js9c8s4h3d Jd9c4d3h2c AhJc9c3s3c 
Jc8s8d5d2h QcJc7s6d2h Js9h8s6s2c Jh8s8d6h2c 
7d6c4s3d2c Th8d6h4c2s QsQhQd6s6h 8c7d7c6h2s 
KdQs9s4s3c 7s6h6d4d3d KhJc6h4d2h 8s7s6s6d3c 
9d8c7c5s2c Ad6h5d3c2d Ks8d5d4h2h Ah6h6c4s2h 
KdTh7d4d2c Kc8c7d3d3c QhJh5d4h2h KcQc9s3d2h 
Kh9s8h8d4h Qd8d7h7c4d Ts9c5h3s3d Th7h6h5h5d 
KhQs9s9c4s Th8c6d5c2s Jc9c7c4s2s KdQh5s4s2s 
Jd8h6h5h3s Ts8c6s4h2d AsJd6c4h4c Kd8c6c5s5c 
AhKh9h6d2h Qc8h5h4s4h Ks8d8c7d4d KsQs9h3d2c 
Ts9s6s4c3s Ac9d8d5h3d KdJc6h5c2c Ks8s7h3h2c 
7h5d4s2s2h AhJd4c3h2h Qc9s9d8s4h Js5d4d3s3d 
Qs9s6h3h2s QdJs7c6c3c AcJs9h3h3d 9d8s8d3h3d 
Kd9h6d3d2h 9c8s8h7d3s 9h8d8c7s2d Jc8s6d5h3s 
Th6c5c2h2d 9s9h7h6h2c QhTh7d6s2h KsJd6h5d2d 
9d5d4s3s2c Ad9c3d3c2d 9c8s8h7s2d Qh9c8c6s3c 
KdTc6c5s2c KdJs9c5h2h Kc8s7c3s2h Qs8d4h4d3s 
TsTd8h5c2c QsJh8d8c3h Ah7d6c4c2d Kd7s5d3d2s 
KsTc8c5d3c Ad9d8d3c2s KcJh8h5h3h Js7h7d4s2d 
Tc8h7s5d2c Kh4c3h2d2c Ah9s8h3h2d AcQs4h3d2s 
Jd9d8h8d2s Ks6h4s3h2s Js9s8h8c4s 8d7s4h2s2h 
