8h7h7d4c3s 
8h7d5h3h3c AcJs9h2h2d KhJd7s4c3s 7c6s6h4c2d 
Tc7h7d5s3s Jc9d8h4s3c JsJh5d4c2c Kc8s8c5c3h 
Js9s8c4h2d KhJd8d7d2c Qd6s5d5c2h Jh9s7c3h3d 
Jh7h4s3s3d QhJh8c4h4d Ts9d8h4s2s AsQd8h8d2d 
QsQc6d3c2c Ah4d3s3c2h Ts8d7h5s2c JhTh7d6s2h 
Tc7s7h5h3h KsQc8s7h3s JhTc7c6c2d 9c8d7c3h2h 
AhJd9c6d2s Td9h9c4s2s Jd5s5d4d2s As8h8d3s2c 
AhJc9s2s2d AcTc7c6c2h KcTc8d5c3c Th8c5s4h2d 
AhQh8h4s2h 9h9d4h3s3c Jd9d5s3d3c KdQh9s7s3s 
AdKc6c4c2c 8h6h4c3c2d Js8h4h2s2d Ts9d9c5h2h 
Qc9d7c3d2d 7d6s4d3c2s 9c8c4s4d2d Ah8d8c5s2d 
Ts9s9c6s2s Jh7c5d3c2h 7s7c6s5h2s Td9h5h4h3s 
9s7s5s4s3d Th8h5h5c4h Qh6s4h3s2c 9d8c7d3h2h 
Tc9c8d4s3c Jh8d7h4s4h AhQd9s4c2d AsJc9h2h2d 
9d7d5d5c4d 8s7d6s3d2c AcTh6s4d3s JsJc8d4h3h 
Kd6h5h4h3s Td7h6s6c3h AhQh8h2s2d Ac7h6h5h3h 
9h6s4s4c2h Qh9d5c3c2d Jc7d7c4s2s Kd8s6s5c3h 
Js7s4c3h3c JsTh6s4s2d QcTh7c6s2c JsTs8s4s3s 
Kc7h6s4h2s Jh9d3s2h2d 8s7c5h3s2h ThTd4s2d2c 
KcQc8d7c3h Th6c5h4d3h AsJc8c4d2c AdJh4s3h3c 
Jh6h5c4s3h 9s7s5c3c2c 8d6s4d3s2c 6d5d4h3s3d 
9s6c4d4c2s Jc5s4c3h2h Jd5d4s3h2s Td8c7s4d3h 
Jh6h5d4s3h AhQh9h3h3d Qh9h6s4h3d Th8c6c5c2d 
8c6s6h4s3d Td9c8d3s2h KdTs6h2d2c Ac9h8s4h4d 
9s9d8h5c2c Kh9c5h4h3d Ts6h6d5c3s AdJs6h4c3s 
KsTsTc4s2s AcTh8h4h3h KhQd8c2d2c Ts8h8c5d2s 
Kc8d5s3h3c Kc8s8h3h2c KsTc5h4c2d Td9d7h7c2s 
QdQc8s3d2h Qc9d8c4s3h Kh9d7h4d2h Jd8s6s5c3s 
Ts9s8s5s2c AsQc8s4s2s Jd9h8c6s2c Kh9s7h4d3h 
Ad8h8c5c2s Tc9h7h5d2s KhTh5h5c3h Qd8s6d3s2c 
QsQc6h3s2s KsTd8d5d3d Ac9s7c4c2d Th9h8d4c3h 
QdTc9s3c2c KhQs9h8h4h Tc9s9d3s2h 9c7s5h4h3h 
Kh9c5h4d3h Kc7h4c3d2d KsKdKcTs8h KcTh8s8d2d 
Jh9d8s8c2d Qd9h7c6s2d Td9s9c3h2c 7s6h4d3h3c 
9h8h6h5h4h Qc7c5s4d3c Js8h6h5h2d Tc9h9d7c2c 
